"","mob_index","r_index"
"1",1,1
"2",1,2
"3",1,3
"4",1,4
"5",1,5
"6",1,6
"7",1,7
"8",1,8
"9",1,9
"10",1,10
"11",1,11
"12",1,12
"13",1,13
"14",1,14
"15",1,15
"16",1,16
"17",1,17
"18",1,18
"19",1,19
"20",1,20
"21",1,21
"22",1,22
"23",1,23
"24",1,24
"25",1,25
"26",1,26
"27",1,27
"28",1,28
"29",1,29
"30",1,30
"31",1,31
"32",1,32
"33",1,33
"34",1,34
"35",1,35
"36",1,36
"37",1,37
"38",1,38
"39",1,39
"40",2,39
"41",3,39
"42",4,39
"43",5,39
"44",6,39
"45",7,39
"46",8,39
"47",9,40
"48",10,40
"49",11,40
"50",12,40
"51",13,40
"52",14,40
"53",15,40
"54",16,40
"55",17,40
"56",18,40
"57",19,40
"58",20,40
"59",21,40
"60",22,40
"61",23,40
"62",24,41
"63",25,41
"64",26,41
"65",27,41
"66",28,41
"67",29,41
"68",30,41
"69",31,41
"70",32,41
"71",33,41
"72",34,41
"73",35,41
"74",36,41
"75",37,41
"76",38,41
"77",39,42
"78",40,42
"79",41,43
"80",42,43
"81",43,44
"82",44,44
"83",45,44
"84",46,44
"85",47,44
"86",48,45
"87",49,45
"88",50,46
"89",51,47
"90",52,48
"91",53,48
"92",53,49
"93",53,50
"94",53,51
"95",53,52
"96",54,52
"97",55,53
"98",56,54
"99",57,55
"100",58,55
"101",59,55
"102",60,55
"103",61,55
"104",62,55
"105",63,55
"106",63,56
"107",64,57
"108",64,58
"109",64,59
"110",64,60
"111",64,61
"112",64,62
"113",64,63
"114",64,64
"115",64,65
"116",64,66
"117",64,67
"118",64,68
"119",64,69
"120",64,70
"121",64,71
"122",64,72
"123",64,73
"124",64,74
"125",64,75
"126",64,76
"127",65,77
"128",66,77
"129",67,77
"130",68,78
"131",69,79
"132",69,80
"133",70,81
"134",71,82
"135",72,83
"136",73,84
"137",73,85
"138",73,86
"139",73,87
"140",74,88
"141",74,89
"142",74,90
"143",75,91
"144",75,92
"145",75,93
"146",75,94
"147",75,95
"148",75,96
"149",75,97
"150",76,97
"151",77,98
"152",77,99
"153",78,99
"154",79,100
"155",79,101
"156",79,102
"157",80,103
"158",80,104
"159",80,105
"160",80,106
"161",81,106
"162",82,106
"163",83,106
"164",84,106
"165",85,106
"166",86,106
"167",87,106
"168",88,106
"169",89,106
"170",90,106
"171",91,106
"172",92,106
"173",93,106
"174",94,106
"175",95,106
"176",96,106
"177",97,106
"178",98,106
"179",99,106
"180",100,106
"181",101,106
"182",102,106
"183",103,106
"184",104,106
"185",105,106
