"","parks_percent_change_from_baseline","residential_percent_change_from_baseline","transit_stations_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","retail_and_recreation_percent_change_from_baseline","workplaces_percent_change_from_baseline"
"Bath and North East Somerset",48,33,22,22,19,3
"Bath and North East Somerset.1",5.91133004926108,4.06403940886699,2.70935960591133,2.70935960591133,2.33990147783251,0.369458128078818
"Bedford",320,25,22,21,19,6
"Bedford.1",39.2638036809816,3.06748466257669,2.69938650306748,2.57668711656442,2.33128834355828,0.736196319018405
"Blackburn with Darwen",809,42,22,22,22,3
"Blackburn with Darwen.1",99.6305418719212,5.17241379310345,2.70935960591133,2.70935960591133,2.70935960591133,0.369458128078818
"Blackpool",374,26,25,25,25,6
"Blackpool.1",45.8895705521472,3.19018404907975,3.06748466257669,3.06748466257669,3.06748466257669,0.736196319018405
"Borough of Halton",631,59,19,19,19,0
"Borough of Halton.1",77.9975278121137,7.2929542645241,2.34857849196539,2.34857849196539,2.34857849196539,0
"Bracknell Forest",582,104,19,19,19,0
"Bracknell Forest.1",71.9406674907293,12.8553770086527,2.34857849196539,2.34857849196539,2.34857849196539,0
"Brighton and Hove",32,12,6,2,2,0
"Brighton and Hove.1",3.92638036809816,1.47239263803681,0.736196319018405,0.245398773006135,0.245398773006135,0
"Bristol City",25,0,0,0,0,0
"Bristol City.1",3.06748466257669,0,0,0,0,0
"Buckinghamshire",25,0,0,0,0,0
"Buckinghamshire.1",3.06748466257669,0,0,0,0,0
"Cambridgeshire",25,0,0,0,0,0
"Cambridgeshire.1",3.06748466257669,0,0,0,0,0
"Central Bedfordshire",43,19,7,6,6,1
"Central Bedfordshire.1",5.2760736196319,2.33128834355828,0.858895705521472,0.736196319018405,0.736196319018405,0.122699386503067
"Cheshire East",25,3,3,0,0,0
"Cheshire East.1",3.06748466257669,0.368098159509202,0.368098159509202,0,0,0
"Cheshire West and Chester",25,3,3,0,0,0
"Cheshire West and Chester.1",3.06748466257669,0.368098159509202,0.368098159509202,0,0,0
"Cornwall",27,6,3,0,0,0
"Cornwall.1",3.31288343558282,0.736196319018405,0.368098159509202,0,0,0
"County Durham",25,3,0,0,0,0
"County Durham.1",3.06748466257669,0.368098159509202,0,0,0,0
"Cumbria",25,1,0,0,0,0
"Cumbria.1",3.06748466257669,0.122699386503067,0,0,0,0
"Darlington",688,62,19,19,19,0
"Darlington.1",85.0432632880099,7.66378244746601,2.34857849196539,2.34857849196539,2.34857849196539,0
"Derby",266,6,5,3,0,0
"Derby.1",32.638036809816,0.736196319018405,0.613496932515337,0.368098159509202,0,0
"Derbyshire",20,0,0,0,0,0
"Derbyshire.1",2.45398773006135,0,0,0,0,0
"Devon",23,0,0,0,0,0
"Devon.1",2.82208588957055,0,0,0,0,0
"Dorset",26,0,0,0,0,0
"Dorset.1",3.19018404907975,0,0,0,0,0
"East Riding of Yorkshire",29,25,22,3,3,0
"East Riding of Yorkshire.1",3.55828220858896,3.06748466257669,2.69938650306748,0.368098159509202,0.368098159509202,0
"East Sussex",25,1,0,0,0,0
"East Sussex.1",3.06748466257669,0.122699386503067,0,0,0,0
"Essex",19,0,0,0,0,0
"Essex.1",2.33128834355828,0,0,0,0,0
"Gloucestershire",25,0,0,0,0,0
"Gloucestershire.1",3.06748466257669,0,0,0,0,0
"Greater London",0,0,0,0,0,0
"Greater London.1",0,0,0,0,0,0
"Greater Manchester",0,0,0,0,0,0
"Greater Manchester.1",0,0,0,0,0,0
"Hampshire",12,0,0,0,0,0
"Hampshire.1",1.47239263803681,0,0,0,0,0
"Hartlepool",799,180,19,19,19,18
"Hartlepool.1",98.7639060568603,22.2496909765142,2.34857849196539,2.34857849196539,2.34857849196539,2.22496909765142
"Herefordshire",39,24,22,22,22,3
"Herefordshire.1",4.80295566502463,2.95566502463054,2.70935960591133,2.70935960591133,2.70935960591133,0.369458128078818
"Isle of Wight",51,47,22,22,22,3
"Isle of Wight.1",6.2807881773399,5.78817733990148,2.70935960591133,2.70935960591133,2.70935960591133,0.369458128078818
"Kent",2,0,0,0,0,0
"Kent.1",0.245398773006135,0,0,0,0,0
"Kingston upon Hull",41,6,3,0,0,0
"Kingston upon Hull.1",5.03067484662577,0.736196319018405,0.368098159509202,0,0,0
"Lancashire",21,0,0,0,0,0
"Lancashire.1",2.57668711656442,0,0,0,0,0
"Leicester",28,3,0,0,0,0
"Leicester.1",3.43558282208589,0.368098159509202,0,0,0,0
"Leicestershire",25,0,0,0,0,0
"Leicestershire.1",3.06748466257669,0,0,0,0,0
"Lincolnshire",25,3,0,0,0,0
"Lincolnshire.1",3.06748466257669,0.368098159509202,0,0,0,0
"Luton",773,25,25,6,4,0
"Luton.1",94.8466257668712,3.06748466257669,3.06748466257669,0.736196319018405,0.49079754601227,0
"Medway",32,22,18,6,3,1
"Medway.1",3.92638036809816,2.69938650306748,2.20858895705521,0.736196319018405,0.368098159509202,0.122699386503067
"Merseyside",1,0,0,0,0,0
"Merseyside.1",0.122699386503067,0,0,0,0,0
"Middlesbrough",580,46,22,22,22,3
"Middlesbrough.1",71.4285714285714,5.66502463054187,2.70935960591133,2.70935960591133,2.70935960591133,0.369458128078818
"Milton Keynes",25,6,3,2,0,0
"Milton Keynes.1",3.06748466257669,0.736196319018405,0.368098159509202,0.245398773006135,0,0
"Norfolk",24,0,0,0,0,0
