,parks_percent_change_from_baseline,residential_percent_change_from_baseline,transit_stations_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,retail_and_recreation_percent_change_from_baseline,workplaces_percent_change_from_baseline
Bath and North East Somerset,5.911330049,4.064039409,2.709359606,2.709359606,2.339901478,0.369458128
Bedford,39.26380368,3.067484663,2.699386503,2.576687117,2.331288344,0.736196319
Blackburn with Darwen,99.63054187,5.172413793,2.709359606,2.709359606,2.709359606,0.369458128
Blackpool,45.88957055,3.190184049,3.067484663,3.067484663,3.067484663,0.736196319
Borough of Halton,77.99752781,7.292954265,2.348578492,2.348578492,2.348578492,0
Bracknell Forest,71.94066749,12.85537701,2.348578492,2.348578492,2.348578492,0
Brighton and Hove,3.926380368,1.472392638,0.736196319,0.245398773,0.245398773,0
Bristol City,3.067484663,0,0,0,0,0
Buckinghamshire,3.067484663,0,0,0,0,0
Cambridgeshire,3.067484663,0,0,0,0,0
Central Bedfordshire,5.27607362,2.331288344,0.858895706,0.736196319,0.736196319,0.122699387
Cheshire East,3.067484663,0.36809816,0.36809816,0,0,0
Cheshire West and Chester,3.067484663,0.36809816,0.36809816,0,0,0
Cornwall,3.312883436,0.736196319,0.36809816,0,0,0
County Durham,3.067484663,0.36809816,0,0,0,0
Cumbria,3.067484663,0.122699387,0,0,0,0
Darlington,85.04326329,7.663782447,2.348578492,2.348578492,2.348578492,0
Derby,32.63803681,0.736196319,0.613496933,0.36809816,0,0
Derbyshire,2.45398773,0,0,0,0,0
Devon,2.82208589,0,0,0,0,0
Dorset,3.190184049,0,0,0,0,0
East Riding of Yorkshire,3.558282209,3.067484663,2.699386503,0.36809816,0.36809816,0
East Sussex,3.067484663,0.122699387,0,0,0,0
Essex,2.331288344,0,0,0,0,0
Gloucestershire,3.067484663,0,0,0,0,0
Greater London,0,0,0,0,0,0
Greater Manchester,0,0,0,0,0,0
Hampshire,1.472392638,0,0,0,0,0
Hartlepool,98.76390606,22.24969098,2.348578492,2.348578492,2.348578492,2.224969098
Herefordshire,4.802955665,2.955665025,2.709359606,2.709359606,2.709359606,0.369458128
Isle of Wight,6.280788177,5.78817734,2.709359606,2.709359606,2.709359606,0.369458128
Kent,0.245398773,0,0,0,0,0
Kingston upon Hull,5.030674847,0.736196319,0.36809816,0,0,0
