"","sub_region_1","Pre_lockdown_av","Min_during_lockdown","Drop","Min_days","Mobility_30days","Rebound_30days"
"X","Bath and North East Somerset","-87","-14.2142857142857","72.7857142857143","19","-69.6666666666667","17.3333333333333"
"X.1","Bedford","-83","-11.0714285714286","71.9285714285714","19","-57.4444444444444","25.5555555555556"
"X.2","Blackburn with Darwen","-80","-5.71428571428571","74.2857142857143","19","-53.1111111111111","26.8888888888889"
"X.3","Blackpool","-77","-7.5","69.5","19","-54.5555555555556","22.4444444444444"
"X.4","Borough of Halton","-82","-7.07142857142857","74.9285714285714","19","-56.2222222222222","25.7777777777778"
"X.5","Bracknell Forest","-88","-16.2857142857143","71.7142857142857","19","-66","22"
"X.6","Brighton and Hove","-87","-17.8571428571429","69.1428571428571","19","-69.5555555555556","17.4444444444444"
"X.7","Bristol City","-86","-15.6428571428571","70.3571428571429","19","-67.1111111111111","18.8888888888889"
"X.8","Buckinghamshire","-87","-14.2142857142857","72.7857142857143","19","-64.4444444444444","22.5555555555556"
"X.9","Cambridgeshire","-86","-14.7857142857143","71.2142857142857","19","-63.8888888888889","22.1111111111111"
"X.10","Central Bedfordshire","-87","-11.2857142857143","75.7142857142857","19","-61.6666666666667","25.3333333333333"
"X.11","Cheshire East","-84","-11.7142857142857","72.2857142857143","19","-60.2222222222222","23.7777777777778"
"X.12","Cheshire West and Chester","-84","-11.2857142857143","72.7142857142857","19","-61.6666666666667","22.3333333333333"
"X.13","Cornwall","-80","-8.42857142857143","71.5714285714286","19","-57.1111111111111","22.8888888888889"
"X.14","County Durham","-83","-9.07142857142857","73.9285714285714","19","-58.2222222222222","24.7777777777778"
"X.15","Cumbria","-81","-8.28571428571429","72.7142857142857","19","-60.5555555555556","20.4444444444444"
"X.16","Darlington","-80","-8.57142857142857","71.4285714285714","19","-56.2222222222222","23.7777777777778"
"X.17","Derby","-83","-9.21428571428571","73.7857142857143","19","-58.4444444444444","24.5555555555556"
"X.18","Derbyshire","-84","-9.07142857142857","74.9285714285714","19","-58.1111111111111","25.8888888888889"
"X.19","Devon","-82","-10.8571428571429","71.1428571428571","19","-58.1111111111111","23.8888888888889"
"X.20","Dorset","-84","-10.7142857142857","73.2857142857143","19","-60.2222222222222","23.7777777777778"
"X.21","East Riding of Yorkshire","-82","-7.85714285714286","74.1428571428571","19","-56.4444444444444","25.5555555555556"
"X.22","East Sussex","-83","-10.5714285714286","72.4285714285714","19","-59.3333333333333","23.6666666666667"
"X.23","Essex","-85","-11.6428571428571","73.3571428571429","19","-60.5555555555556","24.4444444444444"
"X.24","Gloucestershire","-85","-10.9285714285714","74.0714285714286","19","-59.2222222222222","25.7777777777778"
"X.25","Greater London","-87","-19.5","67.5","19","-67.7777777777778","19.2222222222222"
"X.26","Greater Manchester","-83","-11.3571428571429","71.6428571428571","19","-59.8888888888889","23.1111111111111"
"X.27","Hampshire","-86","-11.7857142857143","74.2142857142857","19","-61.2222222222222","24.7777777777778"
"X.28","Hartlepool","-79","-5.42857142857143","73.5714285714286","19","-52.8888888888889","26.1111111111111"
"X.29","Herefordshire","-78","-7.57142857142857","70.4285714285714","19","-50.3333333333333","27.6666666666667"
"X.30","Isle of Wight","-80","-7","73","19","-55.6666666666667","24.3333333333333"
"X.31","Kent","-83","-11.0714285714286","71.9285714285714","19","-59","24"
"X.32","Kingston upon Hull","-79","-5.64285714285714","73.3571428571429","19","-53.1111111111111","25.8888888888889"
"X.33","Lancashire","-81","-8.28571428571429","72.7142857142857","19","-55.4444444444444","25.5555555555556"
"X.34","Leicester","-78","-9.78571428571429","68.2142857142857","19","-54.6666666666667","23.3333333333333"
"X.35","Leicestershire","-85","-9.57142857142857","75.4285714285714","19","-60.2222222222222","24.7777777777778"
"X.36","Lincolnshire","-77","-6.35714285714286","70.6428571428571","19","-53.1111111111111","23.8888888888889"
"X.37","Luton","-79","-7.71428571428571","71.2857142857143","19","-55.1111111111111","23.8888888888889"
"X.38","Medway","-83","-9","74","19","-57.2222222222222","25.7777777777778"
"X.39","Merseyside","-82","-9.85714285714286","72.1428571428571","19","-59.1111111111111","22.8888888888889"
"X.40","Middlesbrough","-76","-7.21428571428571","68.7857142857143","19","-52.4444444444444","23.5555555555556"
"X.41","Milton Keynes","-84","-12.5714285714286","71.4285714285714","19","-62.1111111111111","21.8888888888889"
"X.42","Norfolk","-81","-8.35714285714286","72.6428571428571","19","-55.7777777777778","25.2222222222222"
"X.43","North East Lincolnshire","-74","-5.35714285714286","68.6428571428571","19","-47.8888888888889","26.1111111111111"
"X.44","North Lincolnshire","-79","-5.71428571428571","73.2857142857143","19","-50","29"
"X.45","North Somerset","-83","-12.7142857142857","70.2857142857143","19","-60.5555555555556","22.4444444444444"
"X.46","North Yorkshire","-83","-8.92857142857143","74.0714285714286","19","-58.2222222222222","24.7777777777778"
"X.47","Northamptonshire","-82","-9","73","19","-55","27"
"X.48","Northumberland","-81","-8.5","72.5","19","-56.7777777777778","24.2222222222222"
