"","(Intercept)","days_since_lockdown","bank_holiday1","dayMonday","dayTuesday","dayWednesday","dayThursday","dayFriday","daySaturday"
"Bath and North East Somerset",-66.016489029497,0.257425438461775,-13.7876263169211,-14.3761543856416,-14.6441648726104,-14.9015903110721,-14.2277236846147,-13.5205447369229,2.17409210512844
"Bedford",-48.3474188858515,0.299536198052646,-18.6338959363578,-23.4438868753264,-23.4522108544362,-23.5699288706706,-23.1013914058421,-21.9619449478351,-4.36713046861403
"Blackburn with Darwen",-46.7314095279049,0.336901434407347,-19.8700279509783,-21.3585634425776,-21.6537387574799,-21.1724583737054,-21.1559623634446,-21.3478591393556,-6.49643189892599
"Blackpool",-55.1928643097746,0.291795927143164,-16.5489142119974,-11.5336435584769,-11.1153364123156,-11.4980414303678,-11.2912788852371,-10.3249224437141,-1.62487073952351
"Borough of Halton",-48.8134809718339,0.29671038486347,-21.0076327671469,-19.2121049236723,-19.6003889681593,-19.8061902621137,-19.3598688454096,-18.3219737690819,-3.6199562818032
"Bracknell Forest",-57.4586340879073,0.306232146696563,-15.4276499677489,-23.7349571520718,-23.7906517799552,-23.5514293811972,-23.0813035599103,-21.3162607119821,1.05623214669655
"Brighton and Hove",-63.038478668182,0.253939245016433,-12.116910341862,-17.6511208547061,-18.1190911324754,-18.2821212865827,-17.4048489316174,-16.3059697863235,-1.24606075498357
"Bristol City",-55.0794248036776,0.264966059526369,-12.8242850999785,-25.37758520953,-25.3373993955589,-25.2387290914489,-24.9551018214209,-23.8326870309508,-3.40170060714031
"Buckinghamshire",-56.5319209386614,0.332094480449673,-16.8604063642228,-23.0220267530792,-23.4791310065982,-23.4475891234115,-22.9203832253176,-21.2757433117302,-1.58457218621699
"Cambridgeshire",-53.9070194837772,0.272859907239611,-16.4079767791873,-22.7048637773751,-22.8255586239891,-23.0984185312287,-22.6814202782812,-21.2196173889896,-1.72714009276039
"Central Bedfordshire",-52.0765324405402,0.341201584912615,-19.333906686734,-24.4522171371236,-25.0260764105099,-25.1854598136043,-24.5597285785955,-23.4286123823858,-4.74213174842073
"Cheshire East",-52.4376017446325,0.305725343244156,-17.6319071167491,-21.7004074904526,-22.1550483487701,-22.0971373283779,-22.0828239702675,-20.9498981273868,-4.69427465675585
"Cheshire West and Chester",-55.9305986423811,0.281460208250146,-18.0857342506988,-17.1838378331337,-18.2369005967157,-18.4274517140567,-17.7389527085829,-16.9227905417166,-3.05187312508319
"Cornwall",-56.5730283298011,0.337101084252234,-16.9183508922812,-14.1840426022054,-15.1837423130156,-15.2481161245405,-14.65536341391,-14.256072682782,-2.16289891574777
"County Durham",-54.0915240962005,0.297386122800012,-19.6519565684799,-16.43872669472,-16.8948299067091,-16.4649433022364,-16.1911749649333,-15.79656832632,-2.28594721053332
"Cumbria",-59.0840269885636,0.323309887274626,-15.7341969468931,-14.2009437294591,-14.8483685024214,-15.171678389696,-14.7800703381761,-14.1476807343019,-3.34335677939205
"Darlington",-51.3214464887223,0.300918389286482,-18.6222855299936,-17.5305374676209,-17.3516527191006,-18.0162074720234,-17.5139114988072,-17.0444489664281,-4.69908161071353
"Derby",-53.7130878152164,0.33043585096907,-17.0743388518598,-19.9847127089925,-20.14070985991,-20.1075093472427,-19.6753591137595,-18.9100718227519,-3.58623081569762
"Derbyshire",-54.136289174883,0.324569217065454,-20.6736185766502,-16.7956327876238,-17.4828431440988,-17.8983214520733,-17.2762923488036,-16.1552584697607,-3.92543078293454
"Devon",-55.1214715729336,0.322204134287557,-18.7934852719845,-15.9399565889568,-16.4939665258414,-16.9979888419471,-16.1167209304707,-15.6400108527608,-4.01112919904579
"Dorset",-56.3614353288079,0.315938200694167,-18.546119114169,-16.558251681666,-16.9124563353224,-17.1374854451075,-16.3855187312508,-16.1104370795835,-3.76739513263918
"East Riding of Yorkshire",-52.7540390699389,0.325398531805756,-20.3166523328317,-16.2726231430005,-16.8073567477459,-17.4054825522789,-16.7738044045827,-16.2130942142499,-3.75793480152758
"East Sussex",-56.0502477705767,0.3224959302147,-18.4410341861965,-16.0823235658486,-16.6677712561931,-16.9902671864078,-16.5325122093559,-15.3648357752045,-1.84417073645197
"Essex",-54.8733784849136,0.338314341001935,-18.8081595355838,-20.4536210850713,-21.2046497006183,-21.1793276779839,-20.8183903103275,-19.1886780620655,-2.32835232566473
"Gloucestershire",-53.8805530812626,0.324430997942071,-20.0247796172866,-19.153634395061,-19.6421413818748,-19.9665723798168,-19.1933736728405,-18.0970080679014,-3.0922356687246
"Greater London",-61.1469730011979,0.29872224099272,-11.8407331756612,-21.6586000450492,-22.0746439112382,-22.0097297885945,-21.6038332770218,-20.1790999887377,-1.61794442567395
"Greater Manchester",-53.2550040441892,0.297309334398132,-16.9026015910557,-20.3968757358889,-20.8191875135543,-20.7528604843161,-20.2747386634723,-19.5049477326944,-3.20269066560187
"Hampshire",-52.8308402698856,0.323233098872746,-18.2348419694689,-23.1174261039613,-23.5530291395697,-23.5126258748061,-23.1136340367151,-21.7310601406764,-2.84343356779393
"Hartlepool",-48.6617752454669,0.349279724790368,-20.8660503117609,-18.1216046728302,-18.8548682916023,-18.6586934709382,-19.5354941589622,-17.5737654984591,-5.15072027520964
"Herefordshire",-48.4643701815278,0.306370365819946,-22.8264889271125,-13.9186222113012,-13.6086262694519,-14.6422693625446,-13.9142222358735,-13.3328444471747,-2.86029630084673
"Isle of Wight",-53.0005247207461,0.353426298491876,-17.5812190926682,-16.5065564497138,-17.2274363098379,-17.3990444265116,-17.1897211045244,-16.3629442209049,-5.22990703484147
"Kent",-52.2467134563996,0.313173818226495,-17.5693399268974,-20.6349504970769,-20.9166029090239,-21.2297767272504,-20.8104785453205,-19.5287623757308,-3.18682618177351
