"","(Intercept)","days_since_lockdown","dayMonday","dayTuesday","dayWednesday","dayThursday","dayFriday","daySaturday"
"Bath and North East Somerset",-66.0352209291323,0.257876809537326,-14.064729397294,-14.643487815997,-14.9013646255344,-14.226369571388,-14.9476416879553,2.17454347620399
"Bedford",-48.3855142397578,0.300454158387738,-23.1240774907749,-23.4508339139335,-23.5694698905031,-23.0986375248368,-23.9236327940203,-4.36621250827893
"Blackburn with Darwen",-46.7562710352378,0.337500506873201,-20.8928747144614,-21.6528401487811,-21.1721588374725,-21.1541651460471,-23.3990126110052,-6.49583282646014
"Blackpool",-55.2245360420637,0.29255910141519,-11.2325250395361,-11.1141916509075,-11.4976598432318,-11.2889893624211,-12.0615371098766,-1.62410756525148
"Borough of Halton",-48.8465066299014,0.297506183853047,-18.7730715164295,-19.599195269675,-19.8057923626189,-19.3574814484408,-20.5079538542638,-3.61916048281363
"Bracknell Forest",-57.4818721868537,0.306792100888042,-23.4045071164997,-23.7898118486679,-23.5511494041014,-23.0796236973359,-22.9189874700945,1.05679210088804
"Brighton and Hove",-63.0452171444792,0.254101617939256,-17.3005227552276,-18.1188475730911,-18.2820401001213,-17.4043618128489,-17.5350482543287,-1.24589838206075
"Bristol City",-55.1132023572983,0.265779976481083,-25.2172772799157,-25.3361785201269,-25.2383221329716,-24.9526600705567,-25.202272481516,-3.4008866901856
"Buckinghamshire",-56.5681318681318,0.332967032967033,-22.7464285714286,-23.4778221778222,-23.4471528471528,-22.9177655677655,-23.0552197802198,-1.58369963369963
"Cambridgeshire",-53.9418569130746,0.27369936336726,-22.4334826919698,-22.8242994397976,-23.0979988031649,-22.6789019098982,-22.9503068272441,-1.72630063663274
"Central Bedfordshire",-52.1161253260884,0.342155630347512,-24.1209189949042,-25.0246453423575,-25.1849827908868,-24.5568664422908,-25.4641654163794,-4.74117770298583
"Cheshire East",-52.4766554478732,0.306666396334293,-21.421577930065,-22.1536367691349,-22.0966668018328,-22.0800008109971,-22.8138599407972,-4.69333360366571
"Cheshire West and Chester",-55.9701613884271,0.282413527431978,-16.8939070462133,-18.2354706179429,-18.4269750544658,-17.7360927510374,-18.8334485625076,-3.05091980590135
"Cornwall",-56.6007109741427,0.337768135923117,-13.83905728343,-15.1827417355093,-15.2477825987051,-14.6533622588973,-16.0193378884338,-2.16223186407689
"County Durham",-54.1330238027655,0.298386115729289,-16.1119091548058,-16.8933299173152,-16.4644433057717,-16.1881749861454,-17.8688465593447,-2.28494721760404
"Cumbria",-59.1118858386386,0.323981184866794,-13.8968239325251,-14.8473615560331,-15.1713427408999,-14.7780564453996,-15.7929852128192,-3.34268548179988
"Darlington",-51.3496364029574,0.301597664328291,-17.1327666490951,-17.3506338065379,-18.0158678345025,-17.5118736736818,-18.9794165551546,-4.69840233567172
"Derby",-53.7407221929362,0.331101739588824,-19.6341460200316,-20.1397110269804,-20.1071764029329,-19.6733614479002,-20.68881128097,-3.58556492707786
"Derbyshire",-54.1706162226457,0.325396374842869,-16.3780267088385,-17.4816024074326,-17.8979078731846,-17.2738108754714,-18.3111951394239,-3.92460362515712
"Devon",-55.1472588297311,0.322825513969425,-15.5174749604639,-16.4930344563186,-16.9976781521062,-16.1148567914251,-17.5858987875593,-4.01050781936392
"Dorset",-56.3904606463647,0.316637605936498,-16.1696274819891,-16.9114072274589,-17.1371357424863,-16.3834205155238,-18.0399436357001,-3.76669572739685
"East Riding of Yorkshire",-52.7854182717651,0.326154657150967,-15.8435995431383,-16.8062225597281,-17.4051044896063,-16.7715360285471,-18.3257278699161,-3.75717867618236
"East Sussex",-56.0831096332941,0.323287782328373,-15.7275478826217,-16.6665834780226,-16.989871260351,-16.5301366530149,-17.2937333576632,-1.8433788843383
"Essex",-54.9195382723057,0.339426625035481,-20.1917896678967,-21.202981274568,-21.1787715359671,-20.8150534582269,-21.1886010975494,-2.32724004163119
"Gloucestershire",-53.9243184245029,0.325485584526175,-18.8323097873836,-19.6405595019986,-19.9660450865248,-19.1902099130882,-20.2124146763446,-3.09118108214049
"Greater London",-61.1692044118243,0.299257937634321,-21.4397513617993,-22.0738403662758,-22.0094619402737,-21.602226187097,-21.4205374883419,-1.61740872903235
"Greater Manchester",-53.290939810497,0.298175256477839,-20.1176946055175,-20.8178886304347,-20.7524275232762,-20.2721408972332,-21.287933714502,-3.20182474352216
"Hampshire",-52.8620541205412,0.323985239852398,-22.7564883148832,-23.5519009281002,-23.5122498043162,-23.1113776137761,-23.635086100861,-2.84268142681428
"Hartlepool",-48.7047085141181,0.350314261384372,-17.7656562994202,-18.8533164867113,-18.6581762026412,-19.5323905491802,-19.7711521565765,-5.14968573861564
"Herefordshire",-48.510311828393,0.307477393455253,-13.5211210683535,-13.6069657279989,-14.6417158487269,-13.9109011529676,-15.7340375491667,-2.85918927321142
"Isle of Wight",-53.0054958571563,0.353546084911398,-15.9598357054999,-17.2272566302087,-17.3989845333019,-17.1893617452658,-18.1338932592623,-5.22978724842195
"Kent",-52.2800677182596,0.313977535379749,-20.3131259884028,-20.915397333294,-21.2293748686738,-20.8080673938608,-21.3717610802482,-3.18602246462025
"Kingston upon Hull",-50.169003014206,0.291220956165606,-13.91827886136,-14.6616534142364,-15.4983289158566,-14.3763371315032,-16.0432440560669,-1.54211237716773
