"","(Intercept)","dayFriday","dayMonday","daySaturday","dayThursday","dayTuesday","dayWednesday","days_since_lockdown"
"Bath and North East Somerset",-66.366182836771,-15.8016297428062,-16.6825184619302,2.18251846193023,-14.2024446142093,-14.6315253374077,-14.8973771326713,0.26585179526356
"Bedford",-48.8200280112045,-25.0448179271709,-26.5609243697479,-4.35574229691877,-23.0672268907563,-23.4351285968933,-23.564234784823,0.310924369747899
"Blackburn with Darwen",-47.2353705118411,-24.6352431881844,-24.6823784059078,-6.48428826075885,-21.1195314489432,-21.6355233002292,-21.1663865546219,0.349045072574484
"Blackpool",-55.6125923096511,-13.0628469569646,-14.301909854851,-1.61475681181564,-11.2609371021135,-11.1001655207538,-11.4929844665139,0.301909854851031
"Borough of Halton",-49.3462948815889,-21.7975681181564,-22.7262159409218,-3.60711739241151,-19.3213521772345,-19.5811306340718,-19.7997708174179,0.309549274255156
"Bracknell Forest",-57.849923605806,-23.8686783804431,-26.3156608097785,1.06566080977846,-23.0530175706646,-23.7765087853323,-23.5467150496562,0.315660809778457
"Brighton and Hove",-63.3457983193277,-18.3106442577031,-19.6780112044818,-1.23865546218488,-17.3826330532213,-18.1079831932773,-18.2784186401834,0.261344537815126
"Bristol City",-55.4046855105679,-25.9543926661574,-27.5228036669213,-3.39386299974537,-24.9315889992361,-25.3256429844665,-25.2348102877515,0.272803666921314
"Buckinghamshire",-56.9595492742551,-24.0652024446142,-25.8423987776929,-1.57426788897377,-22.889470333588,-23.4636745607334,-23.4424369747899,0.342398777692895
"Cambridgeshire",-54.3231729055258,-23.9342245989305,-25.4495543672014,-1.71711229946524,-22.6513368983957,-22.8105169340463,-23.0934046345811,0.282887700534759
"Central Bedfordshire",-52.5668958492488,-26.6272981920041,-27.686350903998,-4.73031576266871,-24.5242806213395,-25.0083524318818,-25.1795518207283,0.353017570664629
"Cheshire East",-52.8847975553858,-23.8669977081742,-24.6498344792463,-4.68349885408709,-22.0504965622613,-22.138884644767,-22.0917494270435,0.31650114591291
"Cheshire West and Chester",-56.3893048128342,-19.9149732620321,-20.2091800356506,-3.04081996434938,-17.7057932263815,-18.220320855615,-18.4219251336898,0.292513368983957
"Cornwall",-57.0021263050675,-17.0551184110008,-17.0141074611663,-2.15255920550038,-14.6243442831678,-15.1682327476445,-15.2429462694168,0.347440794499618
"County Durham",-54.5899541634835,-19.0478736949325,-19.7260631525338,-2.27393684746626,-16.1551438757321,-16.8768143621085,-16.4589381207028,0.309396485867074
"Cumbria",-59.4830914183855,-16.7508148714031,-16.8329258976318,-3.33374076903489,-14.7512223071047,-14.8339444868857,-15.1668703845175,0.33292589763178
"Darlington",-51.7937611408199,-20.1254010695187,-20.645632798574,-4.68770053475936,-17.4797682709447,-17.3345811051693,-18.0105169340463,0.312299465240641
"Derby",-54.1461420932009,-21.7349248790425,-22.8408708938121,-3.57579577285461,-19.6440539852305,-20.1250572956455,-20.1022918258212,0.34087089381207
"Derbyshire",-54.6606315253374,-19.5755920550038,-20.2538706391648,-3.9127960275019,-17.2383880825057,-17.4638910109498,-17.892004074357,0.33720397249809
"Devon",-55.598128342246,-18.7492869875223,-19.0836898395722,-3.99964349376115,-16.0822638146168,-16.4767379679144,-16.9922459893048,0.333689839572193
