"","week","week_start_date","region","cases_av"
"results","5",2020-01-27,"East","1.5"
"results.1","5",2020-01-27,"East Midlands","NaN"
"results.2","5",2020-01-27,"London","0.5"
"results.3","5",2020-01-27,"North East","NaN"
"results.4","5",2020-01-27,"North West","0.333333333333333"
"results.5","5",2020-01-27,"South East","2.5"
"results.6","5",2020-01-27,"South West","1.5"
"results.7","5",2020-01-27,"West Midlands","NaN"
"results.8","5",2020-01-27,"Yorkshire and the Humber","0.5"
"results.9","6",2020-02-03,"East","0"
"results.10","6",2020-02-03,"East Midlands","NaN"
"results.11","6",2020-02-03,"London","0.714285714285714"
"results.12","6",2020-02-03,"North East","NaN"
"results.13","6",2020-02-03,"North West","0"
"results.14","6",2020-02-03,"South East","0.714285714285714"
"results.15","6",2020-02-03,"South West","0"
"results.16","6",2020-02-03,"West Midlands","NaN"
"results.17","6",2020-02-03,"Yorkshire and the Humber","0"
"results.18","7",2020-02-10,"East","0"
"results.19","7",2020-02-10,"East Midlands","NaN"
"results.20","7",2020-02-10,"London","0.285714285714286"
"results.21","7",2020-02-10,"North East","NaN"
"results.22","7",2020-02-10,"North West","0"
"results.23","7",2020-02-10,"South East","0"
"results.24","7",2020-02-10,"South West","0"
"results.25","7",2020-02-10,"West Midlands","0.142857142857143"
"results.26","7",2020-02-10,"Yorkshire and the Humber","0"
"results.27","8",2020-02-17,"East","0"
"results.28","8",2020-02-17,"East Midlands","0.4"
"results.29","8",2020-02-17,"London","0.857142857142857"
"results.30","8",2020-02-17,"North East","NaN"
"results.31","8",2020-02-17,"North West","0"
"results.32","8",2020-02-17,"South East","0.285714285714286"
"results.33","8",2020-02-17,"South West","0"
"results.34","8",2020-02-17,"West Midlands","0.142857142857143"
"results.35","8",2020-02-17,"Yorkshire and the Humber","0"
"results.36","9",2020-02-24,"East","1.42857142857143"
"results.37","9",2020-02-24,"East Midlands","1.85714285714286"
"results.38","9",2020-02-24,"London","3.28571428571429"
"results.39","9",2020-02-24,"North East","0.5"
"results.40","9",2020-02-24,"North West","2.85714285714286"
"results.41","9",2020-02-24,"South East","2"
"results.42","9",2020-02-24,"South West","2.85714285714286"
"results.43","9",2020-02-24,"West Midlands","1"
"results.44","9",2020-02-24,"Yorkshire and the Humber","1.71428571428571"
"results.45","10",2020-03-02,"East","5.42857142857143"
"results.46","10",2020-03-02,"East Midlands","5.71428571428571"
"results.47","10",2020-03-02,"London","33.7142857142857"
"results.48","10",2020-03-02,"North East","1.85714285714286"
"results.49","10",2020-03-02,"North West","7.14285714285714"
"results.50","10",2020-03-02,"South East","14"
"results.51","10",2020-03-02,"South West","6.14285714285714"
"results.52","10",2020-03-02,"West Midlands","6.57142857142857"
"results.53","10",2020-03-02,"Yorkshire and the Humber","5.57142857142857"
"results.54","11",2020-03-09,"East","26.5714285714286"
"results.55","11",2020-03-09,"East Midlands","24.7142857142857"
"results.56","11",2020-03-09,"London","192.714285714286"
"results.57","11",2020-03-09,"North East","6.85714285714286"
"results.58","11",2020-03-09,"North West","36.7142857142857"
"results.59","11",2020-03-09,"South East","64.4285714285714"
"results.60","11",2020-03-09,"South West","18.1428571428571"
"results.61","11",2020-03-09,"West Midlands","44.7142857142857"
"results.62","11",2020-03-09,"Yorkshire and the Humber","16.1428571428571"
"results.63","12",2020-03-16,"East","102.428571428571"
"results.64","12",2020-03-16,"East Midlands","84"
"results.65","12",2020-03-16,"London","460.142857142857"
"results.66","12",2020-03-16,"North East","33.7142857142857"
"results.67","12",2020-03-16,"North West","131.285714285714"
"results.68","12",2020-03-16,"South East","169.714285714286"
