"","week","week_start_date","region","type_mobility","mobility_av"
"results",57,2020-02-12,"East","retail_recreation",-60.5
"results.1",57,2020-02-12,"East","grocery_pharmacy",-23.6571428571429
"results.2",57,2020-02-12,"East","parks",-3.65249433106576
"results.3",57,2020-02-12,"East","transit_stations",-62.4
"results.4",57,2020-02-12,"East","workplaces",-42.5571428571429
"results.5",57,2020-02-12,"East","residential",17.7142857142857
"results.6",57,2020-02-12,"East","retail_recreation_av",NA
"results.7",57,2020-02-12,"East","grocery_pharmacy_av",NA
"results.8",57,2020-02-12,"East","parks_av",NA
"results.9",57,2020-02-12,"East","transit_stations_av",NA
"results.10",57,2020-02-12,"East","workplaces_av",NA
"results.11",57,2020-02-12,"East","residential_av",NA
"results.12",57,2020-02-12,"East Midlands","retail_recreation",-62.7440476190476
"results.13",57,2020-02-12,"East Midlands","grocery_pharmacy",-22.2142857142857
"results.14",57,2020-02-12,"East Midlands","parks",0.344104308390014
"results.15",57,2020-02-12,"East Midlands","transit_stations",-56.4285714285714
"results.16",57,2020-02-12,"East Midlands","workplaces",-43.031746031746
"results.17",57,2020-02-12,"East Midlands","residential",16.75
"results.18",57,2020-02-12,"East Midlands","retail_recreation_av",NA
"results.19",57,2020-02-12,"East Midlands","grocery_pharmacy_av",NA
"results.20",57,2020-02-12,"East Midlands","parks_av",NA
"results.21",57,2020-02-12,"East Midlands","transit_stations_av",NA
"results.22",57,2020-02-12,"East Midlands","workplaces_av",NA
"results.23",57,2020-02-12,"East Midlands","residential_av",NA
"results.24",57,2020-02-12,"London","retail_recreation",-70.5714285714286
"results.25",57,2020-02-12,"London","grocery_pharmacy",-27.5714285714286
"results.26",57,2020-02-12,"London","parks",-16.1428571428571
"results.27",57,2020-02-12,"London","transit_stations",-70.1428571428571
"results.28",57,2020-02-12,"London","workplaces",-55.1428571428571
"results.29",57,2020-02-12,"London","residential",22.7142857142857
"results.30",57,2020-02-12,"London","retail_recreation_av",NA
"results.31",57,2020-02-12,"London","grocery_pharmacy_av",NA
"results.32",57,2020-02-12,"London","parks_av",NA
"results.33",57,2020-02-12,"London","transit_stations_av",NA
"results.34",57,2020-02-12,"London","workplaces_av",NA
"results.35",57,2020-02-12,"London","residential_av",NA
"results.36",57,2020-02-12,"North East","retail_recreation",-58.4464285714286
"results.37",57,2020-02-12,"North East","grocery_pharmacy",-18.9642857142857
"results.38",57,2020-02-12,"North East","parks",-5.57687074829932
"results.39",57,2020-02-12,"North East","transit_stations",-54.8214285714286
"results.40",57,2020-02-12,"North East","workplaces",-38.1964285714286
"results.41",57,2020-02-12,"North East","residential",14.719387755102
"results.42",57,2020-02-12,"North East","retail_recreation_av",NA
"results.43",57,2020-02-12,"North East","grocery_pharmacy_av",NA
"results.44",57,2020-02-12,"North East","parks_av",NA
"results.45",57,2020-02-12,"North East","transit_stations_av",NA
"results.46",57,2020-02-12,"North East","workplaces_av",NA
"results.47",57,2020-02-12,"North East","residential_av",NA
"results.48",57,2020-02-12,"North West","retail_recreation",-60.5
"results.49",57,2020-02-12,"North West","grocery_pharmacy",-21.7
"results.50",57,2020-02-12,"North West","parks",-12.9365079365079
"results.51",57,2020-02-12,"North West","transit_stations",-57.9428571428571
"results.52",57,2020-02-12,"North West","workplaces",-42.2428571428571
"results.53",57,2020-02-12,"North West","residential",16.2571428571429
"results.54",57,2020-02-12,"North West","retail_recreation_av",NA
"results.55",57,2020-02-12,"North West","grocery_pharmacy_av",NA
"results.56",57,2020-02-12,"North West","parks_av",NA
"results.57",57,2020-02-12,"North West","transit_stations_av",NA
"results.58",57,2020-02-12,"North West","workplaces_av",NA
"results.59",57,2020-02-12,"North West","residential_av",NA
"results.60",57,2020-02-12,"South East","retail_recreation",-63.2932330827068
"results.61",57,2020-02-12,"South East","grocery_pharmacy",-25.2781954887218
"results.62",57,2020-02-12,"South East","parks",-7.58975256769374
"results.63",57,2020-02-12,"South East","transit_stations",-64.3157894736842
"results.64",57,2020-02-12,"South East","workplaces",-48.6616541353383
"results.65",57,2020-02-12,"South East","residential",19.6140350877193
"results.66",57,2020-02-12,"South East","retail_recreation_av",NA
"results.67",57,2020-02-12,"South East","grocery_pharmacy_av",NA
"results.68",57,2020-02-12,"South East","parks_av",NA
"results.69",57,2020-02-12,"South East","transit_stations_av",NA
"results.70",57,2020-02-12,"South East","workplaces_av",NA
"results.71",57,2020-02-12,"South East","residential_av",NA
"results.72",57,2020-02-12,"South West","retail_recreation",-63.1758241758242
"results.73",57,2020-02-12,"South West","grocery_pharmacy",-23.8571428571429
"results.74",57,2020-02-12,"South West","parks",-1.08150183150184
"results.75",57,2020-02-12,"South West","transit_stations",-60.0989010989011
"results.76",57,2020-02-12,"South West","workplaces",-44.5934065934066
"results.77",57,2020-02-12,"South West","residential",17.4285714285714
"results.78",57,2020-02-12,"South West","retail_recreation_av",NA
"results.79",57,2020-02-12,"South West","grocery_pharmacy_av",NA
"results.80",57,2020-02-12,"South West","parks_av",NA
"results.81",57,2020-02-12,"South West","transit_stations_av",NA
"results.82",57,2020-02-12,"South West","workplaces_av",NA
"results.83",57,2020-02-12,"South West","residential_av",NA
"results.84",57,2020-02-12,"West Midlands","retail_recreation",-61.9591836734694
"results.85",57,2020-02-12,"West Midlands","grocery_pharmacy",-23.6530612244898
"results.86",57,2020-02-12,"West Midlands","parks",-9.89795918367346
"results.87",57,2020-02-12,"West Midlands","transit_stations",-59.1428571428571
"results.88",57,2020-02-12,"West Midlands","workplaces",-41.6530612244898
"results.89",57,2020-02-12,"West Midlands","residential",16.6326530612245
"results.90",57,2020-02-12,"West Midlands","retail_recreation_av",NA
"results.91",57,2020-02-12,"West Midlands","grocery_pharmacy_av",NA
"results.92",57,2020-02-12,"West Midlands","parks_av",NA
"results.93",57,2020-02-12,"West Midlands","transit_stations_av",NA
"results.94",57,2020-02-12,"West Midlands","workplaces_av",NA
"results.95",57,2020-02-12,"West Midlands","residential_av",NA
"results.96",57,2020-02-12,"Yorkshire and the Humber","retail_recreation",-60.3928571428571
"results.97",57,2020-02-12,"Yorkshire and the Humber","grocery_pharmacy",-20.1428571428571
"results.98",57,2020-02-12,"Yorkshire and the Humber","parks",-18.7678571428571
"results.99",57,2020-02-12,"Yorkshire and the Humber","transit_stations",-51.9464285714286
"results.100",57,2020-02-12,"Yorkshire and the Humber","workplaces",-39.6607142857143
"results.101",57,2020-02-12,"Yorkshire and the Humber","residential",15.2678571428571
"results.102",57,2020-02-12,"Yorkshire and the Humber","retail_recreation_av",NA
"results.103",57,2020-02-12,"Yorkshire and the Humber","grocery_pharmacy_av",NA
"results.104",57,2020-02-12,"Yorkshire and the Humber","parks_av",NA
"results.105",57,2020-02-12,"Yorkshire and the Humber","transit_stations_av",NA
"results.106",57,2020-02-12,"Yorkshire and the Humber","workplaces_av",NA
"results.107",57,2020-02-12,"Yorkshire and the Humber","residential_av",NA
"results.108",63,2020-02-19,"East","retail_recreation",-49.0571428571429
"results.109",63,2020-02-19,"East","grocery_pharmacy",-8.92857142857143
"results.110",63,2020-02-19,"East","parks",10.9277210884354
"results.111",63,2020-02-19,"East","transit_stations",-53.8714285714286
"results.112",63,2020-02-19,"East","workplaces",-33.4285714285714
"results.113",63,2020-02-19,"East","residential",14.2857142857143
"results.114",63,2020-02-19,"East","retail_recreation_av",NA
"results.115",63,2020-02-19,"East","grocery_pharmacy_av",NA
"results.116",63,2020-02-19,"East","parks_av",NA
"results.117",63,2020-02-19,"East","transit_stations_av",NA
"results.118",63,2020-02-19,"East","workplaces_av",NA
"results.119",63,2020-02-19,"East","residential_av",NA
"results.120",63,2020-02-19,"East Midlands","retail_recreation",-51.2519841269841
"results.121",63,2020-02-19,"East Midlands","grocery_pharmacy",-6.60714285714286
"results.122",63,2020-02-19,"East Midlands","parks",18.5127551020408
"results.123",63,2020-02-19,"East Midlands","transit_stations",-47.3928571428571
"results.124",63,2020-02-19,"East Midlands","workplaces",-33.515873015873
"results.125",63,2020-02-19,"East Midlands","residential",13.3392857142857
"results.126",63,2020-02-19,"East Midlands","retail_recreation_av",NA
"results.127",63,2020-02-19,"East Midlands","grocery_pharmacy_av",NA
"results.128",63,2020-02-19,"East Midlands","parks_av",NA
"results.129",63,2020-02-19,"East Midlands","transit_stations_av",NA
"results.130",63,2020-02-19,"East Midlands","workplaces_av",NA
"results.131",63,2020-02-19,"East Midlands","residential_av",NA
"results.132",63,2020-02-19,"London","retail_recreation",-62.7142857142857
"results.133",63,2020-02-19,"London","grocery_pharmacy",-13.7142857142857
"results.134",63,2020-02-19,"London","parks",2.57142857142857
"results.135",63,2020-02-19,"London","transit_stations",-62.1428571428571
"results.136",63,2020-02-19,"London","workplaces",-47.8571428571429
"results.137",63,2020-02-19,"London","residential",19
"results.138",63,2020-02-19,"London","retail_recreation_av",NA
"results.139",63,2020-02-19,"London","grocery_pharmacy_av",NA
"results.140",63,2020-02-19,"London","parks_av",NA
"results.141",63,2020-02-19,"London","transit_stations_av",NA
"results.142",63,2020-02-19,"London","workplaces_av",NA
"results.143",63,2020-02-19,"London","residential_av",NA
"results.144",63,2020-02-19,"North East","retail_recreation",-48.9107142857143
"results.145",63,2020-02-19,"North East","grocery_pharmacy",-3.78571428571429
"results.146",63,2020-02-19,"North East","parks",6.91734693877551
"results.147",63,2020-02-19,"North East","transit_stations",-47.5892857142857
"results.148",63,2020-02-19,"North East","workplaces",-30.3392857142857
"results.149",63,2020-02-19,"North East","residential",12.2168367346939
"results.150",63,2020-02-19,"North East","retail_recreation_av",NA
"results.151",63,2020-02-19,"North East","grocery_pharmacy_av",NA
"results.152",63,2020-02-19,"North East","parks_av",NA
"results.153",63,2020-02-19,"North East","transit_stations_av",NA
