"","week","week_start_date","region","prevalence_av"
"results",18,2020-04-29,"East",0.00469809573870333
"results.1",18,2020-04-29,"East Midlands",0.00520237981243408
"results.2",18,2020-04-29,"London",0.0111796378527608
"results.3",18,2020-04-29,"North East",0.00185759489311758
"results.4",18,2020-04-29,"North West",0.00663350060544782
"results.5",18,2020-04-29,"South East",0.00529356381675483
"results.6",18,2020-04-29,"South West",0.00375779791976598
"results.7",18,2020-04-29,"West Midlands",0.00348165159743503
"results.8",18,2020-04-29,"Yorkshire and the Humber",0.00213988780325899
"results.9",19,2020-05-06,"East",0.00301436144336923
"results.10",19,2020-05-06,"East Midlands",0.00313382638955658
"results.11",19,2020-05-06,"London",0.00598118608614083
"results.12",19,2020-05-06,"North East",0.00149757883757617
"results.13",19,2020-05-06,"North West",0.00395377976731213
"results.14",19,2020-05-06,"South East",0.00330688466809469
"results.15",19,2020-05-06,"South West",0.00184102393298327
"results.16",19,2020-05-06,"West Midlands",0.00262243828770999
"results.17",19,2020-05-06,"Yorkshire and the Humber",0.00192792057476515
"results.18",20,2020-05-13,"East",0.00186972459028906
"results.19",20,2020-05-13,"East Midlands",0.00188699986724615
"results.20",20,2020-05-13,"London",0.0029450878194651
"results.21",20,2020-05-13,"North East",0.00120369458181207
"results.22",20,2020-05-13,"North West",0.00225638412244498
"results.23",20,2020-05-13,"South East",0.00205779441860546
"results.24",20,2020-05-13,"South West",0.000993819179997081
"results.25",20,2020-05-13,"West Midlands",0.00182103857017308
"results.26",20,2020-05-13,"Yorkshire and the Humber",0.00184139804163692
"results.27",21,2020-05-20,"East",0.00117770010896405
"results.28",21,2020-05-20,"East Midlands",0.00128703523002538
"results.29",21,2020-05-20,"London",0.00163876856813155
"results.30",21,2020-05-20,"North East",0.000976160456545466
"results.31",21,2020-05-20,"North West",0.00145051210891587
"results.32",21,2020-05-20,"South East",0.00149467957019392
"results.33",21,2020-05-20,"South West",0.000708833760199223
"results.34",21,2020-05-20,"West Midlands",0.00131472253761898
"results.35",21,2020-05-20,"Yorkshire and the Humber",0.00194677530676433
"results.36",22,2020-05-27,"East",0.000850129870354682
"results.37",22,2020-05-27,"East Midlands",0.000978344201310435
"results.38",22,2020-05-27,"London",0.00115394746230383
"results.39",22,2020-05-27,"North East",0.00077343782898001
"results.40",22,2020-05-27,"North West",0.00115601624362119
"results.41",22,2020-05-27,"South East",0.00128385911873813
"results.42",22,2020-05-27,"South West",0.000679761377548413
"results.43",22,2020-05-27,"West Midlands",0.0010172544550007
"results.44",22,2020-05-27,"Yorkshire and the Humber",0.00212202717084036
"results.45",23,2020-06-03,"East",0.000720980889312937
"results.46",23,2020-06-03,"East Midlands",0.000797915991091607
"results.47",23,2020-06-03,"London",0.0010870027130823
"results.48",23,2020-06-03,"North East",0.000590752042332786
"results.49",23,2020-06-03,"North West",0.00111345513326165
"results.50",23,2020-06-03,"South East",0.00115276443905446
"results.51",23,2020-06-03,"South West",0.000778302721705327
"results.52",23,2020-06-03,"West Midlands",0.000857147713631735
"results.53",23,2020-06-03,"Yorkshire and the Humber",0.00197351370616497
"results.54",24,2020-06-10,"East",0.000679916701696024
"results.55",24,2020-06-10,"East Midlands",0.000674580270641033
"results.56",24,2020-06-10,"London",0.00119492613262752
"results.57",24,2020-06-10,"North East",0.000454896930746436
"results.58",24,2020-06-10,"North West",0.00122242831111121
"results.59",24,2020-06-10,"South East",0.00100593898382108
"results.60",24,2020-06-10,"South West",0.000898198228211708
"results.61",24,2020-06-10,"West Midlands",0.000797730738372461
"results.62",24,2020-06-10,"Yorkshire and the Humber",0.00152468395856256
"results.63",25,2020-06-17,"East",0.000651482333756172
"results.64",25,2020-06-17,"East Midlands",0.000588334466785618
"results.65",25,2020-06-17,"London",0.00132075173442061
"results.66",25,2020-06-17,"North East",0.000355551279340748
"results.67",25,2020-06-17,"North West",0.00135375077341964
"results.68",25,2020-06-17,"South East",0.000828562116775817
"results.69",25,2020-06-17,"South West",0.000872840080642558
"results.70",25,2020-06-17,"West Midlands",0.000753958336384352
"results.71",25,2020-06-17,"Yorkshire and the Humber",0.00110726797919448
"results.72",26,2020-06-24,"East",0.000610504333841915
"results.73",26,2020-06-24,"East Midlands",0.000526636538596713
"results.74",26,2020-06-24,"London",0.00128589153198432
"results.75",26,2020-06-24,"North East",0.000280227665595738
"results.76",26,2020-06-24,"North West",0.00130297626373013
"results.77",26,2020-06-24,"South East",0.000617707591510927
"results.78",26,2020-06-24,"South West",0.000652053955599514
"results.79",26,2020-06-24,"West Midlands",0.000656212725398886
"results.80",26,2020-06-24,"Yorkshire and the Humber",0.000828069173996533
"results.81",27,2020-07-01,"East",0.000535752986239591
"results.82",27,2020-07-01,"East Midlands",0.000487128579389098
"results.83",27,2020-07-01,"London",0.00111973961313694
"results.84",27,2020-07-01,"North East",0.000222327663668715
"results.85",27,2020-07-01,"North West",0.00106945959004662
"results.86",27,2020-07-01,"South East",0.000449957789573539
"results.87",27,2020-07-01,"South West",0.000408969931319751
"results.88",27,2020-07-01,"West Midlands",0.000519483455877536
"results.89",27,2020-07-01,"Yorkshire and the Humber",0.000662947633603645
"results.90",28,2020-07-08,"East",0.000438256905005929
