"","mob_index","r_index"
"1",1,1
"2",1,2
"3",1,3
"4",1,4
"5",1,5
"6",1,6
"7",1,7
"8",2,8
"9",3,9
"10",4,9
"11",5,9
"12",6,9
"13",7,9
"14",8,9
"15",9,9
"16",10,9
"17",11,9
"18",12,9
"19",13,10
"20",13,11
"21",14,12
"22",14,13
"23",14,14
"24",15,15
"25",15,16
"26",15,17
"27",16,18
"28",17,19
"29",18,19
"30",19,20
"31",20,20
"32",21,20
"33",22,20
"34",23,20
"35",24,21
"36",25,21
"37",26,22
"38",26,23
"39",27,24
"40",27,25
"41",27,26
"42",28,27
"43",28,28
"44",28,29
"45",28,30
"46",29,30
"47",30,30
"48",31,30
"49",32,30
"50",32,31
"51",32,32
