"","series","date_series","type"
"1",-0.395188890711822,2020-11-05,"R(t)"
"2",-0.391663583321057,2020-11-06,"R(t)"
"3",-0.386340858971457,2020-11-07,"R(t)"
"4",-0.372387794159079,2020-11-08,"R(t)"
"5",-0.350046466962447,2020-11-09,"R(t)"
"6",-0.335887814403238,2020-11-10,"R(t)"
"7",-0.346397055623345,2020-11-11,"R(t)"
"8",-0.38220443156178,2020-11-12,"R(t)"
"9",-0.422768476085618,2020-11-13,"R(t)"
"10",-0.482166937497252,2020-11-14,"R(t)"
"11",-0.564693175347097,2020-11-15,"R(t)"
"12",-0.661902466398253,2020-11-16,"R(t)"
"13",-0.759212131018035,2020-11-17,"R(t)"
"14",-0.836752169627879,2020-11-18,"R(t)"
"15",-0.8791894965943,2020-11-19,"R(t)"
"16",-0.876782086531652,2020-11-20,"R(t)"
"17",-0.816044822768579,2020-11-21,"R(t)"
"18",-0.693222521399576,2020-11-22,"R(t)"
"19",-0.506818332237644,2020-11-23,"R(t)"
"20",-0.267858199040846,2020-11-24,"R(t)"
"21",0.0218935744117657,2020-11-25,"R(t)"
"22",0.36175879885295,2020-11-26,"R(t)"
"23",0.745165900743291,2020-11-27,"R(t)"
"24",1.15747898346421,2020-11-28,"R(t)"
"25",1.56993759985187,2020-11-29,"R(t)"
"26",1.95973832224511,2020-11-30,"R(t)"
"27",2.30389053177899,2020-12-01,"R(t)"
"28",2.60766399891276,2020-12-02,"R(t)"
