"","mob_index","r_index"
"1",1,1
"2",2,1
"3",3,1
"4",4,2
"5",4,3
"6",4,4
"7",4,5
"8",4,6
"9",4,7
"10",4,8
"11",4,9
"12",4,10
"13",4,11
"14",4,12
"15",4,13
"16",4,14
"17",4,15
"18",4,16
"19",4,17
"20",4,18
"21",4,19
"22",4,20
"23",4,21
"24",4,22
"25",5,23
"26",6,23
"27",7,23
"28",8,23
"29",9,23
"30",10,23
"31",11,23
"32",12,23
"33",13,23
"34",14,23
"35",15,23
"36",16,23
"37",17,23
"38",18,23
"39",19,23
"40",20,24
"41",21,24
"42",22,24
"43",23,24
"44",24,24
"45",25,24
"46",26,25
"47",27,25
"48",28,26
"49",29,27
"50",30,27
"51",31,28
"52",32,28
"53",33,28
"54",34,28
"55",35,28
"56",35,29
"57",35,30
"58",35,31
"59",35,32
"60",35,33
"61",35,34
"62",35,35
"63",35,36
"64",35,37
"65",35,38
"66",35,39
"67",35,40
"68",35,41
"69",35,42
"70",36,43
"71",37,43
"72",38,44
"73",39,45
"74",40,45
"75",40,46
"76",41,47
"77",41,48
"78",42,49
"79",42,50
"80",42,51
"81",43,51
"82",43,52
"83",44,53
"84",44,54
"85",44,55
"86",44,56
"87",44,57
"88",44,58
"89",44,59
"90",44,60
"91",44,61
"92",44,62
"93",44,63
"94",44,64
"95",44,65
"96",45,66
"97",45,67
"98",45,68
"99",45,69
"100",45,70
"101",45,71
"102",45,72
"103",45,73
"104",46,74
"105",46,75
"106",46,76
"107",47,77
"108",47,78
"109",47,79
"110",47,80
"111",48,81
"112",48,82
"113",48,83
"114",48,84
"115",48,85
"116",48,86
"117",48,87
"118",49,88
"119",49,89
"120",49,90
"121",49,91
"122",49,92
"123",49,93
"124",49,94
"125",49,95
"126",50,95
"127",51,95
"128",52,95
"129",53,95
"130",54,95
"131",55,95
"132",56,95
"133",57,95
"134",58,95
"135",59,95
"136",60,96
"137",60,97
"138",60,98
"139",60,99
"140",60,100
"141",61,101
"142",61,102
"143",61,103
"144",61,104
"145",62,105
"146",62,106
"147",62,107
"148",63,108
"149",63,109
"150",63,110
"151",63,111
"152",63,112
"153",63,113
"154",63,114
"155",63,115
"156",63,116
"157",63,117
"158",64,118
"159",65,119
"160",66,119
"161",67,120
"162",68,120
"163",69,121
"164",70,122
"165",71,122
"166",72,122
"167",73,122
"168",74,123
"169",74,124
"170",74,125
"171",74,126
"172",74,127
"173",74,128
"174",74,129
"175",74,130
"176",74,131
"177",74,132
"178",74,133
"179",74,134
"180",75,135
"181",76,135
"182",77,135
"183",78,135
"184",79,135
"185",80,135
"186",81,135
"187",82,136
"188",83,136
"189",84,136
"190",85,137
"191",86,138
"192",87,138
"193",88,139
"194",89,139
"195",90,139
"196",91,139
"197",92,139
"198",93,139
"199",94,139
"200",95,139
"201",96,139
"202",97,139
"203",98,139
"204",99,139
"205",100,139
"206",101,139
"207",102,139
"208",103,139
"209",104,139
"210",105,139
"211",106,139
"212",107,139
"213",108,140
"214",108,141
"215",109,142
"216",109,143
"217",109,144
"218",110,145
"219",110,146
"220",110,147
"221",110,148
"222",110,149
"223",110,150
"224",110,151
"225",110,152
"226",110,153
"227",110,154
"228",110,155
"229",110,156
"230",110,157
"231",110,158
"232",110,159
"233",110,160
"234",110,161
"235",110,162
"236",111,163
"237",111,164
"238",112,165
"239",112,166
"240",113,167
"241",113,168
"242",114,168
"243",115,168
"244",116,168
"245",117,168
"246",118,168
"247",119,168
"248",120,168
"249",121,168
"250",122,168
"251",123,168
"252",124,168
"253",125,168
"254",126,168
"255",127,168
"256",128,168
"257",129,168
"258",130,168
"259",131,168
"260",132,168
"261",133,168
"262",134,168
"263",135,168
"264",136,168
"265",137,168
"266",138,168
"267",139,168
"268",140,168
"269",141,168
"270",142,168
"271",143,168
"272",144,168
"273",145,168
"274",146,168
"275",147,168
"276",148,168
"277",149,168
"278",150,168
"279",151,168
"280",152,168
"281",153,168
"282",154,168
"283",155,168
"284",156,168
"285",157,168
"286",158,168
"287",159,168
"288",160,168
"289",161,168
"290",162,168
"291",163,168
"292",164,168
"293",165,168
"294",166,168
"295",167,168
"296",168,168
