"","date_series","series","type"
"1",2020-11-05,0.855632372053926,"Workplaces"
"2",2020-11-06,0.724873042688652,"Workplaces"
"3",2020-11-07,0.572181009221655,"Workplaces"
"4",2020-11-08,0.394903589954596,"Workplaces"
"5",2020-11-09,0.380060163862686,"Workplaces"
"6",2020-11-10,0.376222069485281,"Workplaces"
"7",2020-11-11,0.351409017759487,"Workplaces"
"8",2020-11-12,0.351741488769174,"Workplaces"
"9",2020-11-13,0.3549919418668,"Workplaces"
"10",2020-11-14,0.356376839668208,"Workplaces"
"11",2020-11-15,0.358073972945006,"Workplaces"
"12",2020-11-16,0.359069251058154,"Workplaces"
"13",2020-11-17,0.356979563811752,"Workplaces"
"14",2020-11-18,0.405684710636762,"Workplaces"
"15",2020-11-19,0.448850883510379,"Workplaces"
"16",2020-11-20,0.458107465092691,"Workplaces"
"17",2020-11-21,0.4725670171273,"Workplaces"
"18",2020-11-22,0.493482980206776,"Workplaces"
"19",2020-11-23,0.517973178975378,"Workplaces"
"20",2020-11-24,0.536458940669977,"Workplaces"
"21",2020-11-25,0.576476962747298,"Workplaces"
"22",2020-11-26,0.612835744529821,"Workplaces"
"23",2020-11-27,0.643879524001715,"Workplaces"
"24",2020-11-28,0.696922326225815,"Workplaces"
"25",2020-11-29,0.812523074805355,"Workplaces"
"26",2020-11-30,0.907687742142346,"Workplaces"
"27",2020-12-01,1.01354697056195,"Workplaces"
"28",2020-12-02,1.269498941649,"Workplaces"
"29",2020-12-03,1.50582659012538,"Workplaces"
"30",2020-12-04,1.56744911089436,"Workplaces"
"31",2020-12-05,1.63279499493128,"Workplaces"
"32",2020-12-06,1.62591727052042,"Workplaces"
"33",2020-12-07,1.62874246728073,"Workplaces"
"34",2020-12-08,1.63472885793704,"Workplaces"
"35",2020-12-09,1.64049002797864,"Workplaces"
"36",2020-12-10,1.60673780842504,"Workplaces"
"37",2020-12-11,1.59971572097526,"Workplaces"
"38",2020-12-12,1.57045020424314,"Workplaces"
"39",2020-12-13,1.5396198761001,"Workplaces"
"40",2020-12-14,1.51384249250346,"Workplaces"
"41",2020-12-15,1.42166335250475,"Workplaces"
"42",2020-12-16,1.395354642143,"Workplaces"
"43",2020-12-17,1.41841806660285,"Workplaces"
"44",2020-12-18,1.15355945105507,"Workplaces"
"45",2020-12-19,0.859961892551884,"Workplaces"
"46",2020-12-20,0.510263602224653,"Workplaces"
"47",2020-12-21,-0.0386212849106162,"Workplaces"
"48",2020-12-22,-0.891132876078554,"Workplaces"
"49",2020-12-23,-1.62184423215336,"Workplaces"
"50",2020-12-24,-1.91700981881925,"Workplaces"
"51",2020-12-25,-2.41455472829356,"Workplaces"
"52",2020-12-26,-2.71612565031451,"Workplaces"
"53",2020-12-27,-2.936737824716,"Workplaces"
"54",2020-12-28,-3.00742662654681,"Workplaces"
"55",2020-12-29,-2.98136434386908,"Workplaces"
"56",2020-12-30,-2.68937887899238,"Workplaces"
"57",2020-12-31,-2.67696755674087,"Workplaces"
"58",2021-01-01,-2.13900233244047,"Workplaces"
"59",2021-01-02,-1.811283008911,"Workplaces"
"60",2021-01-03,-1.51521663447901,"Workplaces"
"61",2021-01-04,-1.17363964603319,"Workplaces"
"62",2021-01-05,-0.558189346657179,"Workplaces"
"63",2021-01-06,-0.48272322293778,"Workplaces"
"64",2021-01-07,-0.534327561023076,"Workplaces"
"65",2021-01-08,-0.57434659175756,"Workplaces"
"66",2021-01-09,-0.599748081259682,"Workplaces"
"67",2021-01-10,-0.621240620515982,"Workplaces"
"68",2021-01-11,-0.660479123716099,"Workplaces"
"69",2021-01-12,-0.68928770634932,"Workplaces"
"70",2021-01-13,-0.727665527473587,"Workplaces"
"71",2021-01-14,-0.730238776632857,"Workplaces"
"72",2021-01-15,-0.751074086158589,"Workplaces"
"73",2021-01-16,-0.768804550662183,"Workplaces"
"74",2021-01-17,-0.782308896357572,"Workplaces"
"75",2021-01-18,-0.761189852779973,"Workplaces"
"76",2021-01-19,-0.736706989222484,"Workplaces"
"77",2021-01-20,-0.697961838269596,"Workplaces"
"78",2021-01-21,-0.753531077373975,"Workplaces"
"79",2021-01-22,-0.772962951117757,"Workplaces"
"80",2021-01-23,-0.764338409681118,"Workplaces"
"81",2021-01-24,-0.734188674729897,"Workplaces"
"82",2021-01-25,-0.720249157396456,"Workplaces"
"83",2021-01-26,-0.706280543933444,"Workplaces"
"84",2021-01-27,-0.707440168449184,"Workplaces"
"85",2021-01-28,-0.633582392826497,"Workplaces"
"86",2021-01-29,-0.591096535386351,"Workplaces"
"87",2021-01-30,-0.579425823035788,"Workplaces"
"88",2021-01-31,-0.568477631933253,"Workplaces"
"89",2021-02-01,-0.553861150092828,"Workplaces"
