"","series","date_series","type"
"1",-0.414279825929074,2020-11-05,"R(t)"
"2",-0.411856316948271,2020-11-06,"R(t)"
"3",-0.408197155112514,2020-11-07,"R(t)"
"4",-0.398604976577639,2020-11-08,"R(t)"
"5",-0.383246200419297,2020-11-09,"R(t)"
"6",-0.373512688464223,2020-11-10,"R(t)"
"7",-0.380737374897264,2020-11-11,"R(t)"
"8",-0.405353525362083,2020-11-12,"R(t)"
"9",-0.43323969678043,2020-11-13,"R(t)"
"10",-0.474073782640323,2020-11-14,"R(t)"
"11",-0.53080729731339,2020-11-15,"R(t)"
"12",-0.597634828579793,2020-11-16,"R(t)"
"13",-0.664531362692767,2020-11-17,"R(t)"
"14",-0.717837063192841,2020-11-18,"R(t)"
"15",-0.747011041976605,2020-11-19,"R(t)"
"16",-0.745356043061449,2020-11-20,"R(t)"
"17",-0.703601583695765,2020-11-21,"R(t)"
"18",-0.619166123914155,2020-11-22,"R(t)"
"19",-0.491020638593702,2020-11-23,"R(t)"
"20",-0.326745026664496,2020-11-24,"R(t)"
"21",-0.127552176984003,2020-11-25,"R(t)"
"22",0.106091682230587,2020-11-26,"R(t)"
"23",0.369668854867863,2020-11-27,"R(t)"
"24",0.653117742614396,2020-11-28,"R(t)"
"25",0.936666678983438,2020-11-29,"R(t)"
"26",1.20463921207899,2020-11-30,"R(t)"
"27",1.4412302034784,2020-12-01,"R(t)"
"28",1.65006241131852,2020-12-02,"R(t)"
"29",1.81257974511947,2020-12-03,"R(t)"
"30",1.92864704882129,2020-12-04,"R(t)"
"31",2.00533121473039,2020-12-05,"R(t)"
"32",2.04177485946215,2020-12-06,"R(t)"
"33",2.03102909915918,2020-12-07,"R(t)"
"34",2.00203485601099,2020-12-08,"R(t)"
"35",1.97335180040041,2020-12-09,"R(t)"
"36",1.92302714567696,2020-12-10,"R(t)"
"37",1.87761766710217,2020-12-11,"R(t)"
"38",1.83478105744866,2020-12-12,"R(t)"
"39",1.79098470218558,2020-12-13,"R(t)"
"40",1.73350803202395,2020-12-14,"R(t)"
"41",1.6736571986422,2020-12-15,"R(t)"
