"","mob_index","r_index"
"1",1,1
"2",2,1
"3",3,1
"4",4,1
"5",5,1
"6",6,1
"7",7,1
"8",8,1
"9",9,1
"10",10,1
"11",11,1
"12",12,1
"13",13,1
"14",14,1
"15",14,2
"16",14,3
"17",14,4
"18",14,5
"19",14,6
"20",14,7
"21",15,8
"22",15,9
"23",16,10
"24",17,10
"25",18,11
"26",19,11
"27",20,11
"28",21,11
"29",22,11
"30",23,11
"31",24,12
"32",25,12
"33",26,12
"34",27,13
"35",28,14
"36",29,15
"37",30,15
"38",31,15
"39",32,15
"40",33,15
"41",34,16
"42",35,16
"43",36,16
"44",37,16
"45",38,16
"46",39,16
"47",40,16
"48",41,16
"49",42,16
"50",43,16
"51",44,16
"52",45,16
"53",46,17
"54",47,17
"55",48,18
"56",49,18
"57",50,18
"58",51,18
"59",52,18
"60",53,18
"61",54,18
"62",55,19
"63",56,19
"64",57,19
"65",58,19
"66",59,19
"67",60,19
"68",61,19
"69",62,19
"70",63,19
"71",64,19
"72",65,19
"73",66,19
"74",67,19
"75",68,19
"76",69,19
"77",70,19
"78",71,19
"79",72,19
"80",73,19
"81",74,19
"82",75,19
"83",76,19
"84",77,19
"85",78,19
"86",79,19
"87",80,19
"88",81,19
"89",82,19
"90",83,19
"91",84,19
"92",85,19
"93",86,19
"94",87,19
"95",88,19
"96",89,19
"97",90,19
"98",91,19
"99",92,19
"100",93,19
"101",94,19
"102",95,19
"103",96,19
"104",97,20
"105",98,20
"106",99,20
"107",100,20
"108",101,20
"109",101,21
"110",101,22
"111",101,23
"112",101,24
"113",101,25
"114",101,26
"115",101,27
"116",101,28
"117",101,29
"118",101,30
"119",101,31
"120",101,32
"121",101,33
"122",101,34
"123",101,35
"124",101,36
"125",102,37
"126",103,37
"127",104,37
"128",105,37
"129",105,38
"130",106,39
"131",106,40
"132",106,41
"133",106,42
"134",106,43
"135",106,44
"136",106,45
"137",106,46
"138",106,47
"139",106,48
"140",106,49
"141",106,50
"142",106,51
"143",106,52
"144",106,53
"145",106,54
"146",106,55
"147",106,56
"148",106,57
"149",106,58
"150",106,59
"151",106,60
"152",106,61
"153",106,62
"154",106,63
"155",106,64
"156",106,65
"157",106,66
"158",106,67
"159",106,68
"160",106,69
"161",106,70
"162",106,71
"163",106,72
"164",106,73
"165",106,74
"166",106,75
"167",106,76
"168",106,77
"169",106,78
"170",106,79
"171",106,80
"172",106,81
"173",106,82
"174",106,83
"175",107,83
"176",108,84
"177",109,85
"178",109,86
"179",110,87
"180",111,88
"181",112,88
"182",112,89
"183",112,90
"184",112,91
"185",112,92
"186",113,93
"187",113,94
"188",113,95
"189",114,95
"190",115,96
"191",116,97
"192",117,97
"193",118,97
"194",119,97
"195",119,98
"196",120,99
"197",121,100
"198",122,100
"199",123,101
"200",124,101
"201",125,101
"202",126,101
"203",127,101
"204",128,101
"205",129,101
"206",130,102
"207",131,102
"208",132,102
"209",133,102
"210",134,103
"211",135,103
"212",136,104
"213",137,104
"214",138,104
"215",139,104
"216",140,104
"217",141,104
"218",142,104
"219",143,104
"220",144,104
"221",145,104
"222",146,105
"223",147,106
"224",148,106
"225",149,107
"226",150,107
"227",151,107
"228",152,107
"229",152,108
"230",152,109
"231",152,110
"232",152,111
"233",152,112
"234",152,113
"235",152,114
"236",152,115
"237",152,116
"238",152,117
"239",152,118
"240",152,119
"241",152,120
"242",152,121
"243",152,122
"244",152,123
"245",152,124
"246",152,125
"247",152,126
"248",152,127
"249",152,128
"250",152,129
"251",152,130
"252",152,131
"253",152,132
"254",152,133
"255",152,134
"256",153,134
"257",154,135
"258",155,135
"259",156,135
"260",157,135
"261",158,136
"262",159,137
"263",160,137
"264",161,137
"265",161,138
"266",162,139
"267",162,140
"268",162,141
"269",163,142
"270",163,143
"271",163,144
"272",163,145
"273",164,146
"274",165,146
"275",166,146
"276",167,146
"277",168,146
"278",169,146
"279",170,146
"280",170,147
"281",171,147
"282",172,147
"283",173,147
"284",174,147
"285",175,147
"286",176,147
"287",177,147
"288",178,147
"289",179,147
"290",180,147
"291",181,147
"292",182,147
"293",183,147
"294",184,147
"295",185,147
"296",186,147
"297",187,147
"298",188,147
"299",189,147
"300",190,147
"301",191,147
"302",192,147
"303",193,147
"304",194,147
"305",195,147
"306",196,147
"307",197,147
"308",198,147
"309",199,147
"310",200,147
"311",201,147
"312",202,148
"313",202,149
"314",202,150
"315",202,151
"316",202,152
"317",202,153
"318",203,154
"319",203,155
"320",204,155
"321",205,156
"322",205,157
"323",205,158
"324",205,159
"325",205,160
"326",206,160
"327",207,160
"328",208,160
"329",209,160
"330",210,160
"331",211,160
"332",212,160
"333",213,161
"334",214,161
"335",215,162
"336",216,162
"337",217,162
"338",218,163
"339",219,164
"340",219,165
"341",220,166
"342",220,167
"343",221,168
"344",221,169
"345",221,170
