"","series","date_series","type"
"1",-1.66060370253671,2020-05-15,"R(t)"
"2",-1.63953192888679,2020-05-16,"R(t)"
"3",-1.62228987377502,2020-05-17,"R(t)"
"4",-1.60095831771798,2020-05-18,"R(t)"
"5",-1.57126207625404,2020-05-19,"R(t)"
"6",-1.52059970516122,2020-05-20,"R(t)"
"7",-1.45703529234705,2020-05-21,"R(t)"
"8",-1.37259742957162,2020-05-22,"R(t)"
"9",-1.27302484265034,2020-05-23,"R(t)"
"10",-1.15960928929284,2020-05-24,"R(t)"
"11",-1.03543854358439,2020-05-25,"R(t)"
"12",-0.905903028531304,2020-05-26,"R(t)"
"13",-0.766553017033813,2020-05-27,"R(t)"
"14",-0.620289042045436,2020-05-28,"R(t)"
"15",-0.470374853376718,2020-05-29,"R(t)"
"16",-0.317916208253076,2020-05-30,"R(t)"
"17",-0.167361242075275,2020-05-31,"R(t)"
"18",-0.0191907952525335,2020-06-01,"R(t)"
"19",0.122716143147577,2020-06-02,"R(t)"
"20",0.26007401386365,2020-06-03,"R(t)"
"21",0.393796658356529,2020-06-04,"R(t)"
"22",0.517877376332609,2020-06-05,"R(t)"
"23",0.627392280492906,2020-06-06,"R(t)"
"24",0.714083539993412,2020-06-07,"R(t)"
"25",0.786991443865812,2020-06-08,"R(t)"
"26",0.843301218465131,2020-06-09,"R(t)"
"27",0.879526097506566,2020-06-10,"R(t)"
"28",0.899429503628857,2020-06-11,"R(t)"
"29",0.894261047787395,2020-06-12,"R(t)"
"30",0.869044694522616,2020-06-13,"R(t)"
"31",0.821921057102287,2020-06-14,"R(t)"
"32",0.756040326155839,2020-06-15,"R(t)"
"33",0.673612379854856,2020-06-16,"R(t)"
"34",0.581415718300281,2020-06-17,"R(t)"
"35",0.480315597033722,2020-06-18,"R(t)"
"36",0.372619159469598,2020-06-19,"R(t)"
"37",0.255565822391045,2020-06-20,"R(t)"
"38",0.122677778004415,2020-06-21,"R(t)"
"39",-0.0139832675316686,2020-06-22,"R(t)"
"40",-0.153769597937078,2020-06-23,"R(t)"
"41",-0.295076948728225,2020-06-24,"R(t)"
"42",-0.442281302868335,2020-06-25,"R(t)"
"43",-0.588115698556881,2020-06-26,"R(t)"
"44",-0.726405214387878,2020-06-27,"R(t)"
"45",-0.851559326179238,2020-06-28,"R(t)"
"46",-0.958252486077428,2020-06-29,"R(t)"
"47",-1.04750903533264,2020-06-30,"R(t)"
"48",-1.12186401683182,2020-07-01,"R(t)"
"49",-1.17940348090506,2020-07-02,"R(t)"
"50",-1.22569456027177,2020-07-03,"R(t)"
"51",-1.2612000982893,2020-07-04,"R(t)"
"52",-1.28823943906557,2020-07-05,"R(t)"
"53",-1.30744170356812,2020-07-06,"R(t)"
"54",-1.3176193471533,2020-07-07,"R(t)"
"55",-1.32255392975981,2020-07-08,"R(t)"
"56",-1.32437347636131,2020-07-09,"R(t)"
"57",-1.32576471819928,2020-07-10,"R(t)"
"58",-1.32707069958276,2020-07-11,"R(t)"
"59",-1.32742938177448,2020-07-12,"R(t)"
"60",-1.31944734349162,2020-07-13,"R(t)"
"61",-1.30224801929451,2020-07-14,"R(t)"
"62",-1.27543376433887,2020-07-15,"R(t)"
"63",-1.23746876816028,2020-07-16,"R(t)"
"64",-1.19061695136371,2020-07-17,"R(t)"
"65",-1.14712381605904,2020-07-18,"R(t)"
"66",-1.10246038750115,2020-07-19,"R(t)"
"67",-1.05108165291451,2020-07-20,"R(t)"
"68",-0.991549577329846,2020-07-21,"R(t)"
"69",-0.931748532208618,2020-07-22,"R(t)"
"70",-0.876148432733096,2020-07-23,"R(t)"
"71",-0.821524822443946,2020-07-24,"R(t)"
"72",-0.765000515126405,2020-07-25,"R(t)"
"73",-0.706507532953253,2020-07-26,"R(t)"
"74",-0.641933893227523,2020-07-27,"R(t)"
"75",-0.579442419316502,2020-07-28,"R(t)"
"76",-0.515412007236752,2020-07-29,"R(t)"
"77",-0.455607531496766,2020-07-30,"R(t)"
"78",-0.394837595042418,2020-07-31,"R(t)"
"79",-0.335612608230372,2020-08-01,"R(t)"
"80",-0.27723696958536,2020-08-02,"R(t)"
"81",-0.221846113263141,2020-08-03,"R(t)"
"82",-0.162445243973785,2020-08-04,"R(t)"
"83",-0.102540053606039,2020-08-05,"R(t)"
"84",-0.0397912849307187,2020-08-06,"R(t)"
"85",0.0236083363814664,2020-08-07,"R(t)"
"86",0.0844525668843116,2020-08-08,"R(t)"
"87",0.138543164322072,2020-08-09,"R(t)"
"88",0.18946040362394,2020-08-10,"R(t)"
"89",0.244479655903771,2020-08-11,"R(t)"
"90",0.302280979486165,2020-08-12,"R(t)"
"91",0.367354864537466,2020-08-13,"R(t)"
"92",0.437869869165336,2020-08-14,"R(t)"
"93",0.51431558653012,2020-08-15,"R(t)"
"94",0.5862676192918,2020-08-16,"R(t)"
"95",0.657584305603991,2020-08-17,"R(t)"
"96",0.734918139460774,2020-08-18,"R(t)"
"97",0.819254546677481,2020-08-19,"R(t)"
"98",0.903617410324747,2020-08-20,"R(t)"
"99",0.992112728694112,2020-08-21,"R(t)"
"100",1.08093851701655,2020-08-22,"R(t)"
"101",1.17110918124976,2020-08-23,"R(t)"
"102",1.26375458206223,2020-08-24,"R(t)"
"103",1.35565281417115,2020-08-25,"R(t)"
"104",1.44069099066215,2020-08-26,"R(t)"
"105",1.51739813914807,2020-08-27,"R(t)"
"106",1.58389936483373,2020-08-28,"R(t)"
"107",1.64206957160465,2020-08-29,"R(t)"
"108",1.70163614466861,2020-08-30,"R(t)"
"109",1.76592329134506,2020-08-31,"R(t)"
"110",1.83448603664339,2020-09-01,"R(t)"
"111",1.91005790139456,2020-09-02,"R(t)"
"112",1.98416024778129,2020-09-03,"R(t)"
"113",2.05634371377288,2020-09-04,"R(t)"
"114",2.12544497516398,2020-09-05,"R(t)"
"115",2.18670762389715,2020-09-06,"R(t)"
"116",2.23807065179407,2020-09-07,"R(t)"
"117",2.28554942515854,2020-09-08,"R(t)"
"118",2.32472755495161,2020-09-09,"R(t)"
"119",2.35405803398872,2020-09-10,"R(t)"
"120",2.37839450517664,2020-09-11,"R(t)"
"121",2.39369172756753,2020-09-12,"R(t)"
"122",2.39881257928137,2020-09-13,"R(t)"
"123",2.39122999732316,2020-09-14,"R(t)"
"124",2.38289568894142,2020-09-15,"R(t)"
"125",2.35860740641635,2020-09-16,"R(t)"
"126",2.32242507169598,2020-09-17,"R(t)"
"127",2.27524978212364,2020-09-18,"R(t)"
"128",2.21945704173833,2020-09-19,"R(t)"
"129",2.1470163081291,2020-09-20,"R(t)"
"130",2.06498134580537,2020-09-21,"R(t)"
"131",1.97445947181577,2020-09-22,"R(t)"
"132",1.87325743019269,2020-09-23,"R(t)"
"133",1.77036930407134,2020-09-24,"R(t)"
"134",1.67312357423931,2020-09-25,"R(t)"
"135",1.57442861539894,2020-09-26,"R(t)"
"136",1.4806148708084,2020-09-27,"R(t)"
"137",1.39249392250824,2020-09-28,"R(t)"
"138",1.31419796378516,2020-09-29,"R(t)"
"139",1.24166867643747,2020-09-30,"R(t)"
"140",1.17447560640922,2020-10-01,"R(t)"
"141",1.11625041517659,2020-10-02,"R(t)"
"142",1.05943906518574,2020-10-03,"R(t)"
"143",1.0064477612772,2020-10-04,"R(t)"
"144",0.963758938751241,2020-10-05,"R(t)"
"145",0.935487993102945,2020-10-06,"R(t)"
"146",0.920422410219882,2020-10-07,"R(t)"
"147",0.917421281749962,2020-10-08,"R(t)"
"148",0.931648163675452,2020-10-09,"R(t)"
"149",0.955346315721664,2020-10-10,"R(t)"
"150",0.991436881114851,2020-10-11,"R(t)"
"151",1.03250970071043,2020-10-12,"R(t)"
"152",1.08852701029611,2020-10-13,"R(t)"
"153",1.15420909858568,2020-10-14,"R(t)"
"154",1.22076224932797,2020-10-15,"R(t)"
"155",1.28823270732083,2020-10-16,"R(t)"
"156",1.35595778508032,2020-10-17,"R(t)"
"157",1.41463887575153,2020-10-18,"R(t)"
"158",1.4458317144318,2020-10-19,"R(t)"
"159",1.43908737922396,2020-10-20,"R(t)"
"160",1.38761761659803,2020-10-21,"R(t)"
"161",1.28532808474769,2020-10-22,"R(t)"
"162",1.13306458978523,2020-10-23,"R(t)"
"163",0.948735726302036,2020-10-24,"R(t)"
"164",0.74345092701672,2020-10-25,"R(t)"
"165",0.51977443387679,2020-10-26,"R(t)"
"166",0.29239025950525,2020-10-27,"R(t)"
"167",0.0715157955701737,2020-10-28,"R(t)"
"168",-0.126909076911049,2020-10-29,"R(t)"
"169",-0.295804221223151,2020-10-30,"R(t)"
"170",-0.42903083326647,2020-10-31,"R(t)"
"171",-0.520339499557272,2020-11-01,"R(t)"
"172",-0.573231107110665,2020-11-02,"R(t)"
"173",-0.599242178772691,2020-11-03,"R(t)"
"174",-0.607346014562317,2020-11-04,"R(t)"
"175",-0.607255490220568,2020-11-05,"R(t)"
"176",-0.605859535015377,2020-11-06,"R(t)"
"177",-0.603751836611236,2020-11-07,"R(t)"
"178",-0.598226686235913,2020-11-08,"R(t)"
"179",-0.589379942240561,2020-11-09,"R(t)"
"180",-0.583773382996876,2020-11-10,"R(t)"
"181",-0.587934844213635,2020-11-11,"R(t)"
"182",-0.602113889410217,2020-11-12,"R(t)"
"183",-0.61817648560963,2020-11-13,"R(t)"
"184",-0.641697155496501,2020-11-14,"R(t)"
"185",-0.674375988438316,2020-11-15,"R(t)"
"186",-0.712869033382796,2020-11-16,"R(t)"
"187",-0.751401824366431,2020-11-17,"R(t)"
"188",-0.782106216497372,2020-11-18,"R(t)"
"189",-0.798910597195739,2020-11-19,"R(t)"
"190",-0.797957308238076,2020-11-20,"R(t)"
"191",-0.773906497882857,2020-11-21,"R(t)"
"192",-0.725271184162756,2020-11-22,"R(t)"
"193",-0.651458642648863,2020-11-23,"R(t)"
"194",-0.556834939012934,2020-11-24,"R(t)"
"195",-0.442098704259563,2020-11-25,"R(t)"
"196",-0.307518488541338,2020-11-26,"R(t)"
"197",-0.155696510976137,2020-11-27,"R(t)"
"198",0.00757168955030525,2020-11-28,"R(t)"
"199",0.170897518662599,2020-11-29,"R(t)"
"200",0.325251249301142,2020-11-30,"R(t)"
"201",0.461529030221881,2020-12-01,"R(t)"
"202",0.581817591087603,2020-12-02,"R(t)"
"203",0.675428516341131,2020-12-03,"R(t)"
"204",0.742283955309363,2020-12-04,"R(t)"
"205",0.786454478878488,2020-12-05,"R(t)"
"206",0.807446229254661,2020-12-06,"R(t)"
"207",0.801256609101613,2020-12-07,"R(t)"
"208",0.784555757170016,2020-12-08,"R(t)"
"209",0.768034151061872,2020-12-09,"R(t)"
"210",0.739046858558686,2020-12-10,"R(t)"
"211",0.71289073597626,2020-12-11,"R(t)"
"212",0.688216600789547,2020-12-12,"R(t)"
"213",0.662989646574737,2020-12-13,"R(t)"
"214",0.629882751768601,2020-12-14,"R(t)"
"215",0.595408325201141,2020-12-15,"R(t)"
"216",0.569313107649338,2020-12-16,"R(t)"
"217",0.552367183487396,2020-12-17,"R(t)"
"218",0.535983102282042,2020-12-18,"R(t)"
"219",0.515532989715919,2020-12-19,"R(t)"
"220",0.488299297953205,2020-12-20,"R(t)"
"221",0.467165169248221,2020-12-21,"R(t)"
"222",0.446601922878975,2020-12-22,"R(t)"
"223",0.434043970005913,2020-12-23,"R(t)"
"224",0.421672957646063,2020-12-24,"R(t)"
"225",0.409853709301204,2020-12-25,"R(t)"
"226",0.379447081760631,2020-12-26,"R(t)"
"227",0.350088572963712,2020-12-27,"R(t)"
"228",0.334774971475082,2020-12-28,"R(t)"
"229",0.325140962918145,2020-12-29,"R(t)"
"230",0.314234386153703,2020-12-30,"R(t)"
"231",0.307152702516723,2020-12-31,"R(t)"
"232",0.302436210423274,2021-01-01,"R(t)"
"233",0.297910560858505,2021-01-02,"R(t)"
"234",0.29109732188304,2021-01-03,"R(t)"
"235",0.279500714783627,2021-01-04,"R(t)"
"236",0.266197814504606,2021-01-05,"R(t)"
