"","series","date_series","type"
"1",-1.47665191787715,2020-05-15,"R(t)"
"2",-1.4548980896039,2020-05-16,"R(t)"
"3",-1.43709794082616,2020-05-17,"R(t)"
"4",-1.41507592146626,2020-05-18,"R(t)"
"5",-1.38441846719116,2020-05-19,"R(t)"
"6",-1.33211624816686,2020-05-20,"R(t)"
"7",-1.26649437202001,2020-05-21,"R(t)"
"8",-1.17932341066224,2020-05-22,"R(t)"
"9",-1.07652784192677,2020-05-23,"R(t)"
"10",-0.959441235348492,2020-05-24,"R(t)"
"11",-0.831251310590401,2020-05-25,"R(t)"
"12",-0.697522968754187,2020-05-26,"R(t)"
"13",-0.553662453243988,2020-05-27,"R(t)"
"14",-0.402664181939378,2020-05-28,"R(t)"
"15",-0.247897546239722,2020-05-29,"R(t)"
"16",-0.0905040947015525,2020-05-30,"R(t)"
"17",0.0649240592986283,2020-05-31,"R(t)"
"18",0.217890511430424,2020-06-01,"R(t)"
"19",0.364390716872328,2020-06-02,"R(t)"
"20",0.506194609661768,2020-06-03,"R(t)"
"21",0.644245610629781,2020-06-04,"R(t)"
"22",0.772342593623111,2020-06-05,"R(t)"
"23",0.885402294151618,2020-06-06,"R(t)"
"24",0.974899590549013,2020-06-07,"R(t)"
"25",1.05016738940413,2020-06-08,"R(t)"
"26",1.10829980801729,2020-06-09,"R(t)"
"27",1.14569721988108,2020-06-10,"R(t)"
"28",1.16624486271506,2020-06-11,"R(t)"
"29",1.16090911344777,2020-06-12,"R(t)"
"30",1.13487655312736,2020-06-13,"R(t)"
"31",1.08622761008708,2020-06-14,"R(t)"
"32",1.01821444084299,2020-06-15,"R(t)"
"33",0.933118453265552,2020-06-16,"R(t)"
"34",0.837937555058025,2020-06-17,"R(t)"
"35",0.733565008495207,2020-06-18,"R(t)"
