"","mob_index","r_index"
"1",1,1
"2",2,1
"3",3,1
"4",4,1
"5",5,1
"6",6,1
"7",6,2
"8",6,3
"9",6,4
"10",6,5
"11",6,6
"12",6,7
"13",6,8
"14",6,9
"15",6,10
"16",6,11
"17",6,12
"18",6,13
"19",7,14
"20",7,15
"21",7,16
"22",8,16
"23",9,17
"24",10,18
"25",10,19
"26",11,19
"27",12,19
"28",13,19
"29",14,19
"30",15,19
"31",16,19
"32",16,20
"33",17,21
"34",18,22
"35",19,22
"36",20,22
"37",21,22
"38",22,22
"39",23,23
"40",24,23
"41",25,23
"42",26,24
"43",27,24
"44",28,25
"45",29,26
"46",30,27
"47",31,28
"48",31,29
"49",32,30
"50",33,31
"51",34,32
"52",34,33
"53",34,34
