"","mob_index","r_index"
"1",1,1
"2",2,1
"3",3,1
"4",4,1
"5",5,1
"6",6,1
"7",7,1
"8",8,1
"9",9,1
"10",10,1
"11",11,1
"12",12,1
"13",13,1
"14",14,1
"15",14,2
"16",14,3
"17",14,4
"18",14,5
"19",14,6
"20",14,7
"21",15,8
"22",15,9
"23",16,10
"24",17,10
"25",18,11
"26",19,11
"27",20,11
"28",21,11
"29",22,11
"30",23,11
"31",24,12
"32",25,12
"33",26,12
"34",27,13
"35",28,14
"36",29,14
"37",30,15
"38",31,15
"39",32,15
"40",33,15
"41",34,16
"42",35,16
"43",36,16
"44",37,16
"45",38,16
"46",39,16
"47",40,16
"48",41,16
"49",42,16
"50",43,16
"51",44,16
"52",45,16
"53",46,16
"54",47,17
"55",48,17
"56",49,18
"57",50,18
"58",51,18
"59",52,18
"60",53,18
"61",54,18
"62",55,19
"63",56,19
"64",57,19
"65",58,19
"66",59,19
"67",60,19
"68",61,19
"69",62,19
"70",63,19
"71",64,19
"72",65,19
"73",66,19
"74",67,19
"75",68,19
"76",69,19
"77",70,19
"78",71,19
"79",72,19
"80",73,19
"81",74,19
"82",75,19
"83",76,19
"84",77,19
"85",78,19
"86",79,19
"87",80,19
"88",81,19
"89",82,19
"90",83,19
"91",84,19
"92",85,19
"93",86,19
"94",87,19
"95",88,19
"96",89,19
"97",90,19
"98",91,19
"99",92,19
"100",93,19
"101",94,19
"102",95,19
"103",96,19
"104",97,19
"105",98,20
"106",99,20
"107",100,20
"108",101,20
"109",101,21
"110",101,22
"111",101,23
"112",101,24
"113",101,25
"114",101,26
"115",101,27
"116",101,28
"117",101,29
"118",101,30
"119",101,31
"120",101,32
"121",101,33
"122",101,34
"123",101,35
"124",101,36
"125",102,37
"126",103,37
"127",104,37
"128",105,37
"129",105,38
"130",106,39
"131",106,40
"132",106,41
"133",106,42
"134",106,43
"135",106,44
"136",106,45
"137",106,46
"138",106,47
"139",106,48
"140",106,49
"141",106,50
"142",106,51
"143",106,52
"144",106,53
"145",106,54
"146",106,55
"147",106,56
"148",106,57
"149",106,58
"150",106,59
"151",106,60
"152",106,61
"153",106,62
"154",106,63
"155",106,64
"156",106,65
"157",106,66
"158",106,67
"159",106,68
"160",106,69
"161",106,70
"162",106,71
"163",106,72
"164",106,73
"165",106,74
"166",106,75
"167",106,76
"168",106,77
"169",106,78
"170",106,79
"171",106,80
"172",106,81
"173",106,82
"174",107,83
"175",108,84
"176",109,85
"177",110,86
"178",111,87
"179",112,87
"180",112,88
"181",112,89
"182",112,90
"183",112,91
"184",113,92
"185",113,93
"186",113,94
"187",114,95
"188",115,96
"189",116,96
"190",117,97
"191",118,97
"192",119,97
"193",120,98
"194",121,99
"195",122,100
"196",123,101
"197",124,101
"198",125,101
"199",126,101
"200",127,101
"201",128,101
"202",129,101
"203",130,101
"204",131,102
"205",132,102
"206",133,102
"207",134,102
"208",135,103
"209",136,103
"210",137,104
"211",138,104
"212",139,104
"213",140,104
"214",141,104
"215",142,104
"216",143,104
"217",144,104
"218",145,104
"219",146,105
"220",147,106
"221",148,106
"222",149,106
"223",150,106
"224",151,106
"225",152,107
"226",152,108
"227",152,109
"228",152,110
"229",152,111
"230",152,112
"231",152,113
"232",152,114
"233",152,115
"234",152,116
"235",152,117
"236",152,118
"237",152,119
"238",152,120
"239",152,121
"240",152,122
"241",152,123
"242",152,124
"243",152,125
"244",152,126
"245",152,127
"246",152,128
"247",152,129
"248",152,130
"249",152,131
"250",152,132
"251",152,133
"252",152,134
"253",153,135
"254",154,135
"255",155,135
"256",156,135
"257",157,136
"258",158,136
"259",159,137
"260",160,137
"261",161,137
"262",161,138
"263",161,139
"264",162,140
"265",162,141
"266",162,142
"267",163,143
"268",163,144
"269",163,145
"270",163,146
"271",164,146
"272",165,146
"273",166,146
"274",167,146
"275",168,146
"276",169,146
"277",170,146
"278",170,147
"279",171,147
"280",172,147
"281",173,147
"282",174,147
"283",175,147
"284",176,147
"285",177,147
"286",178,147
"287",179,147
"288",180,147
"289",181,147
"290",182,147
"291",183,147
"292",184,147
"293",185,147
"294",186,147
"295",187,147
"296",188,147
"297",189,147
"298",190,147
"299",191,147
"300",192,147
"301",193,147
"302",194,147
"303",195,147
"304",196,147
"305",197,147
"306",198,147
"307",199,147
"308",200,147
"309",201,147
"310",202,148
"311",202,149
"312",202,150
"313",202,151
"314",202,152
"315",203,153
"316",203,154
"317",204,155
"318",205,156
"319",206,156
"320",207,156
"321",208,156
"322",209,156
"323",209,157
"324",209,158
"325",209,159
"326",209,160
"327",210,160
"328",211,160
"329",212,161
"330",213,161
"331",214,161
"332",215,162
"333",216,162
"334",217,162
"335",218,163
"336",218,164
"337",219,165
"338",220,166
"339",220,167
"340",221,168
"341",221,169
"342",221,170
"343",221,171
"344",221,172
"345",221,173
