"","series","date_series","type"
"1",-1.66385206173188,2020-05-15,"R(t)"
"2",-1.64269954611027,2020-05-16,"R(t)"
"3",-1.6253914235877,2020-05-17,"R(t)"
"4",-1.60397813013524,2020-05-18,"R(t)"
"5",-1.57416809981196,2020-05-19,"R(t)"
"6",-1.52331160269062,2020-05-20,"R(t)"
"7",-1.45950362632526,2020-05-21,"R(t)"
"8",-1.37474221795566,2020-05-22,"R(t)"
"9",-1.27478809281514,2020-05-23,"R(t)"
"10",-1.1609379583184,2020-05-24,"R(t)"
"11",-1.03629142015881,2020-05-25,"R(t)"
"12",-0.906259556147945,2020-05-26,"R(t)"
"13",-0.766375588901379,2020-05-27,"R(t)"
"14",-0.619551165517711,2020-05-28,"R(t)"
"15",-0.469062541712264,2020-05-29,"R(t)"
"16",-0.316019711706359,2020-05-30,"R(t)"
"17",-0.164887855086437,2020-05-31,"R(t)"
"18",-0.0161496547265846,2020-06-01,"R(t)"
"19",0.126301036951895,2020-06-02,"R(t)"
"20",0.26418523001241,2020-06-03,"R(t)"
"21",0.39842026753663,2020-06-04,"R(t)"
"22",0.522976432999228,2020-06-05,"R(t)"
"23",0.632910971948625,2020-06-06,"R(t)"
"24",0.719934411517919,2020-06-07,"R(t)"
"25",0.793121680953389,2020-06-08,"R(t)"
"26",0.849647221074025,2020-06-09,"R(t)"
"27",0.886010905144724,2020-06-10,"R(t)"
"28",0.905990576335176,2020-06-11,"R(t)"
"29",0.90080231621325,2020-06-12,"R(t)"
"30",0.875489339943911,2020-06-13,"R(t)"
"31",0.8281851360719,2020-06-14,"R(t)"
"32",0.762051965999942,2020-06-15,"R(t)"
"33",0.679308175621597,2020-06-16,"R(t)"
"34",0.586758238620874,2020-06-17,"R(t)"
"35",0.485270725990636,2020-06-18,"R(t)"
"36",0.377161621564312,2020-06-19,"R(t)"
"37",0.259659764233698,2020-06-20,"R(t)"
"38",0.126262524802725,2020-06-21,"R(t)"
"39",-0.0109221730112051,2020-06-22,"R(t)"
"40",-0.151244131034869,2020-06-23,"R(t)"
"41",-0.293092937628787,2020-06-24,"R(t)"
"42",-0.440861343471063,2020-06-25,"R(t)"
"43",-0.58725454151028,2020-06-26,"R(t)"
"44",-0.726073949525865,2020-06-27,"R(t)"
"45",-0.851707621790836,2020-06-28,"R(t)"
"46",-0.958809604232364,2020-06-29,"R(t)"
"47",-1.0484081631301,2020-06-30,"R(t)"
"48",-1.12304805504598,2020-07-01,"R(t)"
"49",-1.18080799651503,2020-07-02,"R(t)"
"50",-1.22727645217108,2020-07-03,"R(t)"
"51",-1.26291803887598,2020-07-04,"R(t)"
"52",-1.29006098790677,2020-07-05,"R(t)"
"53",-1.30933683087132,2020-07-06,"R(t)"
"54",-1.31955347274036,2020-07-07,"R(t)"
"55",-1.32450696348131,2020-07-08,"R(t)"
"56",-1.32633348214803,2020-07-09,"R(t)"
"57",-1.32773005489032,2020-07-10,"R(t)"
"58",-1.32904104048055,2020-07-11,"R(t)"
"59",-1.32940109705621,2020-07-12,"R(t)"
"60",-1.32138847352126,2020-07-13,"R(t)"
"61",-1.30412324564796,2020-07-14,"R(t)"
"62",-1.27720624491256,2020-07-15,"R(t)"
"63",-1.2390957759941,2020-07-16,"R(t)"
"64",-1.19206443429715,2020-07-17,"R(t)"
"65",-1.14840464375225,2020-07-18,"R(t)"
"66",-1.10357007567169,2020-07-19,"R(t)"
"67",-1.0519944701238,2020-07-20,"R(t)"
"68",-0.992234281934978,2020-07-21,"R(t)"
"69",-0.932204093582975,2020-07-22,"R(t)"
"70",-0.876390947890627,2020-07-23,"R(t)"
"71",-0.821558033056499,2020-07-24,"R(t)"
"72",-0.76481713817983,2020-07-25,"R(t)"
"73",-0.706100024958706,2020-07-26,"R(t)"
"74",-0.641278954566845,2020-07-27,"R(t)"
"75",-0.578548028348611,2020-07-28,"R(t)"
"76",-0.514272267120496,2020-07-29,"R(t)"
"77",-0.454238635004428,2020-07-30,"R(t)"
"78",-0.393235842760604,2020-07-31,"R(t)"
"79",-0.333783920034758,2020-08-01,"R(t)"
"80",-0.275184599973968,2020-08-02,"R(t)"
"81",-0.219581499204392,2020-08-03,"R(t)"
"82",-0.159953020061859,2020-08-04,"R(t)"
"83",-0.0998182874037858,2020-08-05,"R(t)"
"84",-0.0368290805295625,2020-08-06,"R(t)"
"85",0.0268134728923874,2020-08-07,"R(t)"
"86",0.0878908438616447,2020-08-08,"R(t)"
"87",0.142188703467255,2020-08-09,"R(t)"
"88",0.193301045391362,2020-08-10,"R(t)"
"89",0.24853111822118,2020-08-11,"R(t)"
"90",0.306553922582079,2020-08-12,"R(t)"
"91",0.371877155119356,2020-08-13,"R(t)"
"92",0.442662356295562,2020-08-14,"R(t)"
"93",0.519400995274349,2020-08-15,"R(t)"
"94",0.59162873093076,2020-08-16,"R(t)"
"95",0.663218685642805,2020-08-17,"R(t)"
"96",0.740848844162514,2020-08-18,"R(t)"
"97",0.825508408220084,2020-08-19,"R(t)"
"98",0.910194530082895,2020-08-20,"R(t)"
"99",0.999028941240999,2020-08-21,"R(t)"
"100",1.08819508863361,2020-08-22,"R(t)"
"101",1.17871126517821,2020-08-23,"R(t)"
"102",1.2717116608978,2020-08-24,"R(t)"
"103",1.36396202494296,2020-08-25,"R(t)"
"104",1.44932604728601,2020-08-26,"R(t)"
"105",1.52632711912715,2020-08-27,"R(t)"
"106",1.59308316152501,2020-08-28,"R(t)"
"107",1.65147626254614,2020-08-29,"R(t)"
"108",1.71127108040032,2020-08-30,"R(t)"
"109",1.7758045599704,2020-08-31,"R(t)"
"110",1.84463002122856,2020-09-01,"R(t)"
"111",1.92049145920057,2020-09-02,"R(t)"
"112",1.99487774796698,2020-09-03,"R(t)"
"113",2.06733780364981,2020-09-04,"R(t)"
"114",2.13670384446498,2020-09-05,"R(t)"
"115",2.19820123694265,2020-09-06,"R(t)"
"116",2.24976107561655,2020-09-07,"R(t)"
"117",2.29742177622827,2020-09-08,"R(t)"
"118",2.33675002719763,2020-09-09,"R(t)"
"119",2.36619289358037,2020-09-10,"R(t)"
"120",2.39062261627622,2020-09-11,"R(t)"
"121",2.40597845394638,2020-09-12,"R(t)"
"122",2.41111892753311,2020-09-13,"R(t)"
"123",2.40350729094343,2020-09-14,"R(t)"
"124",2.39514104749525,2020-09-15,"R(t)"
"125",2.37075969810962,2020-09-16,"R(t)"
"126",2.33443872137961,2020-09-17,"R(t)"
"127",2.28708266743695,2020-09-18,"R(t)"
"128",2.23107614268115,2020-09-19,"R(t)"
"129",2.15835783359301,2020-09-20,"R(t)"
"130",2.07600853301206,2020-09-21,"R(t)"
"131",1.9851398009597,2020-09-22,"R(t)"
"132",1.88354997743863,2020-09-23,"R(t)"
"133",1.78026760874878,2020-09-24,"R(t)"
"134",1.68264925665458,2020-09-25,"R(t)"
"135",1.58357612245483,2020-09-26,"R(t)"
"136",1.48940290614464,2020-09-27,"R(t)"
"137",1.40094429955186,2020-09-28,"R(t)"
"138",1.32234832953462,2020-09-29,"R(t)"
"139",1.24954112739138,2020-09-30,"R(t)"
"140",1.18209058966971,2020-10-01,"R(t)"
"141",1.12364229349962,2020-10-02,"R(t)"
"142",1.06661325607111,2020-10-03,"R(t)"
"143",1.0134189022233,2020-10-04,"R(t)"
"144",0.97056650639035,2020-10-05,"R(t)"
"145",0.9421872332737,2020-10-06,"R(t)"
"146",0.927063922698281,2020-10-07,"R(t)"
"147",0.924051294625432,2020-10-08,"R(t)"
"148",0.938332690542805,2020-10-09,"R(t)"
"149",0.962121648211432,2020-10-10,"R(t)"
"150",0.998350503976265,2020-10-11,"R(t)"
"151",1.03958070474404,2020-10-12,"R(t)"
"152",1.0958126591954,2020-10-13,"R(t)"
