"","series","date_series","type"
"1",-0.429512327695246,2020-11-02,"R(t)"
"2",-0.481598760473513,2020-11-03,"R(t)"
"3",-0.497826461645806,2020-11-04,"R(t)"
"4",-0.497645189220642,2020-11-05,"R(t)"
"5",-0.494849828541104,2020-11-06,"R(t)"
"6",-0.490629222305782,2020-11-07,"R(t)"
"7",-0.479565265489493,2020-11-08,"R(t)"
"8",-0.461849911719845,2020-11-09,"R(t)"
"9",-0.45062293595514,2020-11-10,"R(t)"
"10",-0.458956143934514,2020-11-11,"R(t)"
"11",-0.487349279522618,2020-11-12,"R(t)"
"12",-0.519514172536489,2020-11-13,"R(t)"
"13",-0.566613646440553,2020-11-14,"R(t)"
"14",-0.632052081942655,2020-11-15,"R(t)"
"15",-0.709133311965891,2020-11-16,"R(t)"
"16",-0.786294132304495,2020-11-17,"R(t)"
"17",-0.847778806119785,2020-11-18,"R(t)"
"18",-0.881429101540092,2020-11-19,"R(t)"
"19",-0.879520167457839,2020-11-20,"R(t)"
"20",-0.831359102311919,2020-11-21,"R(t)"
"21",-0.733968266915073,2020-11-22,"R(t)"
"22",-0.586160747420621,2020-11-23,"R(t)"
"23",-0.396679466422158,2020-11-24,"R(t)"
"24",-0.166923412678408,2020-11-25,"R(t)"
"25",0.102569649751842,2020-11-26,"R(t)"
"26",0.406588850939093,2020-11-27,"R(t)"
"27",0.7335287887489,2020-11-28,"R(t)"
"28",1.06058412616631,2020-11-29,"R(t)"
"29",1.36967309102878,2020-11-30,"R(t)"
"30",1.64256547959816,2020-12-01,"R(t)"
"31",1.88343990880032,2020-12-02,"R(t)"
"32",2.07089312983187,2020-12-03,"R(t)"
"33",2.20476924892943,2020-12-04,"R(t)"
"34",2.29321946876496,2020-12-05,"R(t)"
