"","mob_index","r_index"
"1",1,65
"2",2,65
"3",3,65
"4",4,65
"5",5,65
"6",6,66
"7",7,66
"8",8,67
"9",9,69
"10",10,70
"11",11,70
"12",12,70
"13",13,70
"14",14,70
"15",15,70
"16",16,70
"17",17,70
"18",18,70
"19",19,70
"20",20,70
"21",21,70
"22",22,70
"23",23,70
"24",24,70
"25",25,70
"26",26,71
"27",27,73
"28",28,73
"29",29,73
"30",30,73
"31",31,73
"32",32,73
"33",33,73
"34",34,73
"35",35,73
"36",36,73
"37",37,73
"38",38,73
"39",39,73
"40",40,73
"41",41,73
"42",42,73
"43",43,73
"44",44,73
"45",45,73
"46",46,73
"47",47,73
"48",48,74
"49",49,76
"50",50,78
"51",51,80
"52",52,82
"53",53,84
"54",54,86
"55",55,88
"56",56,90
"57",57,92
"58",58,94
"59",59,96
"60",60,98
"61",61,100
"62",62,102
"63",63,104
"64",64,106
"65",65,108
"66",66,110
"67",67,112
"68",68,112
"69",69,112
"70",70,112
"71",71,112
"72",72,112
"73",73,112
"74",74,112
"75",75,112
"76",76,112
"77",77,112
"78",78,112
"79",79,112
"80",80,112
"81",81,112
"82",82,112
"83",83,112
"84",84,112
"85",85,112
"86",86,112
"87",87,112
"88",88,112
"89",89,112
"90",90,112
"91",91,112
"92",92,112
"93",93,112
"94",94,112
"95",95,112
"96",96,112
"97",97,112
"98",98,112
"99",99,112
"100",100,112
"101",101,112
"102",102,112
"103",103,112
"104",104,112
"105",105,112
"106",106,112
"107",107,112
"108",108,112
"109",109,112
"110",110,112
"111",111,112
"112",112,112
