"","date_series","series","type"
"1",2021-01-03,-2.02072816892411,"Workplaces"
"2",2021-01-04,-1.54024650055488,"Workplaces"
"3",2021-01-05,-0.674519017014455,"Workplaces"
"4",2021-01-06,-0.568364064378334,"Workplaces"
"5",2021-01-07,-0.640953668763365,"Workplaces"
"6",2021-01-08,-0.697246719244643,"Workplaces"
"7",2021-01-09,-0.732977902749058,"Workplaces"
"8",2021-01-10,-0.763210533952772,"Workplaces"
"9",2021-01-11,-0.818405649899212,"Workplaces"
"10",2021-01-12,-0.858929444871303,"Workplaces"
"11",2021-01-13,-0.912913876334513,"Workplaces"
"12",2021-01-14,-0.91653355532636,"Workplaces"
"13",2021-01-15,-0.945841689716394,"Workplaces"
"14",2021-01-16,-0.970782372062737,"Workplaces"
"15",2021-01-17,-0.98977835472386,"Workplaces"
"16",2021-01-18,-0.960071103838203,"Workplaces"
"17",2021-01-19,-0.925632111966758,"Workplaces"
"18",2021-01-20,-0.871130973421784,"Workplaces"
"19",2021-01-21,-0.949297833655446,"Workplaces"
"20",2021-01-22,-0.976631815251907,"Workplaces"
"21",2021-01-23,-0.964500043503316,"Workplaces"
"22",2021-01-24,-0.922089707209394,"Workplaces"
"23",2021-01-25,-0.902481587309081,"Workplaces"
"24",2021-01-26,-0.882832539133878,"Workplaces"
"25",2021-01-27,-0.884463733098494,"Workplaces"
"26",2021-01-28,-0.780571174601812,"Workplaces"
"27",2021-01-29,-0.720808145020046,"Workplaces"
"28",2021-01-30,-0.704391455573927,"Workplaces"
"29",2021-01-31,-0.688991105712814,"Workplaces"
"30",2021-02-01,-0.668430728937053,"Workplaces"
"31",2021-02-02,-0.652124482586603,"Workplaces"
"32",2021-02-03,-0.585566375153497,"Workplaces"
"33",2021-02-04,-0.612174029194148,"Workplaces"
"34",2021-02-05,-0.661363993570332,"Workplaces"
"35",2021-02-06,-0.672330931316552,"Workplaces"
"36",2021-02-07,-0.675854412984994,"Workplaces"
"37",2021-02-08,-0.66853098992382,"Workplaces"
"38",2021-02-09,-0.667009631009249,"Workplaces"
"39",2021-02-10,-0.673635684871173,"Workplaces"
"40",2021-02-11,-0.62913458016227,"Workplaces"
"41",2021-02-12,-0.665206107234716,"Workplaces"
"42",2021-02-13,-0.714825204335156,"Workplaces"
"43",2021-02-14,-0.791599741734505,"Workplaces"
"44",2021-02-15,-0.87549538881549,"Workplaces"
"45",2021-02-16,-0.964409148184178,"Workplaces"
"46",2021-02-17,-0.909321896771262,"Workplaces"
"47",2021-02-18,-0.813617475678418,"Workplaces"
"48",2021-02-19,-0.680526650733174,"Workplaces"
"49",2021-02-20,-0.543521681683071,"Workplaces"
"50",2021-02-21,-0.401514554110861,"Workplaces"
"51",2021-02-22,-0.259489997436114,"Workplaces"
"52",2021-02-23,-0.101142149283743,"Workplaces"
"53",2021-02-24,-0.00841820836371279,"Workplaces"
"54",2021-02-25,0.0749229895373378,"Workplaces"
"55",2021-02-26,0.107198693419784,"Workplaces"
"56",2021-02-27,0.13535406687371,"Workplaces"
"57",2021-02-28,0.150404827198786,"Workplaces"
"58",2021-03-01,0.167891221835267,"Workplaces"
"59",2021-03-02,0.188254862106686,"Workplaces"
"60",2021-03-03,0.193166325905955,"Workplaces"
"61",2021-03-04,0.211137592731566,"Workplaces"
"62",2021-03-05,0.286581662782862,"Workplaces"
"63",2021-03-06,0.383087037141406,"Workplaces"
"64",2021-03-07,0.475260684444873,"Workplaces"
"65",2021-03-08,0.585933239280014,"Workplaces"
"66",2021-03-09,0.700704699521495,"Workplaces"
"67",2021-03-10,0.724745740788669,"Workplaces"
"68",2021-03-11,0.924808490032024,"Workplaces"
"69",2021-03-12,0.981500585180878,"Workplaces"
"70",2021-03-13,1.01407866204697,"Workplaces"
"71",2021-03-14,1.07711751601837,"Workplaces"
"72",2021-03-15,1.11465462277465,"Workplaces"
"73",2021-03-16,1.14040766700236,"Workplaces"
"74",2021-03-17,1.17413149843127,"Workplaces"
"75",2021-03-18,1.03724351608348,"Workplaces"
