"","mob_index","r_index"
"1",1,1
"2",2,1
"3",3,1
"4",4,1
"5",5,1
"6",6,1
"7",7,1
"8",8,1
"9",9,1
"10",10,1
"11",11,1
"12",12,2
"13",13,4
"14",14,6
"15",15,8
"16",16,10
"17",17,10
"18",18,11
"19",19,11
"20",20,11
"21",21,11
"22",22,11
"23",23,11
"24",24,12
"25",25,12
"26",26,12
"27",27,13
"28",28,14
"29",29,15
"30",30,15
"31",31,15
"32",32,15
"33",33,15
"34",34,16
"35",35,16
"36",36,16
"37",37,16
"38",38,16
"39",39,16
"40",40,16
"41",41,16
"42",42,16
"43",43,16
"44",44,16
"45",45,16
"46",46,17
"47",47,17
"48",48,18
"49",49,18
"50",50,18
"51",51,18
"52",52,18
"53",53,18
"54",54,18
"55",55,19
"56",56,19
"57",57,19
"58",58,19
"59",59,19
"60",60,19
"61",61,19
"62",62,19
"63",63,19
"64",64,19
"65",65,19
"66",66,19
"67",67,19
"68",68,19
"69",69,19
"70",70,19
"71",71,19
"72",72,19
"73",73,19
"74",74,19
"75",75,19
"76",76,19
"77",77,19
"78",78,19
"79",79,19
"80",80,19
"81",81,19
"82",82,19
"83",83,19
"84",84,19
"85",85,19
"86",86,19
"87",87,19
"88",88,19
"89",89,19
"90",90,19
"91",91,19
"92",92,19
"93",93,19
"94",94,19
"95",95,19
"96",96,19
"97",97,20
"98",98,20
"99",99,20
"100",100,20
"101",101,20
"102",102,20
"103",103,20
"104",104,20
"105",105,20
"106",106,20
"107",107,20
"108",108,20
"109",109,20
"110",110,20
"111",111,20
"112",112,20
"113",113,22
"114",114,24
"115",115,24
"116",116,25
"117",117,25
"118",118,26
"119",119,26
"120",120,28
"121",121,28
"122",122,28
"123",123,28
"124",124,28
"125",125,28
"126",126,28
"127",127,28
"128",128,28
"129",129,28
"130",130,28
"131",131,28
"132",132,28
"133",133,28
"134",134,28
"135",135,28
"136",136,28
"137",137,28
"138",138,28
"139",139,28
"140",140,28
"141",141,28
"142",142,28
"143",143,28
"144",144,28
"145",145,28
"146",146,28
"147",147,28
"148",148,28
"149",149,28
"150",150,28
"151",151,28
"152",152,28
"153",153,28
"154",154,28
"155",155,28
"156",156,28
"157",157,28
"158",158,28
"159",159,28
"160",160,28
"161",161,28
"162",162,28
"163",163,29
"164",164,31
"165",165,32
"166",166,32
"167",167,32
"168",168,32
"169",169,32
"170",170,32
"171",171,32
"172",172,32
"173",173,32
"174",174,32
"175",175,34
"176",176,35
"177",177,36
"178",178,36
"179",179,36
"180",180,36
"181",181,36
"182",182,36
"183",183,36
"184",184,36
"185",185,36
"186",186,36
"187",187,36
"188",188,36
"189",189,36
"190",190,36
"191",191,36
"192",192,36
"193",193,36
"194",194,36
"195",195,36
"196",196,36
"197",197,36
"198",198,36
"199",199,36
"200",200,36
"201",201,36
"202",202,36
"203",203,36
"204",204,36
"205",205,36
"206",206,36
"207",207,36
"208",208,36
"209",209,36
"210",210,36
"211",211,36
"212",212,36
"213",213,36
"214",214,36
"215",215,36
"216",216,36
"217",217,36
"218",218,36
"219",219,37
"220",220,39
"221",221,41
"222",222,43
"223",223,45
"224",224,47
"225",225,49
"226",226,51
"227",227,53
"228",228,55
"229",229,57
"230",230,59
"231",231,59
"232",232,59
"233",233,61
"234",234,63
"235",235,65
"236",236,67
"237",237,69
"238",238,69
"239",239,69
"240",240,69
"241",241,69
"242",242,69
"243",243,69
"244",244,69
"245",245,69
"246",246,69
"247",247,69
"248",248,69
"249",249,69
"250",250,69
"251",251,69
"252",252,69
"253",253,69
"254",254,69
"255",255,69
"256",256,69
"257",257,69
"258",258,69
"259",259,70
"260",260,71
"261",261,71
"262",262,72
"263",263,72
"264",264,72
"265",265,72
"266",266,72
"267",267,72
"268",268,72
"269",269,72
"270",270,72
"271",271,72
"272",272,72
"273",273,72
"274",274,72
"275",275,72
"276",276,72
"277",277,72
"278",278,72
"279",279,72
"280",280,72
"281",281,72
"282",282,73
"283",283,75
"284",284,76
"285",285,78
"286",286,79
"287",287,80
"288",288,81
"289",289,81
"290",290,81
"291",291,81
"292",292,82
"293",293,82
"294",294,82
"295",295,83
"296",296,84
"297",297,85
"298",298,86
"299",299,88
"300",300,88
"301",301,90
"302",302,91
"303",303,91
"304",304,91
"305",305,91
"306",306,91
"307",307,91
"308",308,91
"309",309,91
"310",310,91
"311",311,91
"312",312,91
"313",313,91
"314",314,91
"315",315,91
"316",316,91
"317",317,91
"318",318,91
"319",319,91
"320",320,91
"321",321,91
"322",322,91
"323",323,91
"324",324,91
"325",325,91
"326",326,91
"327",327,91
"328",328,91
"329",329,91
"330",330,91
"331",331,91
"332",332,91
"333",333,91
"334",334,91
"335",335,91
"336",336,92
"337",337,94
"338",338,96
"339",339,98
"340",340,100
"341",341,102
"342",342,102
"343",343,103
"344",344,103
"345",345,103
