"","mob_index","r_index"
"1",1,62
"2",2,63
"3",3,65
"4",4,67
"5",5,67
"6",6,67
"7",7,67
"8",8,67
"9",9,67
"10",10,67
"11",11,67
"12",12,67
"13",13,67
"14",14,67
"15",15,67
"16",16,67
"17",17,67
"18",18,67
"19",19,67
"20",20,67
"21",21,67
"22",22,67
"23",23,67
"24",24,67
"25",25,68
"26",26,69
"27",27,69
"28",28,69
"29",29,69
"30",30,69
"31",31,69
"32",32,69
"33",33,69
"34",34,69
"35",35,69
"36",36,69
"37",37,69
"38",38,69
"39",39,69
"40",40,69
"41",41,69
"42",42,69
"43",43,69
"44",44,69
"45",45,69
"46",46,71
"47",47,73
"48",48,75
"49",49,77
"50",50,79
"51",51,81
"52",52,83
"53",53,85
"54",54,87
"55",55,89
"56",56,91
"57",57,93
"58",58,95
"59",59,97
"60",60,99
"61",61,101
"62",62,103
"63",63,105
"64",64,106
"65",65,106
"66",66,106
"67",67,106
"68",68,106
"69",69,106
"70",70,106
"71",71,106
"72",72,106
"73",73,106
"74",74,106
"75",75,106
"76",76,106
"77",77,106
"78",78,106
"79",79,106
"80",80,106
"81",81,106
"82",82,106
"83",83,106
"84",84,106
"85",85,106
"86",86,106
"87",87,106
"88",88,106
"89",89,106
"90",90,106
"91",91,106
"92",92,106
"93",93,106
"94",94,106
"95",95,106
"96",96,106
"97",97,106
"98",98,106
"99",99,106
"100",100,106
"101",101,106
"102",102,106
"103",103,106
"104",104,106
"105",105,106
"106",106,106
