"","ccf","lag","region","type_mobility"
"2",-0.200922968424435,-50,"North West","Retail & recreation"
"3",-0.177338749666724,-49,"North West","Retail & recreation"
"4",-0.156181927336105,-48,"North West","Retail & recreation"
"5",-0.137396481543743,-47,"North West","Retail & recreation"
"6",-0.120443059632309,-46,"North West","Retail & recreation"
"7",-0.104581921889652,-45,"North West","Retail & recreation"
"8",-0.0902524477630431,-44,"North West","Retail & recreation"
"9",-0.0782822574573414,-43,"North West","Retail & recreation"
"10",-0.0704600067036333,-42,"North West","Retail & recreation"
"11",-0.0654369753077619,-41,"North West","Retail & recreation"
"12",-0.0630103258837278,-40,"North West","Retail & recreation"
"13",-0.0632569109667377,-39,"North West","Retail & recreation"
"14",-0.0663691231344671,-38,"North West","Retail & recreation"
"15",-0.0721553486591497,-37,"North West","Retail & recreation"
"16",-0.0808443578904792,-36,"North West","Retail & recreation"
"17",-0.0906970639547295,-35,"North West","Retail & recreation"
"18",-0.101828815589922,-34,"North West","Retail & recreation"
"19",-0.113590643659396,-33,"North West","Retail & recreation"
"20",-0.125388928528965,-32,"North West","Retail & recreation"
"21",-0.136674016347186,-31,"North West","Retail & recreation"
"22",-0.14779304822237,-30,"North West","Retail & recreation"
"23",-0.157522295552431,-29,"North West","Retail & recreation"
"24",-0.166107360144364,-28,"North West","Retail & recreation"
"25",-0.173850513140762,-27,"North West","Retail & recreation"
"26",-0.181123091904066,-26,"North West","Retail & recreation"
"27",-0.188728321177446,-25,"North West","Retail & recreation"
"28",-0.196650926854092,-24,"North West","Retail & recreation"
"29",-0.204995576188692,-23,"North West","Retail & recreation"
"30",-0.214367242807866,-22,"North West","Retail & recreation"
"31",-0.225260913742137,-21,"North West","Retail & recreation"
"32",-0.23780992722383,-20,"North West","Retail & recreation"
"33",-0.251531111780985,-19,"North West","Retail & recreation"
"34",-0.265948539313696,-18,"North West","Retail & recreation"
"35",-0.28197242276915,-17,"North West","Retail & recreation"
"36",-0.298497468676916,-16,"North West","Retail & recreation"
"37",-0.315123584003346,-15,"North West","Retail & recreation"
"38",-0.331270116722154,-14,"North West","Retail & recreation"
"39",-0.346454311314414,-13,"North West","Retail & recreation"
"40",-0.360983035179213,-12,"North West","Retail & recreation"
"41",-0.374922382495261,-11,"North West","Retail & recreation"
"42",-0.387472934927619,-10,"North West","Retail & recreation"
"43",-0.39764711072944,-9,"North West","Retail & recreation"
"44",-0.406958463464028,-8,"North West","Retail & recreation"
"45",-0.415493171431944,-7,"North West","Retail & recreation"
"46",-0.422709593583237,-6,"North West","Retail & recreation"
