"","date","region","retail_recreation","grocery_pharmacy","parks","transit_stations","workplaces","residential","retail_recreation_av","grocery_pharmacy_av","parks_av","transit_stations_av","workplaces_av","residential_av"
"new.217",2020-02-15,"EAST",-9.3,-3.8,-37.1111111111111,-5,-3.1,2,NA,NA,NA,NA,NA,NA
"new.218",2020-02-16,"EAST",-11.5,-7,-42.4,-12.6,-4,1.44444444444444,NA,NA,NA,NA,NA,NA
"new.219",2020-02-17,"EAST",12.1,2.4,29.3333333333333,0,-16,2.3,NA,NA,NA,NA,NA,NA
"new.299",2020-02-18,"EAST",10.7,-0.3,28.1666666666667,-0.1,-15.1,2.3,3.48571428571429,-1.44285714285714,1.84790249433107,-3.04285714285714,-12.4714285714286,2.33492063492064
"new.300",2020-02-19,"EAST",9,-0.8,16.8571428571429,-0.3,-15.4,2.5,4.47142857142857,-0.928571428571429,7.16536281179138,-1.85714285714286,-12.3285714285714,2.06349206349206
"new.293",2020-02-20,"EAST",6.7,-1.7,-1.28571428571429,-2.3,-16.7,3,5.52857142857143,-0.0714285714285714,11.13679138322,0.228571428571429,-12.0142857142857,1.85714285714286
"new.294",2020-02-21,"EAST",6.7,1.1,19.375,-1,-17,2.8,3.5,-0.414285714285714,5.08917233560091,-0.0428571428571429,-9.84285714285714,1.7
"new.295",2020-02-22,"EAST",-2.4,-0.2,0.111111111111111,3.3,-2.1,0.1,1.94285714285714,0.4,1.51774376417234,0.2,-7.58571428571429,1.37142857142857
"new.296",2020-02-23,"EAST",-4.1,-1,-14.6,2,-1.8,0,0.728571428571429,0.528571428571429,-0.801133786848072,0.328571428571429,-5.31428571428571,1.08571428571429
"new.297",2020-02-24,"EAST",-2.1,0,-13,-1.9,-0.8,1.2,-0.271428571428571,0.971428571428571,-1.31388888888889,0.642857142857143,-3.1,0.814285714285714
"new.298",2020-02-25,"EAST",-0.2,5.4,3.16666666666667,1.6,0.7,0,-1.57142857142857,1.05714285714286,-6.08174603174603,0.971428571428571,-0.814285714285714,0.557142857142857
"new.106",2020-02-26,"EAST",0.5,0.1,0.625,0.6,0.5,0.5,-1.24285714285714,1.51428571428571,-9.0547619047619,0.4,-0.557142857142857,0.614285714285715
"new.107",2020-02-27,"EAST",-0.3,1.4,-4.875,-0.1,-1.2,1.1,-0.0428571428571428,2.18571428571429,-4.41802721088435,0.942857142857143,-0.214285714285714,0.519047619047619
"new.108",2020-02-28,"EAST",-2.4,1.7,-14,1.3,-1,1,0.628571428571429,2.84285714285714,-0.870408163265305,1.34285714285714,0.0142857142857146,0.390476190476191
"new.109",2020-02-29,"EAST",-0.1,3,-20.7,-0.7,-0.3,0.5,1,2.55714285714286,-0.251360544217686,1.11428571428571,0.0285714285714289,0.404761904761905
"new.110",2020-03-01,"EAST",4.3,3.7,17.8571428571429,5.8,0.6,-0.666666666666667,1.28571428571429,3.24285714285714,0.0471088435374157,1.04285714285714,0.0714285714285717,0.419047619047619
"new.30",2020-03-02,"EAST",2.6,4.6,11.8333333333333,0.9,0.8,0.3,0.971428571428572,3.34285714285714,-0.970748299319727,0.7,0.228571428571429,0.433333333333334
"new.31",2020-03-03,"EAST",2.4,3.4,7.5,0,0.8,0.1,1.98571428571429,4.04285714285714,4.82517006802721,0.8,0.457142857142857,0.290476190476191
"new.45",2020-03-04,"EAST",2.5,4.9,2.71428571428571,0.1,0.8,0.6,2.24285714285714,4.02857142857143,9.30017006802721,1.6,0.742857142857143,0.219047619047619
"new.46",2020-03-05,"EAST",-2.5,2.1,-12,-2.5,-0.1,1.2,2.15714285714286,4.22857142857143,10.1981292517007,1.17142857142857,0.842857142857143,0.234920634920635
"new.47",2020-03-06,"EAST",4.7,6.6,26.5714285714286,2,0.6,0,2.02857142857143,4.18571428571429,9.86479591836735,0.8,0.828571428571429,0.306349206349207
"new.61",2020-03-07,"EAST",1.7,2.9,10.625,4.9,1.7,0,1.71428571428571,4.64285714285714,10.1981292517007,0.471428571428571,0.757142857142857,0.420634920634921
"new.62",2020-03-08,"EAST",3.7,5.1,24.1428571428571,2.8,1.3,-0.555555555555556,1.54285714285714,4.97142857142857,12.483843537415,-0.0428571428571429,0.6,0.477777777777778
"new.63",2020-03-09,"EAST",1.7,4.3,9.5,-1.7,0.7,0.8,1.97142857142857,6.44285714285714,15.1981292517007,-0.8,0.428571428571429,0.520634920634921
"new.64",2020-03-10,"EAST",0.2,6.6,9.83333333333333,-2.3,0.3,0.9,1.14285714285714,7.42857142857143,13.4022108843537,-2.52857142857143,-0.0999999999999997,0.834920634920635
"new.52",2020-03-11,"EAST",1.3,7.2,18.7142857142857,-3.5,-0.3,1,-3.1720657846433e-17,8.48571428571429,11.5034013605442,-5.15714285714286,-0.585714285714286,1.16349206349206
"new.53",2020-03-12,"EAST",0.5,12.4,7,-7.8,-1.3,1.5,-2.12857142857143,8.88571428571429,6.75442176870748,-7.95714285714286,-1.2,1.54444444444444
"new.122",2020-03-13,"EAST",-1.1,13.5,14,-10.1,-3.1,2.2,-2.47142857142857,11.7142857142857,9.73061224489796,-10.2285714285714,-2.21428571428571,1.9015873015873
"new.123",2020-03-14,"EAST",-6.3,10.3,-2.66666666666667,-13.5,-1.7,2.3,-3.84285714285714,14.5142857142857,10.6115646258503,-13.6285714285714,-4.11428571428571,2.71587301587302
"new.124",2020-03-15,"EAST",-11.2,7.9,-9.1,-16.8,-3,2.11111111111111,-6.31428571428571,17.7285714285714,8.34625850340136,-17.8428571428571,-6.94285714285714,3.93015873015873
"new.125",2020-03-16,"EAST",-0.7,24.1,30.3333333333333,-17.6,-6.4,3.3,-8.7,20.4142857142857,7.50952380952381,-22.0571428571429,-10.3,5.3015873015873
"new.207",2020-03-17,"EAST",-9.4,26.2,16,-26.1,-13,6.6,-12.0428571428571,20.6142857142857,6.72380952380952,-26.3714285714286,-13.6714285714286,6.74444444444445
"new.208",2020-03-18,"EAST",-16,29.7,2.85714285714286,-33,-20.1,9.5,-17.4714285714286,19.8,8.42619047619048,-30.7571428571429,-16.5285714285714,7.87301587301587
"new.499",2020-03-19,"EAST",-16.2,31.2,1.14285714285714,-37.3,-24.8,11.1,-23.5285714285714,17.1285714285714,12.547619047619,-34.7571428571429,-19.8285714285714,8.75510204081633
"new.500",2020-03-20,"EAST",-24.5,14.9,8.5,-40.3,-26.7,12.3,-29.1714285714286,13.0285714285714,9.14285714285714,-39.6142857142857,-24.9285714285714,10.6979591836735
"new.430",2020-03-21,"EAST",-44.3,4.6,9.25,-44.2,-21.7,10.2,-37.6571428571429,6.42857142857143,5.83673469387755,-44.7428571428571,-30.9,13.0408163265306
"new.431",2020-03-22,"EAST",-53.6,-10.8,19.75,-44.8,-26.1,8.28571428571429,-45.5571428571429,-1.14285714285714,4.95918367346939,-49.5142857142857,-36.7,15.3122448979592
"new.432",2020-03-23,"EAST",-40.2,-4.6,6.5,-51.6,-42.1,16.9,-53.5571428571429,-9.34285714285714,4.11734693877551,-53.9714285714286,-42.1428571428571,17.5122448979592
"new.433",2020-03-24,"EAST",-68.8,-20,-7.14285714285714,-62,-54.8,23,-60.6714285714286,-15.2857142857143,0.581632653061225,-58.1,-47.3714285714286,19.6836734693878
"new.434",2020-03-25,"EAST",-71.3,-23.3,-3.28571428571429,-66.4,-60.7,25.4,-66.1142857142857,-21.5,-7.85408163265306,-62.2142857142857,-51.9142857142857,20.9204081632653
"new.435",2020-03-26,"EAST",-72.2,-26.2,-4.75,-68.5,-62.9,26.5,-70.5857142857143,-26.6428571428571,-18.2183673469388,-66.5571428571429,-55.6,21.915306122449
"new.176",2020-03-27,"EAST",-74.3,-26.7,-16.25,-69.2,-63.3,27.5,-75.2142857142857,-30.4428571428571,-22.9428571428571,-69.5142857142857,-59,23.2581632653061
"new.177",2020-03-28,"EAST",-82.4,-38.9,-49.8,-73,-53.5,18.8571428571429,-75.6857142857143,-31.5571428571429,-23.534693877551,-70.6857142857143,-60.6714285714286,23.7867346938776
"new.97",2020-03-29,"EAST",-84.9,-46.8,-52.8,-75.2,-51.9,15.25,-76.1,-32.6,-26.3688775510204,-71.4142857142857,-61.5142857142857,24.115306122449
"new.98",2020-03-30,"EAST",-72.6,-31.2,-26.5714285714286,-72.3,-65.9,26.3,-76.2428571428571,-33.1857142857143,-27.6545918367347,-71.9142857142857,-62.0857142857143,24.3438775510204
"new.139",2020-03-31,"EAST",-72.1,-27.8,-11.2857142857143,-70.2,-66.5,26.7,-76.3,-33.5285714285714,-27.6367346938775,-72.2,-62.4857142857143,24.4724489795918
"new.140",2020-04-01,"EAST",-74.2,-30.6,-23.125,-71.5,-66.6,27.7,-76.0142857142857,-33.1571428571429,-24.3002267573696,-71.6857142857143,-62.3571428571429,24.3908163265306
"new.141",2020-04-02,"EAST",-73.2,-30.3,-13.75,-72,-66.9,28.1,-75.4857142857143,-32.1571428571429,-20.1502267573696,-70.8428571428571,-62.0571428571429,24.2479591836735
"new.142",2020-04-03,"EAST",-74.7,-29.1,-16.125,-71.2,-66.1,28.4,-75.3142857142857,-32.0857142857143,-18.8781179138322,-70.7285714285714,-62.2142857142857,24.2908163265306
"new.103",2020-04-04,"EAST",-80.4,-36.3,-26.4444444444444,-69.4,-52.6,18.2857142857143,-75.2857142857143,-32.1285714285714,-17.8168934240363,-70.4428571428571,-62.3571428571429,24.3336734693878
"new.77",2020-04-05,"EAST",-81.2,-39.8,-23.75,-69.3,-49.8,14.25,-74.9285714285714,-31.3714285714286,-15.5949546485261,-70.0285714285714,-62.4428571428571,24.2479591836735
"new.65",2020-04-06,"EAST",-71.4,-30.7,-17.6666666666667,-71.5,-67,26.6,-74.2714285714286,-29.5571428571429,-14.2378117913832,-69.3857142857143,-62.5142857142857,24.0622448979592
"new.66",2020-04-07,"EAST",-71.9,-28.1,-3.85714285714286,-68.2,-67.5,27,-74.5571428571428,-30.1285714285714,-13.5592403628118,-69.8571428571429,-64.5142857142857,24.6082766439909
"new.67",2020-04-08,"EAST",-71.7,-25.3,-7.57142857142857,-68.6,-67.2,27.1,-74.5142857142857,-29.6,-13.8290816326531,-69.7,-64.7714285714286,24.6082766439909
"new.68",2020-04-09,"EAST",-68.6,-17.6,-4.25,-67.5,-67.4,26.8,-75.6714285714286,-33.2285714285714,-14.1663832199546,-69.8571428571429,-65.6,24.7511337868481
"new.69",2020-04-10,"EAST",-76.7,-33.1,-11.375,-74.5,-80.1,32.2222222222222,-76.7428571428571,-34.9571428571429,-15.8211451247166,-71.0857142857143,-67.8571428571429,25.4868480725624
"new.233",2020-04-11,"EAST",-80.1,-32.6,-28.3333333333333,-68.3,-54.4,18.2857142857143,-76.4428571428572,-34.4857142857143,-16.6986961451247,-71.1,-67.7285714285714,25.4011337868481
"new.234",2020-04-12,"EAST",-89.3,-65.2,-26.1111111111111,-70.4,-55.6,15.25,-76.2857142857143,-34.6285714285714,-15.3313492063492,-70.9,-67.5857142857143,25.3725623582766
"new.235",2020-04-13,"EAST",-78.9,-42.8,-29.25,-80.1,-82.8,31.75,-76.6285714285714,-35.9,-14.499716553288,-71.0285714285714,-67.4142857142857,25.4439909297052
"new.236",2020-04-14,"EAST",-69.8,-24.8,-10,-68.3,-66.6,26.4,-76.1571428571429,-35.2571428571429,-15.5532879818594,-70.3857142857143,-65.2857142857143,24.869387755102
"new.237",2020-04-15,"EAST",-70.6,-26.3,2,-67.2,-66.2,26.9,-76.2285714285714,-35.9,-17.6628117913832,-70.6142857142857,-64.6714285714286,24.8897959183673
"new.238",2020-04-16,"EAST",-71,-26.5,1.57142857142857,-68.4,-66.2,27.3,-74.9428571428572,-32.2,-15.2387755102041,-69.8857142857143,-63.2142857142857,24.6255102040816
"new.239",2020-04-17,"EAST",-73.4,-28.6,-18.75,-70,-65.2,28.2,-73.6714285714286,-30.2714285714286,-11.1316326530612,-68.1571428571429,-60.5142857142857,23.7183673469388
"new.240",2020-04-18,"EAST",-80.6,-37.1,-43.1,-69.9,-50.1,18.4285714285714,-73.8142857142857,-30.5571428571429,-9.49897959183673,-67.8857142857143,-60.1857142857143,23.6897959183673
"new.241",2020-04-19,"EAST",-80.3,-39.3,-9.14285714285714,-65.3,-45.4,13.4,-73.8571428571429,-30.5857142857143,-9.02959183673469,-67.6285714285714,-59.8285714285714,23.6040816326531
"new.242",2020-04-20,"EAST",-70,-29.3,-0.5,-68,-63.9,25.4,-73.7428571428571,-30.3428571428571,-7.09336734693878,-67.2714285714286,-59.4714285714286,23.4612244897959
"new.243",2020-04-21,"EAST",-70.8,-26.8,1.42857142857143,-66.4,-64.3,26.2,-73.4714285714286,-29.8714285714286,-3.32551020408163,-66.6714285714286,-59.1428571428571,23.2612244897959
"new.244",2020-04-22,"EAST",-70.9,-26.5,5.28571428571429,-65.4,-63.7,26.3,-72.9857142857143,-29.1142857142857,0.845918367346939,-65.7428571428571,-58.7571428571429,23.0775510204082
"new.245",2020-04-23,"EAST",-70.2,-24.8,15.125,-65.9,-63.7,26.3,-72.6571428571429,-28.5,2.45816326530612,-65.1,-58.5142857142857,23.0204081632653
"new.246",2020-04-24,"EAST",-71.5,-25.3,7.625,-65.8,-62.9,26.8,-72.4142857142857,-28.3142857142857,3.22006802721089,-64.7,-58.2714285714286,22.934693877551
"new.247",2020-04-25,"EAST",-77.2,-31.8,-13.9,-63.4,-47.4,17.1428571428571,-72.8571428571429,-29.2285714285714,-3.82528344671202,-65.3857142857143,-58.2428571428571,22.8061224489796
"new.332",2020-04-26,"EAST",-78,-35,2.14285714285714,-60.8,-43.7,13,-73,-29.3,-8.02482993197279,-65.7142857142857,-58.1714285714286,22.8489795918367
"new.333",2020-04-27,"EAST",-68.3,-28,4.83333333333333,-65.2,-62.2,24.8,-73.4,-29.6714285714286,-13.8839569160998,-66.0142857142857,-58.0857142857143,22.9489795918367
"new.373",2020-04-28,"EAST",-73.9,-33.2,-47.8888888888889,-71.2,-64.1,25.3,-73.5857142857143,-29.7428571428571,-16.9573696145125,-65.9857142857143,-57.8714285714286,22.9489795918367
"new.374",2020-04-29,"EAST",-71.9,-27,-24.1111111111111,-67.7,-63.2,26.6,-73.5285714285714,-29.4428571428571,-16.1323696145125,-65.5857142857143,-57.4571428571429,22.8469387755102
"new.375",2020-04-30,"EAST",-73,-27.4,-25.8888888888889,-68,-63.1,27,-73.6571428571429,-29.6285714285714,-19.0734126984127,-65.8,-57.2428571428571,22.9421768707483
"new.252",2020-05-01,"EAST",-72.8,-25.8,-13.8888888888889,-65.6,-61.4,26.8,-73.5142857142857,-29.2571428571429,-19.7996031746032,-65.5428571428571,-57.0857142857143,22.8421768707483
"new.253",2020-05-02,"EAST",-76.8,-29.7,-8.125,-60.6,-44.5,16.4285714285714,-72.6857142857143,-27.8714285714286,-12.0603741496599,-64.2571428571429,-56.6714285714286,22.7421768707483
"new.214",2020-05-03,"EAST",-78.9,-36.3,-18.4444444444444,-62.3,-42.2,13.6666666666667,-72.1,-26.8857142857143,-5.77919501133787,-63.2428571428571,-56.2714285714286,22.4707482993197
"new.215",2020-05-04,"EAST",-67.3,-25.4,-0.25,-63.4,-61.1,24.1,-70.8142857142857,-24.6285714285714,0.674319727891158,-62.1428571428571,-55.9571428571429,22.0707482993197
"new.216",2020-05-05,"EAST",-68.1,-23.5,6.28571428571429,-62.2,-61.2,24.6,-70.9428571428571,-24.8714285714286,6.04620181405896,-62.5142857142857,-58.1857142857143,22.5278911564626
"new.436",2020-05-06,"EAST",-67.8,-20.1,19.8571428571429,-60.6,-60.4,24.7,-70.8857142857143,-24.5857142857143,8.19104308390023,-62.4142857142857,-58.2857142857143,22.4666666666667
"new.437",2020-05-07,"EAST",-64,-11.6,19.2857142857143,-60.3,-60.9,24.2,-71.0571428571428,-24.8571428571429,5.18310657596372,-63.1857142857143,-58.1428571428571,22.4666666666667
"new.438",2020-05-08,"EAST",-73.7,-27.5,23.7142857142857,-68.2,-77,30,-70.9285714285714,-24.5714285714286,4.66780045351474,-63.2714285714286,-57.9285714285714,22.452380952381
"new.439",2020-05-09,"EAST",-76.4,-27.7,6.88888888888889,-59.9,-45.2,16,-70.7285714285714,-24.1714285714286,5.62698412698413,-63.1,-57.5857142857143,22.352380952381
"new.345",2020-05-10,"EAST",-80.1,-38.2,-39.5,-67.7,-41.2,13.6666666666667,-70.5857142857143,-24.3428571428571,4.05555555555556,-63.1,-57.3,22.2666666666667
"new.346",2020-05-11,"EAST",-66.4,-23.4,-3.85714285714286,-64,-59.6,24,-70.7857142857143,-25.4428571428571,5.72902494331066,-62.9571428571429,-56.9142857142857,22.052380952381
"new.347",2020-05-12,"EAST",-66.7,-20.7,13,-61,-58.8,23.9,-69.7,-24.2,8.83106575963719,-61.4571428571429,-54.0857142857143,21.1238095238095
"new.348",2020-05-13,"EAST",-66.8,-21.3,8.85714285714286,-60.6,-58.4,24.1,-69.1142857142857,-23.6714285714286,10.3163265306122,-60.6571428571429,-53.2,20.9015873015873
