"","sub_region_1","Min_during_lockdown","Pre_lockdown_av","Drop","Min_days","Mobility_30days","Rebound_30days"
"X","Bath and North East Somerset","-76","-14.2142857142857","61.7857142857143","19","-56.1111111111111","19.8888888888889"
"X.1","Bedford","-67","-11.0714285714286","55.9285714285714","19","-44.6666666666667","22.3333333333333"
"X.2","Blackburn with Darwen","-64","-5.71428571428571","58.2857142857143","19","-38.1111111111111","25.8888888888889"
"X.3","Blackpool","-63","-7.5","55.5","19","-41.5555555555556","21.4444444444444"
"X.4","Borough of Halton","-64","-7.07142857142857","56.9285714285714","19","-41.4444444444444","22.5555555555556"
"X.5","Bracknell Forest","-76","-16.2857142857143","59.7142857142857","19","-52.1111111111111","23.8888888888889"
"X.6","Brighton and Hove","-76","-17.8571428571429","58.1428571428571","19","-57.6666666666667","18.3333333333333"
"X.7","Bristol City","-75","-15.6428571428571","59.3571428571429","19","-54.2222222222222","20.7777777777778"
"X.8","Buckinghamshire","-74","-14.2142857142857","59.7857142857143","19","-49.4444444444444","24.5555555555556"
"X.9","Cambridgeshire","-72","-14.7857142857143","57.2142857142857","19","-51.2222222222222","20.7777777777778"
"X.10","Central Bedfordshire","-71","-11.2857142857143","59.7142857142857","19","-46","25"
"X.11","Cheshire East","-70","-11.7142857142857","58.2857142857143","19","-47.3333333333333","22.6666666666667"
"X.12","Cheshire West and Chester","-69","-11.2857142857143","57.7142857142857","19","-48.7777777777778","20.2222222222222"
"X.13","Cornwall","-68","-8.42857142857143","59.5714285714286","19","-42.6666666666667","25.3333333333333"
"X.14","County Durham","-67","-9.07142857142857","57.9285714285714","19","-45","22"
"X.15","Cumbria","-70","-8.28571428571429","61.7142857142857","19","-45.5555555555556","24.4444444444444"
"X.16","Darlington","-65","-8.57142857142857","56.4285714285714","19","-42.8888888888889","22.1111111111111"
"X.17","Derby","-69","-9.21428571428571","59.7857142857143","19","-45","24"
"X.18","Derbyshire","-67","-9.07142857142857","57.9285714285714","19","-43.4444444444444","23.5555555555556"
"X.19","Devon","-68","-10.8571428571429","57.1428571428571","19","-43.4444444444444","24.5555555555556"
"X.20","Dorset","-68","-10.7142857142857","57.2857142857143","19","-45.3333333333333","22.6666666666667"
"X.21","East Riding of Yorkshire","-65","-7.85714285714286","57.1428571428571","19","-42.2222222222222","22.7777777777778"
"X.22","East Sussex","-68","-10.5714285714286","57.4285714285714","19","-44.4444444444444","23.5555555555556"
"X.23","Essex","-70","-11.6428571428571","58.3571428571429","19","-45.6666666666667","24.3333333333333"
"X.24","Gloucestershire","-68","-10.9285714285714","57.0714285714286","19","-44.2222222222222","23.7777777777778"
"X.25","Greater London","-78","-19.5","58.5","19","-56","22"
"X.26","Greater Manchester","-69","-11.3571428571429","57.6428571428571","19","-47.1111111111111","21.8888888888889"
"X.27","Hampshire","-71","-11.7857142857143","59.2142857142857","19","-46.1111111111111","24.8888888888889"
"X.28","Hartlepool","-64","-5.42857142857143","58.5714285714286","19","-37.6666666666667","26.3333333333333"
"X.29","Herefordshire","-59","-7.57142857142857","51.4285714285714","19","-36.1111111111111","22.8888888888889"
"X.30","Isle of Wight","-66","-7","59","19","-39.5555555555556","26.4444444444444"
"X.31","Kent","-68","-11.0714285714286","56.9285714285714","19","-45","23"
"X.32","Kingston upon Hull","-62","-5.64285714285714","56.3571428571429","19","-39.5555555555556","22.4444444444444"
"X.33","Lancashire","-65","-8.28571428571429","56.7142857142857","19","-41.8888888888889","23.1111111111111"
"X.34","Leicester","-66","-9.78571428571429","56.2142857142857","19","-42","24"
"X.35","Leicestershire","-69","-9.57142857142857","59.4285714285714","19","-45","24"
"X.36","Lincolnshire","-61","-6.35714285714286","54.6428571428571","19","-39.3333333333333","21.6666666666667"
"X.37","Luton","-66","-7.71428571428571","58.2857142857143","19","-39.8888888888889","26.1111111111111"
"X.38","Medway","-66","-9","57","19","-42.8888888888889","23.1111111111111"
"X.39","Merseyside","-68","-9.85714285714286","58.1428571428571","19","-45.8888888888889","22.1111111111111"
"X.40","Middlesbrough","-62","-7.21428571428571","54.7857142857143","19","-38.1111111111111","23.8888888888889"
"X.41","Milton Keynes","-71","-12.5714285714286","58.4285714285714","19","-48.3333333333333","22.6666666666667"
"X.42","Norfolk","-64","-8.35714285714286","55.6428571428571","19","-42","22"
"X.43","North East Lincolnshire","-56","-5.35714285714286","50.6428571428571","19","-34","22"
"X.44","North Lincolnshire","-59","-5.71428571428571","53.2857142857143","19","-35","24"
"X.45","North Somerset","-69","-12.7142857142857","56.2857142857143","19","-47","22"
"X.46","North Yorkshire","-66","-8.92857142857143","57.0714285714286","19","-44.8888888888889","21.1111111111111"
"X.47","Northamptonshire","-64","-9","55","19","-40.7777777777778","23.2222222222222"
"X.48","Northumberland","-65","-8.5","56.5","19","-43.3333333333333","21.6666666666667"
"X.49","Nottingham","-70","-11.7142857142857","58.2857142857143","19","-50.2222222222222","19.7777777777778"
"X.50","Nottinghamshire","-67","-9.85714285714286","57.1428571428571","19","-43.6666666666667","23.3333333333333"
"X.51","Oxfordshire","-73","-14.0714285714286","58.9285714285714","19","-50.5555555555556","22.4444444444444"
"X.52","Peterborough","-62","-7.92857142857143","54.0714285714286","19","-38.8888888888889","23.1111111111111"
"X.53","Plymouth","-69","-9.14285714285714","59.8571428571429","19","-45.7777777777778","23.2222222222222"
"X.54","Portsmouth","-68","-11.1428571428571","56.8571428571429","19","-46.1111111111111","21.8888888888889"
"X.55","Reading","-77","-17","60","19","-54.2222222222222","22.7777777777778"
"X.56","Redcar and Cleveland","-62","-5.71428571428571","56.2857142857143","19","-39.3333333333333","22.6666666666667"
"X.57","Rutland","-69","-6.91666666666667","62.0833333333333","19","-42.5555555555556","26.4444444444444"
"X.58","Shropshire","-65","-8.21428571428571","56.7857142857143","19","-41.6666666666667","23.3333333333333"
"X.59","Slough","-70","-13.9285714285714","56.0714285714286","19","-46.1111111111111","23.8888888888889"
"X.60","Somerset","-63","-9","54","19","-40.2222222222222","22.7777777777778"
"X.61","South Gloucestershire","-71","-12.1428571428571","58.8571428571429","19","-48","23"
"X.62","South Yorkshire","-66","-9","57","19","-43.2222222222222","22.7777777777778"
"X.63","Southampton","-68","-12.0714285714286","55.9285714285714","19","-47.7777777777778","20.2222222222222"
"X.64","Southend-on-Sea","-71","-13.4285714285714","57.5714285714286","19","-47.1111111111111","23.8888888888889"
"X.65","Staffordshire","-68","-9.35714285714286","58.6428571428571","19","-42.4444444444444","25.5555555555556"
"X.66","Stockton-on-Tees","-64","-6.71428571428571","57.2857142857143","19","-40.7777777777778","23.2222222222222"
"X.67","Stoke-on-Trent","-64","-7.5","56.5","19","-39.4444444444444","24.5555555555556"
"X.68","Suffolk","-65","-9.07142857142857","55.9285714285714","19","-42.5555555555556","22.4444444444444"
"X.69","Surrey","-76","-15.5","60.5","19","-52.6666666666667","23.3333333333333"
"X.70","Swindon","-70","-11.2142857142857","58.7857142857143","19","-45.2222222222222","24.7777777777778"
"X.71","Thurrock","-67","-9.85714285714286","57.1428571428571","19","-40.8888888888889","26.1111111111111"
"X.72","Torbay","-67","-9.42857142857143","57.5714285714286","19","-41.4444444444444","25.5555555555556"
"X.73","Tyne and Wear","-69","-10.7857142857143","58.2142857142857","19","-48.4444444444444","20.5555555555556"
"X.74","Warrington","-68","-9.5","58.5","19","-46.1111111111111","21.8888888888889"
"X.75","Warwickshire","-71","-11.7857142857143","59.2142857142857","19","-46.8888888888889","24.1111111111111"
"X.76","West Berkshire","-75","-15.3571428571429","59.6428571428571","19","-50.4444444444444","24.5555555555556"
"X.77","West Midlands","-70","-10.7142857142857","59.2857142857143","19","-45.1111111111111","24.8888888888889"
"X.78","West Sussex","-69","-11.5","57.5","19","-45.4444444444444","23.5555555555556"
"X.79","West Yorkshire","-69","-10.0714285714286","58.9285714285714","19","-46.2222222222222","22.7777777777778"
"X.80","Wiltshire","-70","-11.5714285714286","58.4285714285714","19","-44.6666666666667","25.3333333333333"
"X.81","Windsor and Maidenhead","-77","-16.6428571428571","60.3571428571429","19","-54.6666666666667","22.3333333333333"
"X.82","Wokingham","-80","-17.4285714285714","62.5714285714286","19","-55.8888888888889","24.1111111111111"
"X.83","Worcestershire","-69","-10.5714285714286","58.4285714285714","19","-42.8888888888889","26.1111111111111"
"X.84","York","-75","-15.8571428571429","59.1428571428571","19","-58.2222222222222","16.7777777777778"
