,Whole period,,,,,,Lockdown 1,,,,,,,Lockdown 2,,,,,,,Lockdown 3,Lockdown 3,,,,,
England,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Retail,Grocery and Pharmacy,Parks,Transit Stations,Workplaces,Residential,0,Retail,Grocery and Pharmacy,Parks,Transit Stations,Workplaces,Residential,0,Retail,Grocery and Pharmacy,Parks,Transit Stations,Workplaces,Residential,0,Retail,Grocery and Pharmacy,Parks,Transit Stations,Workplaces,Residential
Retail,1.00,,,,,,Retail,1.00,,,,,,Retail,1.00,,,,,,Retail,1.00,,,,,
Grocery and Pharmacy,0.88,1.00,,,,,Grocery and Pharmacy,0.98,1.00,,,,,Grocery and Pharmacy,0.98,1.00,,,,,Grocery and Pharmacy,0.89,1.00,,,,
Parks,0.45,0.43,1.00,,,,Parks,0.89,0.94,1.00,,,,Parks,-0.30,-0.31,1.00,,,,Parks,0.89,0.87,1.00,,,
Transit Stations,0.95,0.85,0.51,1.00,,,Transit Stations,0.98,0.99,0.94,1.00,,,Transit Stations,0.97,0.96,-0.09,1.00,,,Transit Stations,0.98,0.91,0.91,1.00,,
Workplaces,0.81,0.81,0.20,0.85,1.00,,Workplaces,0.96,0.92,0.77,0.94,1.00,,Workplaces,0.95,0.90,-0.14,0.97,1.00,,Workplaces,0.71,0.78,0.53,0.76,1.00,
Residential,-0.96,-0.88,-0.42,-0.96,-0.92,1.00,Residential,-0.99,-0.98,-0.88,-0.98,-0.98,1.00,Residential,-0.97,-0.92,0.11,-0.98,-0.99,1.00,Residential,-0.95,-0.93,-0.88,-0.99,-0.84,1.00
East of England,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,1.00,,,,,,Retail,1.00,,,,,,Retail,1.00,,,,,,Retail,1.00,,,,,
Grocery and Pharmacy,0.87,1.00,,,,,Grocery and Pharmacy,0.97,1.00,,,,,Grocery and Pharmacy,0.96,1.00,,,,,Grocery and Pharmacy,0.90,1.00,,,,
Parks,0.41,0.38,1.00,,,,Parks,0.89,0.93,1.00,,,,Parks,-0.53,-0.53,1.00,,,,Parks,0.87,0.86,1.00,,,
Transit Stations,0.93,0.82,0.36,1.00,,,Transit Stations,0.98,0.99,0.92,1.00,,,Transit Stations,0.91,0.83,-0.18,1.00,,,Transit Stations,0.98,0.91,0.85,1.00,,
Workplaces,0.81,0.80,0.15,0.86,1.00,,Workplaces,0.96,0.92,0.76,0.95,1.00,,Workplaces,0.92,0.82,-0.37,0.96,1.00,,Workplaces,0.76,0.73,0.46,0.82,1.00,
Residential,-0.96,-0.88,-0.36,-0.96,-0.91,1.00,Residential,-0.99,-0.97,-0.86,-0.99,-0.98,1.00,Residential,-0.97,-0.91,0.39,-0.97,-0.97,1.00,Residential,-0.96,-0.92,-0.81,-0.99,-0.88,1.00
East Midlands,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,1.00,,,,,,Retail,1.00,,,,,,Retail,1.00,,,,,,Retail,1.00,,,,,
