"","Retail and Recreation","Grocery and Pharmacy","Parks","Transit Stations","Workplaces","Residential"
"","England Lockdown 1","England Lockdown 1","England Lockdown 1","England Lockdown 1","England Lockdown 1","England Lockdown 1"
"Retail and Recreation","1","0.98","0.89","0.98","0.96","-0.99"
"Grocery and Pharmacy","0.98","1","0.94","0.99","0.92","-0.98"
"Parks","0.89","0.94","1","0.94","0.77","-0.88"
"Transit Stations","0.98","0.99","0.94","1","0.94","-0.98"
"Workplaces","0.96","0.92","0.77","0.94","1","-0.98"
"Residential","-0.99","-0.98","-0.88","-0.98","-0.98","1"
"","East of England Lockdown 1","East of England Lockdown 1","East of England Lockdown 1","East of England Lockdown 1","East of England Lockdown 1","East of England Lockdown 1"
"Retail and Recreation","1","0.97","0.89","0.98","0.96","-0.99"
"Grocery and Pharmacy","0.97","1","0.93","0.99","0.92","-0.97"
"Parks","0.89","0.93","1","0.92","0.76","-0.86"
"Transit Stations","0.98","0.99","0.92","1","0.95","-0.99"
"Workplaces","0.96","0.92","0.76","0.95","1","-0.98"
"Residential","-0.99","-0.97","-0.86","-0.99","-0.98","1"
"","East Midlands Lockdown 1","East Midlands Lockdown 1","East Midlands Lockdown 1","East Midlands Lockdown 1","East Midlands Lockdown 1","East Midlands Lockdown 1"
"Retail and Recreation","1","0.97","0.88","0.99","0.96","-0.99"
"Grocery and Pharmacy","0.97","1","0.93","0.98","0.91","-0.97"
"Parks","0.88","0.93","1","0.91","0.74","-0.85"
"Transit Stations","0.99","0.98","0.91","1","0.94","-0.99"
"Workplaces","0.96","0.91","0.74","0.94","1","-0.98"
"Residential","-0.99","-0.97","-0.85","-0.99","-0.98","1"
"","London Lockdown 1","London Lockdown 1","London Lockdown 1","London Lockdown 1","London Lockdown 1","London Lockdown 1"
"Retail and Recreation","1","0.97","0.83","0.99","0.97","-0.99"
"Grocery and Pharmacy","0.97","1","0.91","0.98","0.93","-0.98"
"Parks","0.83","0.91","1","0.85","0.73","-0.84"
"Transit Stations","0.99","0.98","0.85","1","0.98","-1"
"Workplaces","0.97","0.93","0.73","0.98","1","-0.98"
"Residential","-0.99","-0.98","-0.84","-1","-0.98","1"
"","North East Lockdown 1","North East Lockdown 1","North East Lockdown 1","North East Lockdown 1","North East Lockdown 1","North East Lockdown 1"
"Retail and Recreation","1","0.97","0.85","0.94","0.97","-0.99"
"Grocery and Pharmacy","0.97","1","0.92","0.98","0.94","-0.97"
"Parks","0.85","0.92","1","0.94","0.75","-0.85"
"Transit Stations","0.94","0.98","0.94","1","0.9","-0.94"
"Workplaces","0.97","0.94","0.75","0.9","1","-0.98"
"Residential","-0.99","-0.97","-0.85","-0.94","-0.98","1"
"","North West Lockdown 1","North West Lockdown 1","North West Lockdown 1","North West Lockdown 1","North West Lockdown 1","North West Lockdown 1"
"Retail and Recreation","1","0.97","0.9","0.97","0.97","-0.99"
"Grocery and Pharmacy","0.97","1","0.95","0.99","0.93","-0.98"
"Parks","0.9","0.95","1","0.96","0.81","-0.9"
"Transit Stations","0.97","0.99","0.96","1","0.93","-0.98"
"Workplaces","0.97","0.93","0.81","0.93","1","-0.98"
"Residential","-0.99","-0.98","-0.9","-0.98","-0.98","1"
"","South East Lockdown 1","South East Lockdown 1","South East Lockdown 1","South East Lockdown 1","South East Lockdown 1","South East Lockdown 1"
"Retail and Recreation","1","0.98","0.9","0.99","0.96","-0.99"
"Grocery and Pharmacy","0.98","1","0.94","0.98","0.92","-0.98"
"Parks","0.9","0.94","1","0.93","0.77","-0.88"
"Transit Stations","0.99","0.98","0.93","1","0.95","-0.99"
"Workplaces","0.96","0.92","0.77","0.95","1","-0.98"
"Residential","-0.99","-0.98","-0.88","-0.99","-0.98","1"
"","South West Lockdown 1","South West Lockdown 1","South West Lockdown 1","South West Lockdown 1","South West Lockdown 1","South West Lockdown 1"
"Retail and Recreation","1","0.98","0.9","0.98","0.96","-0.99"
"Grocery and Pharmacy","0.98","1","0.95","0.99","0.92","-0.98"
"Parks","0.9","0.95","1","0.95","0.78","-0.9"
"Transit Stations","0.98","0.99","0.95","1","0.92","-0.98"
"Workplaces","0.96","0.92","0.78","0.92","1","-0.97"
"Residential","-0.99","-0.98","-0.9","-0.98","-0.97","1"
"","West Midlands Lockdown 1","West Midlands Lockdown 1","West Midlands Lockdown 1","West Midlands Lockdown 1","West Midlands Lockdown 1","West Midlands Lockdown 1"
"Retail and Recreation","1","0.98","0.89","0.99","0.96","-0.99"
"Grocery and Pharmacy","0.98","1","0.94","0.99","0.92","-0.97"
"Parks","0.89","0.94","1","0.93","0.76","-0.86"
"Transit Stations","0.99","0.99","0.93","1","0.94","-0.98"
"Workplaces","0.96","0.92","0.76","0.94","1","-0.98"
"Residential","-0.99","-0.97","-0.86","-0.98","-0.98","1"
"","Yorkshire and the Humber Lockdown 1","Yorkshire and the Humber Lockdown 1","Yorkshire and the Humber Lockdown 1","Yorkshire and the Humber Lockdown 1","Yorkshire and the Humber Lockdown 1","Yorkshire and the Humber Lockdown 1"
"Retail and Recreation","1","0.98","0.88","0.97","0.96","-0.99"
"Grocery and Pharmacy","0.98","1","0.92","0.99","0.93","-0.98"
"Parks","0.88","0.92","1","0.94","0.74","-0.86"
"Transit Stations","0.97","0.99","0.94","1","0.91","-0.97"
"Workplaces","0.96","0.93","0.74","0.91","1","-0.98"
"Residential","-0.99","-0.98","-0.86","-0.97","-0.98","1"
