"","Retail and Recreation","Grocery and Pharmacy","Parks","Transit Stations","Workplaces","Residential"
"","England Whole period","England Whole period","England Whole period","England Whole period","England Whole period","England Whole period"
"Retail and Recreation","1","0.73","0.6","0.93","0.81","-0.96"
"Grocery and Pharmacy","0.73","1","0.49","0.72","0.84","-0.81"
"Parks","0.6","0.49","1","0.77","0.38","-0.61"
"Transit Stations","0.93","0.72","0.77","1","0.79","-0.94"
"Workplaces","0.81","0.84","0.38","0.79","1","-0.92"
"Residential","-0.96","-0.81","-0.61","-0.94","-0.92","1"
"","East of England Whole period","East of England Whole period","East of England Whole period","East of England Whole period","East of England Whole period","East of England Whole period"
"Retail and Recreation","1","0.74","0.51","0.95","0.82","-0.96"
"Grocery and Pharmacy","0.74","1","0.46","0.74","0.83","-0.8"
"Parks","0.51","0.46","1","0.63","0.32","-0.52"
"Transit Stations","0.95","0.74","0.63","1","0.81","-0.95"
"Workplaces","0.82","0.83","0.32","0.81","1","-0.92"
"Residential","-0.96","-0.8","-0.52","-0.95","-0.92","1"
"","East Midlands Whole period","East Midlands Whole period","East Midlands Whole period","East Midlands Whole period","East Midlands Whole period","East Midlands Whole period"
"Retail and Recreation","1","0.68","0.5","0.92","0.79","-0.96"
"Grocery and Pharmacy","0.68","1","0.51","0.73","0.82","-0.77"
"Parks","0.5","0.51","1","0.66","0.36","-0.54"
"Transit Stations","0.92","0.73","0.66","1","0.83","-0.96"
"Workplaces","0.79","0.82","0.36","0.83","1","-0.91"
"Residential","-0.96","-0.77","-0.54","-0.96","-0.91","1"
"","London Whole period","London Whole period","London Whole period","London Whole period","London Whole period","London Whole period"
"Retail and Recreation","1","0.65","0.34","0.96","0.88","-0.96"
"Grocery and Pharmacy","0.65","1","0.45","0.79","0.82","-0.78"
"Parks","0.34","0.45","1","0.4","0.25","-0.41"
"Transit Stations","0.96","0.79","0.4","1","0.95","-0.98"
"Workplaces","0.88","0.82","0.25","0.95","1","-0.94"
"Residential","-0.96","-0.78","-0.41","-0.98","-0.94","1"
"","North East Whole period","North East Whole period","North East Whole period","North East Whole period","North East Whole period","North East Whole period"
"Retail and Recreation","1","0.7","0.54","0.81","0.8","-0.96"
"Grocery and Pharmacy","0.7","1","0.43","0.59","0.82","-0.77"
"Parks","0.54","0.43","1","0.78","0.39","-0.55"
"Transit Stations","0.81","0.59","0.78","1","0.66","-0.8"
"Workplaces","0.8","0.82","0.39","0.66","1","-0.92"
"Residential","-0.96","-0.77","-0.55","-0.8","-0.92","1"
"","North West Whole period","North West Whole period","North West Whole period","North West Whole period","North West Whole period","North West Whole period"
"Retail and Recreation","1","0.68","0.57","0.93","0.8","-0.95"
"Grocery and Pharmacy","0.68","1","0.45","0.68","0.81","-0.78"
"Parks","0.57","0.45","1","0.75","0.36","-0.57"
"Transit Stations","0.93","0.68","0.75","1","0.78","-0.92"
"Workplaces","0.8","0.81","0.36","0.78","1","-0.92"
"Residential","-0.95","-0.78","-0.57","-0.92","-0.92","1"
"","South East Whole period","South East Whole period","South East Whole period","South East Whole period","South East Whole period","South East Whole period"
"Retail and Recreation","1","0.71","0.58","0.94","0.84","-0.96"
"Grocery and Pharmacy","0.71","1","0.45","0.73","0.84","-0.79"
"Parks","0.58","0.45","1","0.75","0.38","-0.6"
"Transit Stations","0.94","0.73","0.75","1","0.83","-0.96"
"Workplaces","0.84","0.84","0.38","0.83","1","-0.93"
"Residential","-0.96","-0.79","-0.6","-0.96","-0.93","1"
"","South West Whole period","South West Whole period","South West Whole period","South West Whole period","South West Whole period","South West Whole period"
"Retail and Recreation","1","0.81","0.57","0.92","0.79","-0.95"
"Grocery and Pharmacy","0.81","1","0.53","0.73","0.87","-0.89"
"Parks","0.57","0.53","1","0.73","0.41","-0.6"
"Transit Stations","0.92","0.73","0.73","1","0.71","-0.9"
"Workplaces","0.79","0.87","0.41","0.71","1","-0.92"
"Residential","-0.95","-0.89","-0.6","-0.9","-0.92","1"
"","West Midlands Whole period","West Midlands Whole period","West Midlands Whole period","West Midlands Whole period","West Midlands Whole period","West Midlands Whole period"
"Retail and Recreation","1","0.72","0.51","0.87","0.78","-0.95"
"Grocery and Pharmacy","0.72","1","0.43","0.63","0.82","-0.78"
"Parks","0.51","0.43","1","0.75","0.31","-0.53"
"Transit Stations","0.87","0.63","0.75","1","0.69","-0.88"
"Workplaces","0.78","0.82","0.31","0.69","1","-0.91"
"Residential","-0.95","-0.78","-0.53","-0.88","-0.91","1"
"","Yorkshire and the Humber Whole period","Yorkshire and the Humber Whole period","Yorkshire and the Humber Whole period","Yorkshire and the Humber Whole period","Yorkshire and the Humber Whole period","Yorkshire and the Humber Whole period"
"Retail and Recreation","1","0.74","0.66","0.91","0.79","-0.95"
"Grocery and Pharmacy","0.74","1","0.54","0.79","0.83","-0.83"
"Parks","0.66","0.54","1","0.82","0.42","-0.65"
"Transit Stations","0.91","0.79","0.82","1","0.8","-0.93"
"Workplaces","0.79","0.83","0.42","0.8","1","-0.91"
"Residential","-0.95","-0.83","-0.65","-0.93","-0.91","1"
