"","(Intercept)","days_since_lockdown","bank_holiday1","dayMonday","dayTuesday","dayWednesday","dayThursday","dayFriday","daySaturday"
"Bath and North East Somerset",-50.2217137123608,0.262370611542832,-4.94608686304021,5.56197719896388,7.90870743246576,6.64633682092293,11.4537785012952,6.9324223669257,3.84570394487617
"Bedford",-47.3064701907424,0.296541450379335,-6.65905181681359,12.3966338524229,12.7175394482963,14.6028161797351,17.139624351138,15.8695915368943,7.213208117046
"Blackburn with Darwen",-37.6015756980066,0.255459655373652,-6.75413889486132,4.7035634937699,6.83773493760593,5.49136619132319,7.59971229945429,5.63660912655752,0.255459655373646
"Blackpool",-42.6662366516161,0.349387228552999,-7.56514728015481,9.49480398480614,11.3271111458598,10.159542099125,13.9648283523257,11.7096323371318,4.099387228553
"Borough of Halton",-43.4536991532799,0.292057007709556,-11.4967211352397,7.70739651483041,14.2259642994431,5.66118001900629,12.709504356462,10.3335675379591,3.12539034104288
"Bracknell Forest",-42.4072088951685,0.178486961329361,-5.45070952483337,11.2299646261429,13.3586395329031,11.9983343897556,14.2021275506548,11.8487588434643,8.59515362799604
"Brighton and Hove",-47.7486459645135,0.248963356574623,-3.25870780477317,5.96082127755424,6.7901117015286,6.90478470859034,10.2468900697239,8.12437801394477,5.83229668990796
"Bristol City",-47.5115515352561,0.251282366311392,-4.0892281229843,6.26358898751933,9.91480233734588,7.57261088012539,11.5038470989342,9.85076941978683,3.58461569964472
"Buckinghamshire",-45.1613273131226,0.254891421199742,-5.80891206192217,9.54659392245396,11.1474886469511,10.8016881348423,13.3480075969326,11.0612681860532,5.92155808786641
"Cambridgeshire",-47.0512306621208,0.238182264950702,-6.39926897441411,10.8283625641183,13.0693946095473,12.285757799142,14.2145467948521,13.3762426923038,5.82151559828403
"Central Bedfordshire",-44.254046748779,0.301302331295881,-5.3690604171146,11.5935410715566,14.5655898605802,13.991560256557,16.1539069938877,14.1641147321109,7.38463566462922
"Cheshire East",-47.0277846034135,0.311914488435667,-7.3799182971404,8.16807189442108,11.0057505205323,11.1483814866421,13.2690767986403,9.9371486930614,6.895247821769
"Cheshire West and Chester",-48.8936199076491,0.320729796971465,-8.20586970543969,10.8802484872685,13.518973483336,13.2891527772736,15.5455227242477,11.0091045448495,7.32072979697146
