"","(Intercept)","days_since_lockdown","bank_holiday1","dayMonday","dayTuesday","dayWednesday","dayThursday","dayFriday","daySaturday"
"Bath and North East Somerset",-53.6862499900278,1.22938754996051,7.72214776344443,10.7820186040575,23.2380207188802,9.00863316891963,14.1048293165482,-2.16158286065303,-28.2706124500395
"Bedford",-29.0636361622256,0.889083602302626,5.8596407861739,-7.04213908535852,-49.2761227137611,-9.23350857540568,6.72365823364854,9.11037096147538,-8.86091639769736
"Blackburn with Darwen",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blackpool",-55.361629161529,1.62517981915331,5.82575524044391,-16.0847718865598,7.75443639539661,0.448321259761611,5.32101572133167,8.15817663378541,-20.7081535141801
"Borough of Halton",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bracknell Forest",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brighton and Hove",-53.5418097837411,1.507031561054,7.74301433955722,29.248199561417,36.7150927961265,24.4807885077997,38.021094683162,5.30689406551513,-20.1596351056127
"Bristol City",-23.2660641336732,1.59074853334152,45.8622876800688,16.348870186647,21.2724864363759,-17.5909893696929,12.2722456000246,-11.2122175466618,-24.4925847999918
"Buckinghamshire",-25.1721851931484,1.18286390023651,38.8360567619867,-1.98887336056765,-4.41509808903919,-11.5979619892757,-0.201408299290476,-14.7736149931915,-12.5671360997635
"Cambridgeshire",-42.8119503230232,1.09988635316522,26.9390453665878,10.9936060857368,17.2710416509599,7.3529734796129,8.882992392829,2.95993181189912,-6.1501136468348
"Central Bedfordshire",-25.4481187060769,1.0690309728372,-1.15679233421597,15.5733245158311,20.8686979744073,8.98148518338832,22.4570929185116,18.9975273347104,-5.34763569382944
"Cheshire East",-78.4935088204277,1.36932149768099,22.0523005805203,41.871961738899,49.4479216404608,32.3513274155071,44.357964493043,34.3965928986086,2.53598816434763
"Cheshire West and Chester",-62.726976277503,1.24844119544184,29.6369060417115,26.1454077976062,30.6075102780112,16.8136145371148,22.9119902529922,9.14073138393174,-9.66822547122485
"Cornwall",-56.1358770771263,1.11773197776208,24.8889486132015,24.817443253371,23.9720525120976,2.30886598888104,19.6865292666196,-8.32936081334277,-13.6322680222379
"County Durham",-48.0388318948306,1.14551402156218,34.9723177811224,29.0257663482508,23.4909983050705,12.2545751925993,21.9365420646866,2.21230841293729,-7.35448597843784
"Cumbria",-52.467649046288,1.01729274810333,12.2952590840679,0.35016407121867,9.13957548579134,-3.42317180776652,6.05187824430999,-12.6812910178047,-16.81604058523
"Darlington",NA,NA,NA,NA,NA,NA,NA,NA,NA
