"","(Intercept)","days_since_lockdown","dayMonday","dayTuesday","dayWednesday","dayThursday","dayFriday","daySaturday"
"Bath and North East Somerset",-29.6285714285714,0.342857142857143,2.40714285714286,5.06428571428571,4.97142857142857,5.77857142857143,6.18571428571429,-0.407142857142858
"Bedford",-21.6224489795918,0.397959183673469,1.60204081632653,2.20408163265306,4.05612244897959,4.19387755102041,6.54591836734694,0.397959183673469
"Blackburn with Darwen",-14.315306122449,0.412244897959184,-4.66224489795918,-1.32448979591836,-3.23673469387755,-2.01326530612244,-0.925510204081628,-8.08775510204081
"Blackpool",-21.0571428571429,0.485714285714286,5.01428571428572,6.52857142857143,5.04285714285714,9.20714285714287,7.47142857142857,0.235714285714287
"Borough of Halton",-13.4061224489796,0.344897959183673,-2.09489795918367,4.31020408163265,-2.78469387755102,3.53469387755102,4.68979591836735,-3.65510204081633
"Bracknell Forest",-18.469387755102,0.275510204081633,3.22448979591837,3.19897959183673,2.9234693877551,3.5765306122449,4.05102040816326,2.02551020408163
"Brighton and Hove",-23.9224489795918,0.197959183673469,3.80204081632653,5.60408163265306,5.65612244897959,6.84387755102042,7.39591836734694,6.19795918367347
"Bristol City",-23.5857142857143,0.228571428571428,1.02142857142857,5.04285714285714,2.81428571428571,5.4357142857143,6.70714285714285,0.478571428571428
"Buckinghamshire",-25.1622448979592,0.289795918367347,4.46020408163265,5.1704081632653,3.88061224489796,5.61938775510205,8.07959183673469,2.53979591836735
"Cambridgeshire",-21.7132653061224,0.330612244897959,1.16938775510204,4.08877551020408,2.50816326530612,5.99183673469389,5.66122448979592,2.33061224489796
"Central Bedfordshire",-16.7428571428571,0.314285714285714,2.93571428571428,6.12142857142857,3.80714285714286,5.44285714285715,7.87857142857143,3.31428571428571
"Cheshire East",-20.6836734693878,0.346938775510204,1.65306122448979,5.55612244897959,3.70918367346939,3.04081632653062,6.69387755102041,2.8469387755102
"Cheshire West and Chester",-22.4826530612245,0.406122448979592,3.84387755102041,6.93775510204081,6.53163265306122,8.46836734693878,7.31224489795918,1.65612244897959
"Cornwall",-23.6989795918367,0.459183673469388,3.04081632653061,6.58163265306122,4.37244897959184,6.37755102040816,5.66836734693877,1.20918367346939
"County Durham",-16.5142857142857,0.371428571428571,4.87857142857142,5.75714285714286,3.63571428571428,4.11428571428572,8.74285714285714,6.87142857142857
"Cumbria",-24.3857142857143,0.528571428571429,2.72142857142857,8.19285714285714,4.41428571428571,8.83571428571429,7.80714285714286,1.52857142857143
"Darlington",-23.7030612244898,0.422448979591837,4.57755102040816,7.15510204081632,6.48265306122449,5.51734693877551,8.59489795918367,4.42244897959184
