"","(Intercept)","days_since_lockdown","dayMonday","dayTuesday","dayWednesday","dayThursday","dayFriday","daySaturday"
"Bath and North East Somerset",4.15408163265305,0.136734693877551,0.113265306122475,9.97653061224491,-11.4102040816326,13.6602040816327,-12.2265306122449,-36.8632653061224
"Bedford",2.07182985553772,-0.0979133226324236,-1.43298555377208,9.94582664526484,NA,-4.54373996789727,4.30417335473515,-12.8479133226324
"Blackburn with Darwen",NA,NA,NA,NA,NA,NA,NA,NA
"Blackpool",-32.25,-0.5,8.49999999999998,28,11.5,14,NA,-5.50000000000002
"Borough of Halton",27.8571428571429,-3.02857142857143,NA,NA,38.9142857142857,NA,NA,NA
"Bracknell Forest",14.1321428571429,0.564285714285714,NA,NA,NA,NA,NA,-9.18571428571429
"Brighton and Hove",4.93163265306123,-0.365306122448979,18.115306122449,20.480612244898,5.09591836734693,30.6540816326531,1.26938775510204,-9.86530612244899
"Bristol City",40.6714285714285,0.0428571428571431,-15.2928571428571,-3.08571428571426,-40.8785714285714,6.37857142857144,-22.1642857142857,-35.4571428571428
"Buckinghamshire",8.03061224489796,-0.224489795918367,-1.77551020408162,-0.801020408163261,-10.3265306122449,1.8265306122449,-7.69897959183673,-11.7244897959184
"Cambridgeshire",21.9214285714286,-0.457142857142857,-10.7928571428571,-1.58571428571428,-8.87857142857143,-8.62142857142857,-15.4142857142857,-15.9571428571429
"Central Bedfordshire",30.8724489795918,-0.397959183673469,-5.35204081632652,-1.70408163265305,-19.0561224489796,1.30612244897959,-8.29591836734692,-12.6479591836735
"Cheshire East",18.1,-0.6,-2.39999999999999,20.95,-5.19999999999999,20.95,16.05,-13.85
"Cheshire West and Chester",2.72142857142856,-0.257142857142857,-4.74285714285712,11.5142857142857,-9.47857142857142,3.72857142857144,-2.5142857142857,-25.2571428571428
"Cornwall",6.69489795918367,-0.495918367346938,7.74591836734695,20.7418367346939,-9.76224489795919,33.5122448979592,-4.24183673469387,-20.7459183673469
"County Durham",12.4755102040816,-0.220408163265306,-1.52959183673469,-1.55918367346938,-7.08877551020408,5.58877551020408,-4.19081632653061,-6.7204081632653
"Cumbria",-8.91530612244898,0.0122448979591836,-3.51224489795918,9.47551020408164,-4.03673469387755,18.5367346938776,-6.22551020408163,-0.98775510204081
"Darlington",NA,NA,NA,NA,NA,NA,NA,NA
"Derby",11.5357142857143,0.0714285714285711,NA,41.6071428571429,2.78571428571428,42.7142857142857,35.3928571428571,6.07142857142857
"Derbyshire",19.6275510204081,-0.10204081632653,-4.89795918367345,20.7040816326531,-21.9438775510204,4.44387755102041,-11.954081632653,-32.1020408163265
"Devon",20.5979591836735,-0.118367346938775,-5.13163265306121,12.7367346938776,-21.8948979591837,16.8948979591837,-4.98673469387754,-27.1183673469388
"Dorset",8.1285714285714,-0.342857142857143,27.5928571428572,29.9357142857143,-7.22142857142856,37.9714285714286,6.06428571428573,-11.8428571428571
"East Riding of Yorkshire",15.7724489795918,-0.797959183673469,5.54795918367348,17.5959183673469,3.64387755102041,16.3561224489796,-8.84591836734693,-12.5479591836735
"East Sussex",16.0408163265306,-0.632653061224489,8.63265306122448,14.515306122449,6.89795918367346,21.1020408163265,-2.76530612244898,5.61734693877551
"Essex",37.8081632653061,-0.726530612244898,-12.5234693877551,-10.5469387755102,-12.8204081632653,-11.6795918367347,-10.4530612244898,-17.4765306122449
"Gloucestershire",2.21632653061224,-0.0530612244897958,7.30306122448981,12.1061224489796,-0.590816326530608,18.0908163265306,-0.106122448979583,-16.8030612244898
"Greater London",8.27653061224489,-0.261224489795918,-5.98877551020407,-5.47755102040816,-13.4663265306122,-10.7836734693878,-19.5224489795918,-23.5112244897959
"Greater Manchester",12.6551020408163,-0.604081632653061,-23.1459183673469,-5.29183673469386,-25.4377551020408,-12.3122448979592,-15.4581632653061,-31.854081632653
"Hampshire",16.8132653061224,0.0693877551020409,-0.0693877551020278,3.86122448979593,-18.2081632653061,14.2081632653061,-12.6112244897959,-10.930612244898
"Hartlepool",NA,NA,NA,NA,NA,NA,NA,NA
"Herefordshire",-7.18469387755103,0.0877551020408164,5.4122448979592,4.57448979591837,-2.01326530612245,5.51326530612245,1.17551020408164,-13.4122448979592
"Isle of Wight",-4.11632653061225,-0.546938775510204,15.2969387755102,20.5938775510204,2.64081632653061,23.8591836734694,2.65612244897959,-7.04693877551021
"Kent",14.2316326530612,-0.66530612244898,0.165306122448984,2.83061224489796,-0.00408163265306006,5.50408163265307,0.169387755102045,-4.41530612244898
"Kingston upon Hull",34.3255102040816,-0.320408163265306,-44.9295918367347,-25.8591836734694,-45.0387755102041,-42.2112244897959,-43.3908163265306,-52.8204081632653
"Lancashire",31.4581632653061,-0.626530612244898,-13.1234693877551,14.2530612244898,-14.1204081632653,4.37040816326531,-9.00306122448978,-13.6265306122449
"Leicester",29.9734693877551,-0.238775510204081,-8.2612244897959,-1.77244897959183,-17.0336734693878,-3.46632653061225,-12.9775510204082,-28.9887755102041
"Leicestershire",11.6744897959184,-0.179591836734694,2.92959183673471,13.8591836734694,-5.71122448979592,15.7112244897959,6.39081632653062,-12.9295918367347
"Lincolnshire",5.30204081632652,-0.281632653061224,-3.46836734693877,8.56326530612245,-2.65510204081632,9.65510204081633,-3.56326530612244,-11.5316326530612
"Luton",NA,NA,NA,NA,NA,NA,NA,NA
"Medway",-0.684693877551015,-0.412244897959184,12.6622448979592,20.3244897959184,12.9867346938775,1.26326530612245,22.6755102040816,3.83775510204081
"Merseyside",0.696938775510197,-0.477551020408163,-10.0224489795918,4.45510204081634,-11.5673469387755,-1.93265306122448,-2.20510204081632,-14.4775510204082
"Middlesbrough",14.0285714285714,-0.242857142857143,NA,NA,NA,NA,NA,-7.74285714285714
"Milton Keynes",18.5734693877551,-0.338775510204082,-21.6612244897959,-21.5724489795918,-29.7336734693877,-12.0163265306122,-25.4275510204081,-23.5887755102041
"Norfolk",8.95918367346938,-0.86734693877551,1.36734693877552,13.734693877551,5.85204081632653,6.89795918367347,1.51530612244899,-22.8673469387755
"North East Lincolnshire",6.07346938775509,-0.838775510204081,-4.9112244897959,16.4275510204082,-4.23367346938775,8.48367346938776,-6.67755102040815,-20.5887755102041
"North Lincolnshire",4.33673469387754,-0.46938775510204,-15.780612244898,-3.81122448979592,-20.0918367346939,-7.65816326530613,-14.6887755102041,-19.969387755102
"North Somerset",23.119387755102,-0.675510204081632,-8.82448979591835,15.6010204081633,-15.7234693877551,27.4734693877551,-11.1010204081632,-30.1755102040816
"North Yorkshire",-8.36326530612246,-0.26938775510204,2.51938775510205,19.0387755102041,0.308163265306125,13.9418367346939,-3.78877551020407,-22.519387755102
"Northamptonshire",-16.1581632653061,-0.173469387755102,-6.82653061224489,1.59693877551021,-8.72959183673469,-0.0204081632653039,-6.0969387755102,-14.1734693877551
"Northumberland",3.43163265306122,-0.86530612244898,11.865306122449,21.480612244898,5.84591836734694,24.6540816326531,3.01938775510205,-2.61530612244898
"Nottingham",41.7418367346939,-0.073469387755102,-20.6765306122449,-6.60306122448978,-27.0295918367347,-4.22040816326531,-28.1469387755102,-24.0734693877551
"Nottinghamshire",8.85714285714285,-0.285714285714286,-4.2142857142857,12.3214285714286,-9.89285714285714,11.1428571428571,-2.07142857142856,-11.7857142857143
"Oxfordshire",-1.58877551020408,-0.0489795918367347,-2.70102040816326,5.09795918367347,-10.6030612244898,7.8530612244898,-6.84795918367346,-18.0489795918367
"Peterborough",NA,NA,NA,NA,NA,NA,NA,NA
"Plymouth",0.978571428571421,0.557142857142857,1.19285714285715,-4.61428571428571,-20.1714285714286,22.1714285714286,-4.13571428571428,-8.69285714285714
"Portsmouth",1.78928571428571,-0.264285714285714,7.29285714285714,NA,NA,11.4857142857143,NA,0.0142857142857151
"Reading",27.4242857142857,-0.0314285714285716,NA,NA,-22.6557142857143,0.40571428571428,-14.0628571428571,-28.0314285714286
"Redcar and Cleveland",-17.0428571428571,0.114285714285714,NA,NA,3.90714285714286,NA,9.22857142857143,1.86428571428571
"Rutland",NA,NA,NA,NA,NA,NA,NA,NA
"Shropshire",-2.6622448979592,-0.210204081632653,12.9602040816327,19.4204081632653,2.88061224489796,17.6193877551021,4.82959183673471,-20.4602040816327
"Slough",11.962962962963,-0.518518518518518,8.87037037037038,14.0740740740741,1.3425925925926,10.7314814814815,NA,-1.48148148148147
"Somerset",-6.65306122448981,0.122448979591837,4.37755102040818,17.2551020408163,-1.1173469387755,14.3673469387755,-0.00510204081631348,-16.3775510204081
"South Gloucestershire",38.115306122449,-0.212244897959183,1.9622448979592,15.6744897959184,-18.3632653061224,14.3632653061224,-8.92448979591836,-13.9622448979592
"South Yorkshire",15.4142857142857,-0.271428571428571,-7.97857142857141,10.0428571428571,-12.6857142857143,-0.814285714285714,-12.7928571428571,-27.2714285714286
"Southampton",-15.0683673469388,0.134693877551021,20.115306122449,23.230612244898,2.09591836734694,27.4040816326531,10.269387755102,-9.86530612244898
"Southend-on-Sea",55.3083791208791,-1.15247252747253,0.902472527472533,8.05494505494504,-5.79258241758242,-3.52953296703296,-4.55494505494506,-19.1524725274725
"Staffordshire",5.70918367346938,-0.36734693877551,-4.38265306122447,12.734693877551,-5.89795918367346,10.1479591836735,1.51530612244899,-14.3673469387755
