"","(Intercept)","days_since_lockdown","dayMonday","dayTuesday","dayWednesday","dayThursday","dayFriday","daySaturday"
"Bath and North East Somerset",13.9071428571428,-0.0857142857142855,5.58571428571428,5.17142857142857,6.50714285714286,5.74285714285714,7.32857142857143,2.91428571428571
"Bedford",10.4663265306122,-0.0530612244897956,5.05306122448979,5.10612244897959,5.65918367346938,5.5908163265306,6.14387755102041,2.6969387755102
"Blackburn with Darwen",9.24387755102041,-0.0551020408163264,3.05510204081633,3.61020408163265,3.91530612244898,4.08469387755102,5.13979591836735,2.44489795918367
"Blackpool",10.0469387755102,-0.0775510204081634,2.57755102040816,2.65510204081632,2.48265306122449,3.01734693877551,3.59489795918367,1.67244897959184
"Borough of Halton",9.21632653061224,-0.0530612244897958,4.30306122448979,4.35612244897959,4.15918367346938,5.09081632653061,6.14387755102041,2.4469387755102
"Bracknell Forest",19.4345238095238,-0.0595238095238095,-1.07142857142857,0.238095238095238,0.547619047619048,0.44047619047619,NA,-5.19047619047619
"Brighton and Hove",12.5765306122449,-0.0612244897959182,6.56122448979592,7.12244897959183,6.68367346938775,6.81632653061224,8.12755102040816,2.93877551020408
"Bristol City",13.6295918367347,-0.0836734693877549,7.83367346938776,8.16734693877551,8.75102040816326,8.24897959183673,9.83265306122449,2.91632653061224
"Buckinghamshire",11.854081632653,-0.0632653061224488,6.31326530612245,6.87653061224489,7.18979591836734,7.31020408163264,7.6234693877551,2.93673469387755
"Cambridgeshire",11.6887755102041,-0.051020408163265,6.30102040816326,6.85204081632653,6.65306122448979,6.84693877551019,7.89795918367347,2.69897959183673
"Central Bedfordshire",11.1887755102041,-0.0510204081632651,5.05102040816326,5.60204081632653,5.90306122448979,5.8469387755102,6.39795918367347,2.44897959183673
"Cheshire East",10.6867346938775,-0.0693877551020406,5.81938775510204,6.13877551020408,6.20816326530612,6.79183673469387,6.86122448979591,3.43061224489796
"Cheshire West and Chester",11.269387755102,-0.0755102040816324,4.82551020408163,4.90102040816326,5.2265306122449,6.02346938775509,6.34897959183673,3.17448979591837
"Cornwall",10.3224489795918,-0.0979591836734694,2.09795918367347,2.69591836734694,2.54387755102041,2.20612244897959,3.30408163265306,3.15204081632653
"County Durham",9.88367346938775,-0.0469387755102041,3.7969387755102,3.59387755102041,3.89081632653061,3.85918367346939,5.40612244897959,2.45306122448979
"Cumbria",11.019387755102,-0.0755102040816326,2.57551020408163,2.65102040816326,2.9765306122449,2.7734693877551,4.59897959183674,2.17448979591837
"Darlington",9.76938775510203,-0.0755102040816325,4.32551020408163,5.15102040816326,4.9765306122449,4.7734693877551,6.84897959183673,3.42448979591837
"Derby",10.769387755102,-0.0755102040816324,4.57551020408163,4.15102040816326,4.4765306122449,4.77346938775509,6.34897959183674,2.67448979591837
"Derbyshire",10.3816326530612,-0.0653061224489794,4.81530612244898,4.63061224489796,4.94591836734694,5.05408163265305,6.11938775510204,3.93469387755102
"Devon",11.019387755102,-0.0755102040816326,2.82551020408163,2.90102040816326,3.9765306122449,3.5234693877551,4.34897959183673,3.17448979591837
"Dorset",11.1571428571428,-0.0857142857142854,3.33571428571428,4.17142857142857,4.25714285714285,4.24285714285713,5.32857142857143,2.66428571428571
"East Riding of Yorkshire",10.2438775510204,-0.0551020408163264,4.05510204081633,4.61020408163265,4.91530612244898,4.58469387755101,6.13979591836735,3.44489795918367
"East Sussex",10.3836734693877,-0.046938775510204,3.5469387755102,4.09387755102041,3.64081632653061,4.60918367346938,5.15612244897959,2.4530612244898
"Essex",10.5234693877551,-0.0387755102040814,5.28877551020408,5.32755102040816,5.36632653061224,5.88367346938775,6.67244897959184,2.71122448979592
"Gloucestershire",11.4938775510204,-0.0551020408163263,4.05510204081632,5.11020408163265,4.91530612244898,5.08469387755101,6.13979591836734,2.69489795918367
"Greater London",12.2714285714286,-0.057142857142857,8.30714285714286,8.36428571428571,8.67142857142857,9.57857142857143,9.88571428571429,3.19285714285714
"Greater Manchester",10.4663265306122,-0.0530612244897957,5.30306122448979,5.10612244897959,5.90918367346938,6.0908163265306,6.89387755102041,2.9469387755102
"Hampshire",11.2142857142857,-0.0714285714285712,6.07142857142857,6.64285714285714,6.71428571428571,6.53571428571428,7.35714285714286,3.67857142857143
"Hartlepool",13.9619047619048,-0.0619047619047619,-1.81428571428571,-1.50238095238095,-1.44047619047619,-2.06190476190476,NA,-1.43809523809524
"Herefordshire",10.6591836734694,-0.0673469387755102,1.81734693877551,2.13469387755102,2.45204081632653,2.54795918367347,3.86530612244898,2.68265306122449
"Isle of Wight",9.82448979591837,-0.079591836734694,2.32959183673469,2.40918367346939,2.23877551020408,2.51122448979592,3.59081632653061,2.42040816326531
"Kent",10.165306122449,-0.0122448979591834,5.01224489795918,5.02448979591837,5.28673469387755,5.46326530612244,6.47551020408163,2.73775510204082
"Kingston upon Hull",9.43673469387755,-0.0693877551020407,3.81938775510204,3.88877551020408,4.45816326530612,4.04183673469387,5.61122448979592,3.18061224489796
"Lancashire",9.96632653061224,-0.0530612244897958,4.05306122448979,4.60612244897959,4.90918367346939,4.84081632653061,5.39387755102041,2.9469387755102
"Leicester",9.2734693877551,-0.0387755102040816,4.53877551020408,4.07755102040816,4.61632653061224,4.63367346938775,5.42244897959183,2.21122448979592
"Leicestershire",10.5765306122449,-0.0612244897959182,5.06122448979592,6.12244897959183,6.43367346938775,6.06632653061224,6.87755102040816,3.68877551020408
"Lincolnshire",9.99591836734694,-0.036734693877551,2.53673469387755,2.5734693877551,3.11020408163265,2.88979591836735,4.1765306122449,2.71326530612245
"Luton",9.99387755102041,-0.0551020408163265,3.55510204081633,3.61020408163265,3.41530612244898,3.83469387755102,4.13979591836735,1.44489795918367
"Medway",9.69693877551019,0.022448979591837,4.47755102040816,4.95510204081632,4.93265306122449,5.5673469387755,6.54489795918367,2.27244897959183
"Merseyside",10.7142857142857,-0.0714285714285712,3.82142857142857,4.14285714285714,4.21428571428571,4.78571428571428,5.35714285714286,2.17857142857143
"Middlesbrough",9.68673469387756,-0.0693877551020409,2.81938775510204,2.38877551020408,2.70816326530612,3.04183673469388,4.11122448979592,2.18061224489796
"Milton Keynes",10.3540816326531,-0.0632653061224488,6.31326530612245,6.87653061224489,6.93979591836735,7.31020408163265,7.8734693877551,2.43673469387755
"Norfolk",10.1336734693877,-0.046938775510204,3.5469387755102,3.34387755102041,2.89081632653061,3.85918367346939,5.15612244897959,2.4530612244898
"North East Lincolnshire",8.96632653061225,-0.053061224489796,2.30306122448979,2.60612244897959,2.65918367346939,3.09081632653061,4.39387755102041,2.1969387755102
"North Lincolnshire",9.27142857142858,-0.0571428571428573,2.30714285714285,3.36428571428571,2.92142857142857,3.32857142857143,4.38571428571428,2.69285714285714
"North Somerset",11.1336734693878,-0.0469387755102039,5.2969387755102,5.5938775510204,6.39081632653061,5.85918367346938,6.90612244897959,3.70306122448979
"North Yorkshire",11.0765306122449,-0.0612244897959181,3.56122448979592,3.62244897959183,4.43367346938775,4.31632653061223,5.62755102040816,3.18877551020408
"Northamptonshire",10.0744897959184,-0.0795918367346937,4.32959183673469,4.40918367346938,4.48877551020408,5.01122448979591,5.59081632653061,2.4204081632653
"Northumberland",10.1612244897959,-0.0489795918367346,3.29897959183673,3.34795918367347,3.6469387755102,4.35306122448979,5.15204081632653,2.70102040816326
"Nottingham",10.7989795918367,-0.0591836734693874,4.30918367346939,3.86836734693877,4.42755102040816,4.57244897959182,5.63163265306122,2.44081632653061
"Nottinghamshire",10.2989795918367,-0.0591836734693874,4.30918367346939,4.36836734693877,4.92755102040816,5.07244897959183,6.13163265306122,2.94081632653061
"Oxfordshire",12.354081632653,-0.0632653061224487,6.06326530612245,6.37653061224489,6.68979591836735,6.81020408163264,8.1234693877551,3.18673469387755
"Peterborough",8.60408163265306,-0.063265306122449,4.06326530612245,4.1265306122449,4.68979591836735,4.56020408163265,5.6234693877551,2.43673469387755
"Plymouth",11.35,-0.0999999999999999,2.35,3.45,3.05,2.45,4.3,2.65
"Portsmouth",11.0469387755102,-0.077551020408163,5.07755102040816,5.15510204081632,5.23265306122449,5.5173469387755,6.59489795918367,3.42244897959184
"Reading",11.5214285714286,-0.0571428571428571,9.05714285714286,10.1142857142857,9.42142857142857,9.82857142857143,10.1357142857143,3.19285714285714
"Redcar and Cleveland",9.5765306122449,-0.0612244897959184,3.06122448979592,3.12244897959184,3.43367346938775,3.06632653061224,4.87755102040816,2.68877551020408
"Rutland",NA,NA,NA,NA,NA,NA,NA,NA
"Shropshire",10.5765306122449,-0.0612244897959182,3.06122448979592,3.62244897959184,3.93367346938775,4.31632653061224,4.87755102040816,2.93877551020408
"Slough",11.5214285714286,-0.0571428571428569,4.55714285714285,5.11428571428571,4.92142857142857,5.07857142857142,5.63571428571428,1.94285714285714
"Somerset",10.2438775510204,-0.0551020408163264,3.05510204081632,3.36020408163265,3.91530612244898,4.08469387755101,4.63979591836735,3.19489795918367
"South Gloucestershire",11.8795918367347,-0.0836734693877549,6.83367346938775,7.66734693877551,8.50102040816326,7.74897959183673,8.58265306122449,3.66632653061224
"South Yorkshire",10.3540816326531,-0.0632653061224488,4.06326530612245,4.37653061224489,4.68979591836734,5.06020408163265,6.1234693877551,2.93673469387755
"Southampton",11.7948979591837,-0.0959183673469385,4.59591836734694,4.94183673469387,5.03775510204081,4.96224489795917,6.05816326530612,2.65408163265306
"Southend-on-Sea",10.0765306122449,-0.0612244897959181,6.06122448979592,6.37244897959183,5.68367346938775,6.56632653061224,7.37755102040816,3.18877551020408
"Staffordshire",10.2163265306122,-0.0530612244897957,4.3030612244898,4.85612244897959,4.90918367346939,5.3408163265306,6.14387755102041,3.4469387755102
"Stockton-on-Tees",9.8265306122449,-0.0612244897959182,3.81122448979592,4.12244897959184,3.93367346938775,4.06632653061224,5.62755102040816,3.43877551020408
"Stoke-on-Trent",9.38367346938776,-0.0469387755102041,3.2969387755102,3.09387755102041,3.39081632653061,3.60918367346939,4.90612244897959,3.2030612244898
"Suffolk",10.5214285714286,-0.0571428571428571,2.80714285714286,3.36428571428571,3.67142857142857,4.07857142857143,5.13571428571428,2.69285714285714
"Surrey",12.3265306122449,-0.0612244897959181,7.31122448979592,7.87244897959183,7.93367346938775,8.56632653061224,8.12755102040816,3.18877551020408
"Swindon",10.269387755102,-0.0755102040816323,5.57551020408163,5.90102040816326,5.9765306122449,6.27346938775509,7.09897959183673,3.17448979591836
"Thurrock",10.2714285714286,-0.0571428571428571,3.80714285714286,4.36428571428571,3.67142857142857,4.57857142857143,5.63571428571428,1.94285714285714
"Torbay",10.8775510204082,-0.102040816326531,2.10204081632653,2.45408163265306,2.80612244897959,1.94387755102041,4.04591836734694,3.14795918367347
"Tyne and Wear",10.2163265306122,-0.0530612244897956,5.0530612244898,5.35612244897959,4.90918367346939,5.3408163265306,6.89387755102041,2.9469387755102
"Warrington",10.3520408163265,-0.0816326530612242,5.58163265306122,6.66326530612244,6.49489795918367,6.75510204081632,7.33673469387755,3.41836734693877
"Warwickshire",11.2438775510204,-0.0551020408163264,5.30510204081632,6.11020408163265,6.41530612244897,6.08469387755101,7.13979591836734,2.69489795918367
"West Berkshire",11.3265306122449,-0.0612244897959182,8.06122448979592,8.37244897959183,8.43367346938775,8.31632653061224,8.12755102040816,3.18877551020408
"West Midlands",10.2163265306122,-0.0530612244897957,4.30306122448979,4.60612244897959,4.90918367346939,4.8408163265306,5.89387755102041,2.9469387755102
"West Sussex",11.019387755102,-0.0755102040816324,5.32551020408163,5.40102040816326,5.72653061224489,5.77346938775509,6.59897959183673,2.92448979591836
