"","(Intercept)","days_since_lockdown","dayMonday","dayTuesday","dayWednesday","dayThursday","dayFriday","daySaturday"
"Bath and North East Somerset",-77.8091836734693,0.467346938775509,6.7826530612245,7.31530612244898,9.34795918367347,7.40204081632658,3.18469387755102,-3.78265306122449
"Bedford",-59.1693877551021,0.475510204081633,11.2744897959184,10.0489795918367,14.0734693877551,9.42653061224489,6.45102040816326,-0.774489795918372
"Blackburn with Darwen",-60.7051020408163,0.404081632653061,10.3459183673469,10.6918367346939,11.5377551020408,7.9622448979592,4.55816326530612,-2.84591836734694
"Blackpool",-72.2285714285714,0.442857142857142,16.0571428571429,16.3642857142857,19.6714285714286,15.0785714285715,10.3857142857143,-1.05714285714286
"Borough of Halton",-52.4897959183674,0.591836734693877,6.15816326530613,6.31632653061224,7.47448979591837,4.52551020408164,4.18367346938775,-3.15816326530612
"Bracknell Forest",-68.2224489795918,0.497959183673469,13.0020408163265,9.75408163265306,15.2561224489796,10.4938775510204,7.49591836734693,0.497959183673465
"Brighton and Hove",-72.5336734693877,0.446938775510203,10.5530612244898,8.10612244897959,11.4091836734694,8.34081632653067,4.3938775510204,-0.0530612244898031
"Bristol City",-71.0163265306122,0.353061224489794,7.39693877551021,8.04387755102041,6.19081632653062,6.05918367346945,2.95612244897959,-5.14693877551021
"Buckinghamshire",-64.7285714285714,0.442857142857143,13.5571428571429,11.1142857142857,14.9214285714286,11.5785714285714,8.88571428571428,0.942857142857139
"Cambridgeshire",-70.0183673469387,0.33469387755102,10.665306122449,9.33061224489796,11.7459183673469,9.0040816326531,6.41938775510204,-0.665306122448982
"Central Bedfordshire",-55.9744897959184,0.479591836734694,13.7704081632653,8.29081632653061,11.0612244897959,8.43877551020408,5.70918367346939,0.479591836734691
"Cheshire East",-60.3387755102041,0.451020408163265,10.2989795918367,8.84795918367347,10.6469387755102,7.3530612244898,4.90204081632653,-2.54897959183674
"Cheshire West and Chester",-72.5591836734693,0.467346938775509,12.2826530612245,12.565306122449,16.3479591836735,10.9020408163266,7.18469387755102,-1.78265306122449
"Cornwall",-61.5602040816326,0.708163265306122,12.7918367346939,12.8336734693877,13.1255102040816,11.6244897959184,6.91632653061224,-1.54183673469388
"County Durham",-57.8071428571429,0.485714285714286,13.5142857142857,10.7785714285714,13.2928571428571,10.9571428571429,8.47142857142857,2.73571428571428
"Cumbria",-63.6295918367347,0.583673469387755,14.1663265306123,13.5826530612245,15.2489795918367,13.2510204081633,7.66734693877551,-0.166326530612242
"Darlington",-64.245918367347,0.536734693877551,15.2132653061225,13.4265306122449,15.8897959183673,13.6102040816326,8.8234693877551,-0.213265306122451
"Derby",-65.6122448979592,0.489795918367346,14.5102040816327,11.5204081632653,13.780612244898,11.4693877551021,8.97959183673469,-1.76020408163266
"Derbyshire",-65.6438775510204,0.455102040816326,11.0448979591837,10.3397959183673,11.884693877551,8.86530612244901,7.66020408163265,-2.54489795918368
"Devon",-66.6530612244898,0.622448979591837,13.3775510204082,12.2551020408163,12.6326530612245,12.3673469387755,7.49489795918367,-2.62755102040816
"Dorset",-68.4071428571428,0.585714285714285,11.9142857142857,9.57857142857143,11.9928571428571,12.2571428571429,7.92142857142857,0.0857142857142831
"East Riding of Yorkshire",-64.2836734693878,0.446938775510204,14.0530612244898,12.6061224489796,13.6591836734694,10.5908163265306,8.64387755102041,-0.553061224489797
"East Sussex",-63.2755102040817,0.520408163265306,14.7295918367347,12.2091836734694,16.1887755102041,12.8112244897959,10.0408163265306,2.5204081632653
"Essex",-60.25,0.5,12,11.25,15.75,9.99999999999999,7.75,0
"Gloucestershire",-67.1102040816326,0.508163265306121,10.9918367346939,10.2336734693878,11.9755102040816,9.02448979591841,6.76632653061224,-2.49183673469388
"Greater London",-67.7489795918367,0.259183673469386,5.99081632653061,3.98163265306123,6.22244897959184,3.02755102040822,1.51836734693877,-1.24081632653061
"Greater Manchester",-62.6285714285714,0.342857142857143,9.90714285714286,10.5642857142857,9.22142857142857,7.77857142857145,6.93571428571428,-1.40714285714286
"Hampshire",-65.1295918367347,0.583673469387755,10.6663265306122,8.58265306122449,10.7489795918367,9.00102040816328,6.16734693877551,0.0836734693877527
"Hartlepool",-59.165306122449,0.512244897959183,5.98775510204082,4.97551020408163,7.96326530612245,5.03673469387757,3.77448979591837,-3.73775510204082
"Herefordshire",-68.9326530612245,0.606122448979591,14.6438775510204,12.2877551020408,17.1816326530612,12.5683673469388,8.71224489795918,0.106122448979589
"Isle of Wight",-64.8081632653061,0.726530612244898,11.7734693877551,11.2969387755102,13.5704081632653,11.9295918367347,6.4530612244898,-0.0234693877551038
"Kent",-63.9489795918367,0.459183673469388,13.2908163265306,12.5816326530612,14.6224489795918,11.6275510204082,7.41836734693877,1.45918367346938
"Kingston upon Hull",-61.2816326530612,0.46530612244898,10.784693877551,9.56938775510204,9.85408163265306,7.64591836734694,6.18061224489796,-3.53469387755102
"Lancashire",-56.5714285714286,0.357142857142857,11.1428571428571,11.2857142857143,11.1785714285714,8.07142857142856,5.96428571428571,-1.64285714285714
"Leicester",-63.1877551020408,0.310204081632652,9.18979591836735,8.3795918367347,8.06938775510204,8.18061224489801,5.12040816326531,-4.93979591836735
"Leicestershire",-59.8091836734694,0.467346938775511,10.2826530612245,9.06530612244898,9.84795918367346,7.90204081632652,5.43469387755102,-2.28265306122449
"Lincolnshire",-61.1734693877551,0.438775510204082,12.5612244897959,10.6224489795918,12.9336734693878,9.31632653061225,9.87755102040816,-1.81122448979592
"Luton",-51.045918367347,0.336734693877551,2.41326530612245,2.82653061224489,5.73979591836734,2.51020408163264,1.4234693877551,-2.66326530612245
"Medway",-60.7897959183674,0.391836734693878,13.1081632653061,13.2163265306122,12.8244897959184,8.92551020408163,8.03367346938775,-0.108163265306127
"Merseyside",-62.1969387755102,0.477551020408163,9.52244897959184,10.2948979591837,12.0673469387755,7.68265306122451,7.45510204081632,-2.27244897959184
"Middlesbrough",-64.9234693877551,0.438775510204081,10.0612244897959,10.1224489795918,12.9336734693878,8.81632653061227,8.37755102040816,-1.06122448979592
"Milton Keynes",-68.9704081632653,0.516326530612244,18.2336734693878,14.4673469387755,19.7010204081633,13.2989795918368,11.2826530612245,2.76632653061224
"Norfolk",-63.4448979591836,0.495918367346938,12.0040816326531,10.2581632653061,12.7622448979592,9.23775510204086,6.74183673469388,-1.00408163265306
"North East Lincolnshire",-59.8438775510204,0.655102040816327,10.5948979591837,8.18979591836734,11.284693877551,7.96530612244898,6.06020408163265,-2.34489795918368
"North Lincolnshire",-54.2775510204081,0.50204081632653,10.7479591836735,9.74591836734694,10.4938775510204,8.0061224489796,5.75408163265306,-0.74795918367347
"North Somerset",-62.665306122449,0.512244897959183,11.7377551020408,12.2255102040816,9.46326530612245,10.0367346938776,5.02448979591837,-3.48775510204082
"North Yorkshire",-67.4724489795918,0.497959183673469,11.7520408163265,12.7540816326531,13.5061224489796,10.2438775510204,5.24591836734694,-1.75204081632653
"Northamptonshire",-62.5316326530612,0.46530612244898,11.284693877551,11.069387755102,12.8540816326531,10.3959183673469,8.18061224489796,-0.534693877551023
"Northumberland",-60.4979591836735,0.518367346938776,13.2316326530612,11.9632653061224,12.9448979591837,11.3051020408163,6.78673469387755,1.26836734693877
"Nottingham",-75.3295918367346,0.283673469387754,11.4663265306123,10.4326530612245,9.39897959183674,9.35102040816333,6.31734693877551,0.783673469387751
"Nottinghamshire",-62.6142857142857,0.471428571428572,13.0285714285714,10.8071428571429,10.5857142857143,9.9142857142857,8.44285714285714,-0.778571428571429
"Oxfordshire",-67.1224489795918,0.397959183673469,9.60204081632653,8.45408163265306,12.3061224489796,8.44387755102045,6.04591836734694,-0.852040816326533
"Peterborough",-59.3091836734694,0.467346938775511,11.5326530612245,10.565306122449,12.5979591836735,8.90204081632652,8.18469387755102,0.467346938775505
