"","(Intercept)","days_since_lockdown","dayMonday","dayTuesday","dayWednesday","dayThursday","dayFriday","daySaturday"
"Bath and North East Somerset",-61.6704081632653,0.216326530612244,2.78367346938776,5.06734693877551,1.85102040816327,4.39897959183677,1.93265306122449,-6.28367346938776
"Bedford",-54.8204081632653,0.116326530612244,6.38367346938776,2.76734693877551,5.15102040816326,3.34897959183676,5.48265306122449,-0.633673469387759
"Blackburn with Darwen",-39.5010204081633,0.240816326530612,2.5091836734694,1.01836734693878,0.277551020408168,0.972448979591862,3.73163265306123,-8.25918367346939
"Blackpool",-46.1428571428571,0.214285714285714,12.7857142857143,20.0714285714286,13.3571428571429,11.8928571428572,9.67857142857143,-2.28571428571429
"Borough of Halton",-52.1020408163265,0.0816326530612245,4.16836734693878,4.33673469387755,2.75510204081633,5.24489795918367,3.91326530612245,-3.91836734693877
"Bracknell Forest",-53.704081632653,0.163265306122448,-3.91326530612244,-4.57653061224489,-5.48979591836734,-5.51020408163262,-4.1734693877551,-13.8367346938775
"Brighton and Hove",-62.8418367346938,0.173469387755101,3.5765306122449,3.9030612244898,4.4795918367347,4.02040816326535,2.3469387755102,-3.5765306122449
"Bristol City",-67.1826530612244,0.10612244897959,2.64387755102041,3.28775510204082,2.93163265306123,3.31836734693883,1.46224489795918,-3.89387755102041
"Buckinghamshire",-52.2887755102041,0.151020408163265,2.34897959183674,2.19795918367347,2.79693877551021,2.95306122448982,4.05204081632653,-4.59897959183673
"Cambridgeshire",-61.5683673469388,0.13469387755102,6.86530612244898,7.23061224489796,7.59591836734693,8.15408163265308,5.76938775510204,-2.86530612244898
"Central Bedfordshire",-49.3255102040816,0.320408163265306,7.42959183673469,9.35918367346938,9.53877551020408,7.71122448979594,10.6408163265306,1.5704081632653
"Cheshire East",-61.2112244897959,0.348979591836734,8.90102040816327,10.8020408163265,9.7030612244898,10.5469387755102,10.6979591836735,-1.40102040816327
"Cheshire West and Chester",-63.3908163265306,0.232653061224489,12.5173469387755,13.034693877551,14.8020408163265,10.9479591836735,9.46530612244898,-4.01734693877551
"Cornwall",-48.9510204081632,0.440816326530612,11.0591836734694,12.3683673469388,8.92755102040817,17.0724489795919,9.13163265306123,-8.05918367346938
"County Durham",-48.7040816326531,0.163265306122449,13.3367346938776,13.4234693877551,11.7602040816326,12.9897959183674,9.32653061224489,-2.33673469387756
"Cumbria",-57.8989795918367,0.159183673469388,15.8408163265306,19.1816326530612,17.5224489795918,19.7275510204082,12.8183673469388,0.159183673469384
"Darlington",-59.5765306122448,0.0612244897959171,8.43877551020408,6.87755102040816,8.31632653061225,4.6836734693878,2.12244897959183,-0.688775510204084
"Derby",-64.8183673469387,0.13469387755102,9.86530612244898,9.73061224489796,8.59591836734694,8.4040816326531,8.51938775510204,-2.61530612244899
"Derbyshire",-46.0795918367347,0.283673469387755,7.96632653061226,8.93265306122449,8.64897959183674,9.6010204081633,6.31734693877551,-5.46632653061224
"Devon",-51.1775510204082,0.40204081632653,13.3479591836735,15.4459183673469,11.5438775510204,14.9561224489796,10.5540816326531,-5.84795918367348
"Dorset",-51.8357142857143,0.228571428571429,9.02142857142858,9.29285714285714,7.81428571428571,11.1857142857143,7.20714285714286,-2.77142857142857
"East Riding of Yorkshire",-43.1,0.1,3.15000000000001,5.55,2.95,2.3,0.700000000000004,-12.15
"East Sussex",-46.3551020408163,0.304081632653061,6.44591836734694,6.64183673469388,6.83775510204082,5.91224489795921,6.60816326530612,-1.94591836734694
"Essex",-66.5928571428571,-0.0857142857142871,6.08571428571429,11.4214285714286,11.5071428571429,6.7428571428572,6.82857142857143,1.16428571428571
"Gloucestershire",-59.7061224489796,0.144897959183673,12.6051020408163,13.2102040816327,12.315306122449,13.684693877551,8.03979591836735,-3.35510204081633
"Greater London",-61.6530612244897,0.122448979591835,2.12755102040817,2.00510204081633,2.1326530612245,0.867346938775581,1.49489795918367,-0.627551020408165
"Greater Manchester",-62.1336734693877,0.046938775510203,4.7030612244898,5.90612244897959,3.85918367346939,4.14081632653065,3.34387755102041,-3.2030612244898
"Hampshire",-57.6091836734694,0.26734693877551,8.48265306122449,11.215306122449,8.69795918367346,8.55204081632654,5.78469387755102,-0.982653061224495
"Hartlepool",-54.5724489795918,1.09795918367347,9.65204081632653,7.30408163265306,2.70612244897959,17.2938775510204,11.1959183673469,5.09795918367346
"Herefordshire",-55.0122448979592,0.389795918367346,15.6102040816327,17.9704081632653,11.330612244898,17.1693877551021,12.5295918367347,-5.61020408163265
"Isle of Wight",-59.3591836734694,0.26734693877551,14.2326530612245,16.965306122449,16.6979591836735,18.8020408163265,12.284693877551,-0.48265306122449
"Kent",-48.2632653061224,0.130612244897959,8.61938775510204,9.73877551020408,8.85816326530612,7.64183673469389,5.76122448979592,0.380612244897958
"Kingston upon Hull",-53.6448979591837,0.195918367346939,11.0540816326531,9.85816326530612,10.4122448979592,7.83775510204081,7.39183673469388,-4.05408163265306
"Lancashire",-53.4030612244898,0.122448979591837,8.87755102040817,11.7551020408163,9.63265306122449,8.61734693877552,6.99489795918367,-6.12755102040817
