"","(Intercept)","days_since_lockdown","dayMonday","dayTuesday","dayWednesday","dayThursday","dayFriday","daySaturday"
"Bath and North East Somerset",-46.5836734693878,0.246938775510204,-4.74693877551021,-4.24387755102041,-2.49081632653061,-3.2591836734694,-3.25612244897959,4.49693877551021
"Bedford",-16.3734693877551,0.138775510204081,-18.1387755102041,-17.7775510204082,-15.9163265306122,-17.3336734693877,-17.2224489795918,-2.11122448979592
"Blackburn with Darwen",-21.9265306122449,0.161224489795918,-8.91122448979592,-9.32244897959183,-7.98367346938775,-9.76632653061223,-9.67755102040816,-1.33877551020408
"Blackpool",-34.0306122448979,0.224489795918367,-0.724489795918367,0.801020408163267,1.0765306122449,-0.0765306122448681,-0.301020408163268,0.224489795918367
"Borough of Halton",-19.5683673469388,0.13469387755102,-15.134693877551,-15.019387755102,-13.4040816326531,-14.3459183673469,-15.480612244898,-3.36530612244898
"Bracknell Forest",-35.7887755102041,0.151020408163265,-12.6510204081633,-12.3020408163265,-10.2030612244898,-10.7969387755102,-10.4479591836735,7.65102040816327
"Brighton and Hove",-41.0030612244898,0.222448979591837,-9.72244897959184,-8.94489795918367,-6.91734693877551,-8.3326530612245,-8.05510204081632,0.72244897959184
"Bristol City",-33.284693877551,0.187755102040816,-19.1877551020408,-18.6255102040816,-17.5632653061224,-17.6867346938775,-17.6244897959184,-0.0622448979591828
"Buckinghamshire",-31.1510204081633,0.140816326530612,-12.8908163265306,-12.5316326530612,-10.4224489795918,-11.3275510204082,-11.4683673469388,2.64081632653061
"Cambridgeshire",-28.5744897959184,0.0795918367346936,-15.3295918367347,-14.6591836734694,-11.9887755102041,-12.7612244897959,-15.0908163265306,1.0795918367347
"Central Bedfordshire",-23.1510204081633,0.140816326530612,-15.3908163265306,-15.0316326530612,-13.1724489795918,-14.5775510204082,-14.2183673469388,0.890816326530617
"Cheshire East",-29.7,0.2,-13.2,-12.4,-10.85,-11.9,-12.35,-1.3
"Cheshire West and Chester",-33.115306122449,0.212244897959183,-8.21224489795918,-8.42448979591836,-6.63673469387755,-8.36326530612244,-8.82551020408163,-1.28775510204081
"Cornwall",-34.8357142857143,0.228571428571428,1.27142857142857,-1.95714285714286,3.81428571428571,2.93571428571431,-1.04285714285714,1.22857142857143
"County Durham",-27.7316326530612,0.165306122448979,-7.41530612244898,-7.58061224489796,-3.99591836734694,-6.25408163265303,-6.91938775510205,1.41530612244898
"Cumbria",-33.3969387755102,0.177551020408163,-1.67755102040816,-1.60510204081633,-0.782653061224488,0.282653061224517,-3.14489795918367,-2.32244897959184
"Darlington",-23.4897959183673,0.0918367346938771,-12.0918367346939,-11.9336734693878,-11.0255102040816,-11.4744897959184,-13.5663265306122,-5.90816326530612
"Derby",-28.7295918367347,0.183673469387755,-12.1836734693878,-11.1173469387755,-10.0510204081633,-10.9489795918367,-11.8826530612245,-0.56632653061224
"Derbyshire",-29.6744897959183,0.179591836734693,-7.42959183673469,-7.10918367346938,-7.03877551020408,-6.46122448979589,-8.39081632653061,-0.320408163265304
"Devon",-35.3397959183673,0.191836734693877,-1.94183673469388,-0.133673469387753,-0.575510204081631,-1.92448979591834,-0.366326530612247,0.191836734693877
"Dorset",-35.7530612244898,0.222448979591836,-5.72244897959184,-4.44489795918367,-3.66734693877551,-2.83265306122447,-4.80510204081633,-1.02755102040816
"East Riding of Yorkshire",-27.7061224489796,0.144897959183673,-6.39489795918367,-6.78979591836734,-5.18469387755102,-6.06530612244895,-6.46020408163265,-0.105102040816325
"East Sussex",-35.4306122448979,0.124489795918367,-1.87448979591837,-2.24897959183673,-1.6234693877551,-2.37653061224487,-2.25102040816327,3.37448979591837
"Essex",-29.6295918367347,0.0836734693877546,-10.8336734693878,-9.41734693877551,-7.50102040816326,-9.24897959183672,-9.08265306122449,0.833673469387755
"Gloucestershire",-29.8142857142857,0.171428571428571,-8.42142857142857,-6.34285714285714,-7.51428571428571,-7.48571428571426,-6.90714285714286,0.171428571428573
"Greater London",-35.7908163265306,0.132653061224489,-16.3826530612245,-16.515306122449,-14.1479591836735,-16.1020408163265,-14.734693877551,1.63265306122449
"Greater Manchester",-28.3989795918367,0.159183673469387,-13.1591836734694,-13.3183673469388,-11.9775510204082,-12.7724489795918,-13.4316326530612,-1.59081632653061
"Hampshire",-30.4795918367347,0.183673469387755,-10.9336734693878,-11.1173469387755,-8.30102040816327,-9.19897959183672,-9.6326530612245,1.68367346938775
"Hartlepool",-22.2867346938775,0.16938775510204,-8.16938775510204,-9.33877551020408,-7.50816326530612,-9.99183673469385,-8.66122448979592,-3.08061224489796
"Herefordshire",-28.7571428571428,0.185714285714285,0.314285714285714,1.62857142857143,1.69285714285714,0.807142857142869,-0.628571428571429,1.68571428571429
"Isle of Wight",-31.0010204081632,0.240816326530612,-0.490816326530612,0.768367346938776,2.27755102040816,-0.277551020408141,-0.768367346938777,-0.759183673469389
"Kent",-24.2438775510204,0.0551020408163259,-11.0551020408163,-10.8602040816326,-9.66530612244897,-11.834693877551,-11.6397959183673,0.805102040816328
"Kingston upon Hull",-27.4479591836734,0.218367346938775,-7.46836734693878,-7.93673469387755,-6.90510204081632,-6.84489795918364,-7.56326530612245,0.968367346938776
"Lancashire",-26.7887755102041,0.151020408163265,-7.15102040816326,-7.80204081632652,-6.45306122448979,-8.04693877551018,-8.69795918367347,0.901020408163271
"Leicester",-22.7040816326531,0.163265306122449,-17.1632653061225,-16.3265306122449,-13.9897959183673,-15.2602040816326,-15.6734693877551,-2.08673469387754
"Leicestershire",-28.7887755102041,0.151020408163265,-12.6510204081633,-13.0520408163265,-10.7030612244898,-10.0469387755102,-9.19795918367346,-1.09897959183673
"Lincolnshire",-27.0153061224489,0.112244897959183,-2.36224489795918,-3.22448979591837,-2.83673469387755,-5.66326530612243,-5.52551020408163,-0.137755102040817
"Luton",-13.9642857142857,0.0714285714285709,-16.8214285714286,-15.8928571428571,-13.9642857142857,-16.0357142857143,-15.8571428571429,-0.678571428571421
"Medway",-28.1989795918367,-0.0408163265306126,-10.2091836734694,-10.6683673469388,-8.62755102040816,-10.1224489795918,-9.83163265306123,1.20918367346939
"Merseyside",-33.3122448979592,0.189795918367346,-6.68979591836735,-6.87959183673469,-4.56938775510204,-4.68061224489793,-5.87040816326531,0.689795918367348
"Middlesbrough",-24.7336734693877,0.146938775510203,-7.6469387755102,-7.04387755102041,-6.19081632653061,-8.05918367346936,-7.45612244897959,-1.3530612244898
