"","(Intercept)","days_since_lockdown","bank_holiday1","dayMonday","dayTuesday","dayWednesday","dayThursday","dayFriday","daySaturday"
"Bath and North East Somerset",16.3134225866154,-0.0977375330807949,5.9508717762441,7.83434608133119,7.86214173282825,9.38029790012625,9.24012073409095,9.74113348208877,2.16892913358587
"Bedford",14.0682683825437,-0.0880805355196927,9.69587722484562,7.57502205386332,7.97616107103938,8.61845973224014,8.73575839344092,8.31078044730421,2.44525279781364
"Blackburn with Darwen",11.4565028626779,-0.077795651497068,8.70305121685434,5.43092557037345,6.0222579696608,6.37776884091812,6.69994637884213,6.86420528254889,2.25553768183626
"Blackpool",11.8500700534482,-0.0726428311971355,7.61696331274973,3.63151194368049,4.21195232906094,4.58867858440142,5.18207150640859,5.1469167834224,1.99402383546953
"Borough of Halton",12.223332122533,-0.0822012350163457,9.58254631311297,5.91003148080882,6.56440247003269,6.77973271582515,7.35339629495096,7.86342777575975,2.51779876498365
"Bracknell Forest",14.1617353421674,-0.0996248562957586,8.09307496823381,10.6118018999213,12.1176317540994,12.50606961336,12.5528408059539,11.3129273310341,3.15209051854541
"Brighton and Hove",15.5396070088042,-0.0944579938768096,4.86360334180893,8.63688443775622,9.78891598775362,10.4194376697282,10.5166260183696,10.0868437894591,3.30554200612319
"Bristol City",16.0078667427741,-0.0982616366561153,5.04195423174718,9.62879802120631,10.2631899399789,10.7758691816719,11.238548423365,11.4673464445713,2.23507169667721
"Buckinghamshire",15.5666666666666,-0.0999999999999998,8.75,8.91666666666667,9.86666666666666,10.3708333333333,10.6333333333333,9.94999999999997,2.43333333333333
"Cambridgeshire",15.0333938733503,-0.0899382491827097,9.12268434435162,8.61509262622594,9.31320983169875,9.75086420874196,10.1968519191185,9.81194454534444,2.71006175081729
"Central Bedfordshire",14.3868040060194,-0.0903170567173472,9.95831819832909,8.09309584349541,9.04730078010136,9.66734147164131,9.86238216318129,9.02214467334334,2.84301627661598
"Cheshire East",13.6195890197706,-0.0871620569768044,8.1971485652016,6.94068548596337,8.10765744728694,8.51891897151158,8.67184716240291,8.67919931503292,3.11283794302319
"Cheshire West and Chester",14.1918651514365,-0.089154688391884,8.66472938612422,6.11150606265027,7.17830937678376,7.73875598913737,8.13253593482434,7.77737533080792,2.71084531160811
"Cornwall",13.4908169442859,-0.0947952882569663,7.34053759535053,3.0054261152336,4.38959057651393,4.73593568920484,4.38228080189577,4.92104025046269,2.10520471174303
"County Durham",12.6733866085482,-0.0831456592807845,10.3679622230294,5.25861484441216,5.83295798522823,6.06676050369293,6.35056302215764,7.20917786656978,2.45018767405254
"Cumbria",13.9803106567727,-0.0952259872347049,7.24954594987286,4.07858959057652,4.65711864113607,5.3940536730493,5.51432203829588,6.12624496220571,1.97144067943196
"Darlington",12.3616158995381,-0.0822946396139276,9.51462041409372,5.64798661200768,6.49792261256118,6.64635268019303,6.88644941449155,8.00110269316587,2.71770536038607
"Derby",13.6698649092764,-0.0855949353951533,8.28123864874682,5.66684569214537,6.1711898707903,6.01136919896907,6.8098818604812,7.41006088595988,2.44773839793817
"Derbyshire",13.287355785031,-0.0871828135540449,9.62649836541954,5.91208292252608,6.37436562710809,6.7272419265563,7.2717848926712,7.51720114853058,3.24615051977928
"Devon",13.6289934789753,-0.089855222873748,8.15528514347984,4.07950287997509,4.97971044574749,5.83840572189644,5.46376766471209,6.0766038780205,2.44347811045958
"Dorset",14.0548994170861,-0.0928597374292978,7.80366872502724,5.37261515576082,6.65238614152526,7.320236797952,7.05475412104544,7.16070261013957,2.57380692923736
"East Riding of Yorkshire",12.4535848338609,-0.0827720408904571,10.3896658191064,5.0567943196167,5.76554408178091,6.07944731288809,6.35168387732863,6.74181153027864,2.85056129244287
"East Sussex",13.4945600470482,-0.0898344662965076,8.7259353432619,5.84143877674572,6.84633559925968,7.34674943351841,7.73049660111048,7.43860204452284,2.97683220037016
"Essex",14.9427395222528,-0.0995485444450209,9.91164184525972,7.50543908809438,7.8657637555567,8.47105906111081,8.7680210333316,8.20679345475928,2.63378478888831
"Gloucestershire",14.0363655233252,-0.0874785947797208,8.74473301852525,6.50449639354471,7.4416238562261,7.86876070261013,7.93756421566084,8.24206060920551,2.64585473855361
"Greater London",16.3595696469652,-0.102381817238337,7.51788957500908,10.2678558455711,11.2047636344767,11.9529757580475,12.492854548285,11.8940437271893,2.63095151609499
"Greater Manchester",13.112718592704,-0.0775984640132841,8.37422811478387,6.45264992302769,6.95519692802656,7.89870076799334,8.10053794129348,8.15318786432115,2.45573486932004
"Hampshire",14.4040198571255,-0.0918997457319287,8.44624046494733,8.19548371473544,9.18379949146385,9.67071679380068,9.72430076280421,9.18645114420629,3.10810025426806
"Hartlepool",17.5290796877836,-0.0771827917952443,10.1086404066074,-1.76845162461427,-1.15069280571186,-0.851983118533298,-1.06994009802142,NA,-2.71557451443093
"Herefordshire",13.4618286544549,-0.0955062010274505,9.04576825281511,3.75912165083978,4.72434573538823,5.17724689948626,5.31348139691765,5.93926971442408,2.50449379897255
"Isle of Wight",13.0471416463425,-0.09648694930206,7.33254631311297,4.40765052842787,5.32630723193745,5.64342319201563,5.64387248542715,5.71818968052166,3.10351305069794
"Kent",14.1181550862263,-0.0940532406206216,9.49128223755902,7.19463442478336,7.18810648124124,7.94464004635634,8.25117361147147,8.0458080362548,2.77261342604604
"Kingston upon Hull",11.6288896960891,-0.0785325099891027,11.4449691245914,4.04886790168301,4.49039835331154,4.86906707833877,4.89773580336602,5.54660370504902,2.45480082334423
"Lancashire",12.6803729265044,-0.0820196149654921,8.82573556120596,5.3603039108851,6.29737256326432,6.68815685918391,7.15394115510352,6.98091173265526,2.85131371836784
"Leicester",12.2859875806479,-0.074578382024804,6.90383218307301,5.81432290315327,6.01582343071627,6.69187747565425,6.70959818725892,6.85725442374551,1.9254216179752
"Leicestershire",13.8758047497967,-0.0869648694930205,9.36832546313113,6.66240983861762,7.70726307231937,8.18985089858681,8.13910539152094,8.06818189680519,2.84636846384031
"Lincolnshire",12.4184923806064,-0.0808520574957189,8.9248092989466,4.55253143756595,4.89503744832477,5.0762406379188,5.42411049417951,5.90997526507877,2.58581460917094
"Luton",12.8595817549686,-0.0803694670748793,9.19242644387941,6.20087437081626,6.36073893414976,7.04731526646255,7.02555826544203,6.75976596959159,1.51963053292512
"Medway",13.5570477228305,-0.087239894141456,10.8072103160189,6.7000925397402,7.70781312161624,7.58554671959592,8.0049469842423,7.8383728573158,2.3794267725252
