"","(Intercept)","days_since_lockdown","bank_holiday1","dayMonday","dayTuesday","dayWednesday","dayThursday","dayFriday","daySaturday"
"Bath and North East Somerset",-86.9045110961201,0.298827253385916,-12.7417362876861,10.1506218324598,9.06901215989483,6.46608029335968,6.49648176015774,3.84710359261756,-1.96783941328075
"Bedford",-72.2858388251776,0.345015826890145,-7.15237922266617,14.7984761212876,11.7766350128864,11.2975079134451,10.5683808140038,8.70019026862467,2.27834916022348
"Blackburn with Darwen",-69.8598464013283,0.299242384930724,-10.578732292045,11.6726731012056,9.13484856347187,6.8371211924654,7.09772715479216,4.83706692266442,-1.96742428173594
"Blackpool",-83.5595990521162,0.348923252555653,-5.22747911369411,18.7329086883573,17.9688201615553,18.0536282929445,15.7134364243336,10.7796784460242,0.0155899192223219
"Borough of Halton",-66.3327002577274,0.350931451403663,-11.2670722847802,11.000206700915,9.69813709719267,8.22129905903521,9.31946102087765,7.78633438845931,1.95093145140366
"Bracknell Forest",-77.3274990054139,0.306808157334855,-7.82673447148564,14.5483074740975,10.9197170186636,11.4700707453341,11.1204244720046,9.06873194610204,2.10680815733485
"Brighton and Hove",-82.1065331326863,0.322764776088423,-10.3893933890301,12.7698614498469,8.22113711448981,6.16138238804426,5.96829432826525,5.73815577811217,-1.01056855724491
"Bristol City",-79.8196564786466,0.264521820351824,-9.8838539774791,9.19440177814679,8.93762302596301,5.24476091017597,5.5268987943888,3.92130057253557,-2.60214484631484
"Buckinghamshire",-75.9259664781277,0.292942763738259,-9.271067925899,15.5917950979884,12.1474478058568,11.8589713818692,11.8121616245481,10.5372900558697,3.49294276373826
"Cambridgeshire",-81.3322488021724,0.271677650355456,-9.1521976026153,12.6718021898189,9.32331136595574,8.06917215851112,8.61503295106636,7.75350180755191,0.671677650355457
"Central Bedfordshire",-70.0706830643626,0.298188988635774,-8.78922993098437,15.1544263400965,10.2702886893951,9.2282611609846,9.62790029924064,7.38232663933714,3.8315223219691
"Cheshire East",-72.8355871516786,0.30255824814488,-6.16736287686159,14.4419326103126,11.4615501703769,9.51377912407248,10.241008077768,7.61627402141383,0.769224914811548
"Cheshire West and Chester",-85.0814955113901,0.341160292667739,-9.65065383218305,16.4355499628111,14.5176794146645,12.7330801463339,12.5568142113365,9.32569750748098,1.47449362600107
"Cornwall",-77.9410167263417,0.431591510559908,-12.2203959317108,18.0497682182208,15.1368169788802,11.9699624219467,12.9614411983464,9.74454274990049,1.69825817722657
"County Durham",-70.2543424489301,0.305427844948368,-12.0249727569923,15.2962370055178,10.7891443101033,10.7818805891409,10.9162835348451,8.81252054036286,4.6387611782817
"Cumbria",-78.0260373964332,0.364013284209434,-12.3647838721395,17.1936389739332,15.0719734315811,12.3528399754381,12.558706519295,9.88567882656146,1.83067995087611
"Darlington",-76.0691124833514,0.353505266981474,-15.2564475118053,17.6635912338055,14.8263227993704,12.3850859668241,13.5271824676111,10.1241070347499,3.15350526698147
"Derby",-74.1960476017504,0.28546001764309,-7.74046494733016,15.0305709788456,12.4957466313805,11.9593966754883,13.1230467195959,9.88695103177482,0.485460017643094
"Derbyshire",-78.2413989933059,0.336630169685019,-8.19505993461676,14.4097071592894,12.3267396606299,11.6933150848426,9.4765571757217,9.55293100167778,1.06996350301834
