"","(Intercept)","days_since_lockdown","bank_holiday1","dayMonday","dayTuesday","dayWednesday","dayThursday","dayFriday","daySaturday"
"Bath and North East Somerset",-72.6389652846245,0.261112552540086,-13.6131492916818,-2.42023593309464,-2.05555843841351,-4.44444372372991,-3.08332900904642,-2.7702316088077,-3.47222078079324
"Bedford",-65.1029266773908,0.179300503346998,-17.0809117326553,2.35942694549669,-0.958601006693996,0.252150251673546,-0.795431823292343,2.630661788871,-1.55403282998633
"Blackburn with Darwen",-50.1494006538321,0.289611333091173,-17.860424990919,-4.23224966702991,-6.44588933284901,-6.61769433345438,-6.33116600072649,-4.43008233442304,-8.91038866690882
"Blackpool",-59.1596838081399,0.494836801411447,-14.9492371957864,3.16844567830765,4.61032639717709,-1.1317482659609,-4.38215626243235,-2.54704391745801,-6.70516319858854
"Borough of Halton",-62.5658450521508,0.293695189663224,-15.8349981837995,-2.90469531074326,-3.98739037932645,-5.66565240516834,-4.185581097677,-1.69027640842025,-4.97297147700344
"Bracknell Forest",-64.1577188521612,0.267126770795495,-20.5172539048311,-7.6326431771401,-10.2675868749243,-10.6164366146022,-10.2652863542802,-6.76459619808692,-8.46620656253784
"Brighton and Hove",-74.1159254838876,0.247470292148824,-10.1729930984381,-1.16927075225296,-2.16160725096432,-3.18876485392553,-2.79092245688687,-0.560193209139812,-4.21919637451784
"Bristol City",-75.382676906578,0.193383841004618,-11.3947511805303,-0.900400428969266,-1.72010101534257,-2.83247474616431,-2.88651514365282,-1.38691557262207,-2.80661615899538
"Buckinghamshire",-62.2421410409423,0.287587566810233,-15.4988194696694,-5.18766626883227,-5.97517513362046,-6.29370621659483,-5.27057063290264,-2.65823690173489,-4.97907909985642
"Cambridgeshire",-71.2642710117101,0.25530071091277,-16.6452052306575,2.78771297113106,1.95606524484112,1.92348368878976,2.03256879940497,2.35361510386936,-2.41136595575389
"Central Bedfordshire",-59.2627817272931,0.26281978101811,-14.1771703596077,5.41565824295574,6.2076937712971,5.90224322384243,5.18845934305432,6.47078425267671,1.79615311435144
"Cheshire East",-67.5327417708819,0.275460536557521,-16.1511986923356,9.13461937626486,8.71574559355162,8.25856360161214,8.82638160967255,10.027667652604,-0.391206130109148
"Cheshire West and Chester",-74.6672720668361,0.299382491827097,-20.4768434435161,10.932407071074,8.86790168301246,8.51219124591359,7.43148080881461,7.96388787988858,-1.03395084150623
"Cornwall",-64.7458253334024,0.489543874215142,-22.2150381402107,8.9247920017989,5.88757891823637,3.41977193710762,7.6686316226454,4.32675695777764,-5.64378945911819
"County Durham",-59.3315378894019,0.264117067095636,-23.0115328732292,6.53665179111965,4.27176586580872,3.65289186688119,4.52568453462023,3.92900299240653,-1.13588293290436
"Cumbria",-71.8647484129866,0.387385190182138,-14.5626589175445,12.9167920709875,14.2252296196357,12.1520259284244,13.4954889038797,10.1456143082005,0.0540518568487968
