"","(Intercept)","days_since_lockdown","bank_holiday1","dayMonday","dayTuesday","dayWednesday","dayThursday","dayFriday","daySaturday"
"Bath and North East Somerset",-45.3506944804801,0.137434487053085,-28.0823646930621,-16.7986101741823,-16.8082023074395,-16.1771160898067,-15.9876965388407,-15.386306713023,3.40410115371976
"Bedford",-22.8825852316952,0.160048777956515,-36.3589720305122,-27.0694506425891,-26.7867642225797,-25.9574756110217,-26.5198536661305,-24.4559709753861,-3.97328455537681
"Blackburn with Darwen",-22.7765900403023,0.15930673032017,-39.2597166727207,-20.3419922854721,-21.5186134606403,-20.5870133015065,-21.4554131423728,-20.4640720945115,-4.37402660301315
"Blackpool",-34.3023403040838,0.145327175548752,-34.0926262259354,-7.67248542715307,-7.95732101776417,-7.20233641222559,-8.43068514002041,-6.96983723384012,0.211993842215422
"Borough of Halton",-24.3350786155363,0.127076955010119,-36.336814384308,-22.0379559960563,-22.7208205766869,-21.3989615224949,-22.6187691349696,-21.8567251310258,-4.53958971165652
"Bracknell Forest",-33.7113624963243,0.142981682320585,-31.0760988013077,-27.8712417622334,-28.0192966979745,-26.7951758255063,-27.1710549530382,-25.5756300486049,4.60964834898725
"Brighton and Hove",-41.2215833809004,0.161413522910072,-25.838721394842,-22.0388320965873,-22.7228270458201,-21.5026265718782,-21.9824260979364,-20.0879248611903,-1.50525314375659
"Bristol City",-31.5058793005033,0.111431684915157,-25.2144024700327,-29.3638048535797,-29.5561967031636,-28.4067841575424,-29.1323716119212,-27.6961764655007,-1.82190164841817
"Buckinghamshire",-34.2451749606489,0.171921540138031,-34.4470577551762,-25.0087843564596,-25.6105097469427,-24.4682058965976,-24.6842353795859,-23.6930197360454,1.43858820680472
"Cambridgeshire",-31.9970560254614,0.152145711172227,-33.13403559753,-26.5432100046702,-26.6376247556778,-24.8655938110805,-25.01022953315,-24.8201062044868,-0.581187622161087
"Central Bedfordshire",-25.2841315966997,0.14875719993773,-38.2926807119506,-27.995911819141,-28.8308477332088,-27.3381214000311,-28.2870617335201,-25.8829735526611,-2.45124280006227
"Cheshire East",-29.4739626035666,0.135986715790566,-33.8852161278605,-23.4769723072665,-24.4053067649144,-23.415339975438,-24.058706519295,-23.6023454932281,-4.06401328420943
"Cheshire West and Chester",-32.2846349436977,0.13367235742826,-34.2627134035598,-20.3161581305243,-21.8673447148565,-20.9206638212858,-21.7323162610485,-20.9818077249061,-4.06632764257173
"Cornwall",-38.6891287426703,0.163945825333402,-33.7193970214312,-10.049319357238,-13.5278916506668,-9.66802708733326,-9.90816252399979,-11.8241485479044,-0.63605417466659
"County Durham",-26.4849497517859,0.161351253178351,-39.3006719941882,-19.3413064535658,-20.9227025063567,-17.9234910400775,-20.2492795737983,-19.3239193606974,-2.97198208015498
"Cumbria",-37.8881358863923,0.168958538736962,-33.9073737740647,-11.4418002871327,-12.7379170774739,-12.8571873972982,-11.4931243837891,-13.5349246709217,-4.2977081279297
"Darlington",-25.9075017729576,0.161776763011779,-36.602342898656,-21.1216205697681,-21.3902201926902,-21.0232782851607,-21.648003044298,-21.169623614066,-7.30488990365488
"Derby",-31.7434936778924,0.128493591406777,-31.6399382491827,-19.0858310414613,-18.7236538494802,-17.6899198709633,-18.6145192257797,-17.6336836005742,-2.07150640859322
"Derbyshire",-29.7757286423468,0.125328213377614,-37.9140937159463,-16.5977219656479,-17.3173230934219,-17.1790025599778,-16.8240153598672,-16.9550706588483,-2.40800511995571
"Devon",-34.7517876602148,0.150033729438015,-37.6976934253542,-12.7035208344144,-12.700067458876,-13.437483135281,-13.549898811686,-11.6534196461003,-2.44996627056198
"Dorset",-37.479502879975,0.163764205282549,-35.9625862695242,-15.0329251206476,-15.5275284105651,-15.6181178973587,-14.3087073841524,-14.7416325047999,-2.63623579471744
"East Riding of Yorkshire",-29.5723107259612,0.139100202376628,-40.2876861605521,-13.9199211250065,-15.4782004047532,-14.3554498988117,-14.9826993928701,-13.7026205178766,-1.86089979762336
"East Sussex",-37.5034196461003,0.183083389549063,-35.8299128223756,-15.194422534724,-16.8995001124315,-17.0459583052254,-16.9840831646861,-15.1785056994101,-1.6835832771176
"Essex",-34.1347724560219,0.183674952000415,-36.566382128587,-22.945916143428,-22.6340165706675,-21.1956625239998,-21.9823084773321,-19.7948912874266,-2.7496583813329
"Gloucestershire",-32.0256655077577,0.140106896372788,-37.6111514711224,-18.232696798298,-17.5468804594122,-19.0799465518136,-18.7796793108816,-17.0123761091795,-1.32655977029386
"Greater London",-38.9190130247521,0.134321000467023,-24.4298946603705,-25.8389946897757,-26.7353086676007,-25.5078394997665,-26.2637036652656,-23.9693650217078,-0.732345666199636
"Greater Manchester",-28.8542282877553,0.112972860775258,-33.343625136215,-21.2233978516943,-22.0259457215505,-21.3268469029457,-22.3944147510075,-21.1511459360351,-3.42036047255806
"Hampshire",-30.0774670056907,0.164983654195423,-36.6868870323284,-24.3858578520402,-25.9299673083908,-23.8341748395689,-24.7050490374137,-23.9575735561205,-1.96834967913789
"Hartlepool",-22.2682874094062,0.153489699548544,-39.9344351616419,-18.4911940221058,-20.4403127324304,-18.6649218168924,-21.0728642346877,-17.9640582567934,-7.04651030045144
"Herefordshire",-32.2330306332485,0.150308754086451,-38.1365782782419,-10.4745368688703,-9.70061750817289,-10.2831789562901,-10.7490737377406,-10.0902772732776,-0.849691245913536
"Isle of Wight",-37.1648867901682,0.235815474028333,-37.5930802760625,-11.4629434556242,-12.8716309480567,-12.5279255963191,-13.7592202445817,-12.2888303668725,-6.03085119263833
"Kent",-28.2721377544842,0.153562347568886,-35.6871594624047,-22.8410850500753,-23.8404580284711,-22.4773854928822,-24.3393129572933,-22.1137313407018,-1.77977098576444
"Kingston upon Hull",-29.5253455105253,0.121861864978465,-39.4626770795496,-10.0243500596752,-10.9770570632902,-10.3099024008441,-10.3677477383979,-9.3254311314064,2.58852853164513
"Lancashire",-28.8457924688218,0.149291681801671,-38.5984380675627,-16.2427291439642,-18.2985833636033,-17.2420208257658,-18.6187916212617,-16.9948540985591,-2.78404165153166
"Leicester",-27.9783041876394,0.142986871464895,-27.4334362513621,-22.3807577880408,-22.3526404095965,-20.7160065642675,-21.637706052272,-20.8184638403127,-3.39034646186842
"Leicestershire",-29.0724300762804,0.12212132219397,-35.3295495822739,-23.3668180167091,-24.5109093110546,-22.276439338903,-21.5003027000848,-19.2004540501271,-3.21121201113935
"Lincolnshire",-28.2339024094926,0.165419542317472,-36.4532328369052,-14.0018706865238,-14.9308390846349,-14.1381235621746,-18.1037413730476,-16.572278726238,-2.10124712434919
"Luton",-21.559209866293,0.156463079238233,-32.9387940428623,-24.6272101430474,-23.9795928251431,-23.1551017937142,-23.5306107622853,-21.7578209053326,0.356463079238248
"Medway",-32.6791811530278,0.148663795340148,-35.3606066109699,-19.9912900212755,-21.363994257347,-19.8131681023299,-20.3540086139795,-18.945298635255,-0.584669537993193
"Merseyside",-35.9407901337069,0.143536920761766,-33.0612059571377,-16.2727898569526,-17.2204071748568,-15.7198982062857,-15.502722571048,-14.8421790946672,-0.989796412571553
"Middlesbrough",-26.1539774791136,0.168942971304032,-34.0853614239012,-18.3632522097106,-19.0712192759414,-18.215528514348,-20.0265044194212,-16.7230899624651,-4.29772369536263
"Milton Keynes",-25.952673274177,0.139987546053656,-31.3923901198692,-28.3138282047291,-28.4799750921073,-27.7091728936398,-28.5133706951724,-26.493865566568,0.539987546053669
"Norfolk",-32.7852126684309,0.183368792486119,-38.7334725753723,-14.8011372874613,-17.5667375849722,-14.7791489370902,-15.383226955875,-14.2510309100029,-2.81663120751387
"North East Lincolnshire",-25.158412467784,0.106133568574542,-34.6228659644025,-11.597942504281,-12.4122671371491,-11.4760998823794,-12.0149326276097,-12.4128751318907,-3.89386643142545
"North Lincolnshire",-24.2167747738398,0.103461159254839,-37.3440791863422,-13.8138558801654,-15.4069223185097,-13.5274360870392,-15.8229498555688,-14.1701390690675,-2.69653884074515
"North Somerset",-29.7047549859028,0.155435628664833,-34.6859789320741,-20.9763703665266,-21.3108712573296,-20.4556155190009,-21.3336931140055,-20.4433968138653,-1.31123103800182
"North Yorkshire",-40.2506962101949,0.134289865601162,-34.5358699600436,-10.4985652015983,-10.735246397869,-12.862021733866,-10.5971304031965,-9.42902893812807,-2.3323768010655
"Northamptonshire",-26.409153650563,0.158663276425717,-38.1998728659644,-21.5453384186948,-20.9173265528514,-20.6081683617871,-20.3906768373895,-19.0026819227509,-0.908003390240934
"Northumberland",-35.4234082299828,0.143837891131752,-35.0367780602979,-14.1413860204452,-15.4210091155968,-14.8155810544341,-15.5684863266047,-14.1098723470499,-1.65616210886824
"Nottingham",-30.3261342604604,0.0879144829017693,-24.5110788231021,-22.187175894695,-21.6424956324702,-20.5393760918824,-21.3362565512947,-20.5234324459896,-4.24541885043156
"Nottinghamshire",-27.901511770709,0.151600851019667,-35.8636033418089,-19.4940272948991,-19.6365350353727,-18.6825329078235,-20.2785307802743,-19.5058914085067,-2.24839914898033
"Oxfordshire",-32.9686281632158,0.133999273519796,-33.2749727569924,-23.315667756387,-23.0013318803729,-23.3163336965734,-25.7980021794406,-22.6470032691608,-1.93266739314686
"Peterborough",-19.1048760659367,0.135312127030253,-33.4313476207774,-25.1065556189784,-26.0039575873938,-24.6240106031515,-25.4607302855759,-23.5006192378876,-1.59802120630307
"Plymouth",-34.3525954370124,0.181495511390171,-37.2346531057029,-14.4991853043433,-15.5629910227803,-15.3009189109715,-15.3221801324961,-15.0880321035061,-4.88517115527649
"Portsmouth",-34.4161538062373,0.132380260495044,-31.0356883399927,-19.9300010378289,-21.0647605209901,-19.8463098697524,-20.5361925518482,-19.3328602563437,-3.93428640617161
"Reading",-33.404602771003,0.13216231643402,-24.5275154377043,-30.8969946205871,-30.3976579662013,-29.8464188417829,-29.9368463840313,-28.3671743379516,-1.46783768356595
"Redcar and Cleveland",-28.1637745835711,0.15780706761455,-37.4891936069742,-14.9251941604829,-16.3822808018958,-15.3085964661927,-15.8599121304897,-15.3851062909726,-4.57552626571877
