"","(Intercept)","days_since_start","lockdown11","lockdown21","lockdown31","days_since_start:lockdown11","days_since_start:lockdown21","days_since_start:lockdown31"
"Bath and North East Somerset",-19.462967239025,0.014935980464282,-24.6143175097262,-63.5004388130506,-100.335838716085,0.240080212841657,0.246499628261965,0.277055857709888
"Bedford",-16.6182694110853,0.012847362044152,-19.2293860189974,-67.3901753461283,-88.3374077001755,0.275514758524846,0.285534059489981,0.253043907177344
"Blackburn with Darwen",-16.5811226401868,0.0309896687869671,-16.6524107966966,-69.9962094420719,-101.658295235939,0.217603620358777,0.286822513557237,0.293267291976531
"Blackpool",-3.66310513308389,-0.00406278650663906,-30.410485396281,-95.0473100674797,-102.62373698165,0.347300234945381,0.380910077147035,0.297098244385789
"Borough of Halton",-12.1916366214261,0.0222451010303431,-23.9457211721175,-56.3970333293133,-95.7893133604008,0.265871360168694,0.23320880466987,0.27472012484135
"Bracknell Forest",-15.325170143337,0.0189062063439353,-16.7158021080379,-38.3566267133371,-89.2789064511521,0.15060031373561,0.158550983428527,0.243334553123315
"Brighton and Hove",-17.3094839127653,0.0091457944677128,-23.951924088578,-23.4276339228748,-81.0875903533721,0.2319626579249,0.0953971721442194,0.232130444470818
"Bristol City",-20.7452162840872,0.0205584833586809,-19.5970027663305,-29.7125599298466,-82.4796175464648,0.221684977515399,0.120187470195154,0.237631592177793
"Buckinghamshire",-14.2932756074699,-0.00383169573988818,-22.0328232128986,-50.2767455044229,-98.3262350428489,0.253291011905051,0.205802139089641,0.287386768271457
"Cambridgeshire",-21.1046437855904,0.037662984221151,-15.9005197255972,-46.6251239835861,-94.2286113362431,0.191139177581304,0.189641730768293,0.256449201298445
"Central Bedfordshire",-13.5780496413381,0.0236041903111385,-19.363430565202,-46.368740568999,-90.393460980191,0.267590787043107,0.195333959661495,0.262017968974016
"Cheshire East",-15.8814604481306,0.0201447842668591,-22.4874997130716,-61.6382439853668,-101.805395341619,0.283497971036195,0.254309825163119,0.298032551911837
"Cheshire West and Chester",-15.7385115658048,0.0369665422161395,-23.0917642412562,-73.6964716228728,-89.5326503427956,0.279228163047034,0.291245202251762,0.240960901023544
