"","(Intercept)","days_since_start","lockdown11","lockdown21","lockdown31","days_since_start:lockdown11","days_since_start:lockdown21","days_since_start:lockdown31"
"Bath and North East Somerset",88.4749788767539,-0.290996619826232,-135.33242173986,-63.5627105211366,-412.570191541261,1.37619667414889,0.191301569392267,1.30847760975351
"Bedford",NA,NA,NA,NA,NA,NA,NA,NA
"Blackburn with Darwen",NA,NA,NA,NA,NA,NA,NA,NA
"Blackpool",NA,NA,NA,NA,NA,NA,NA,NA
"Borough of Halton",NA,NA,NA,NA,NA,NA,NA,NA
"Bracknell Forest",NA,NA,NA,NA,NA,NA,NA,NA
"Brighton and Hove",136.704038125352,-0.536048745801427,-168.174995858419,20.3703226534423,-433.09358033617,1.72937439670251,-0.0890978645668607,1.45490767360813
"Bristol City",130.333375228585,-0.457284766549662,-149.176244965373,-77.891081069544,-472.071353989126,1.96775094407432,0.339761895332215,1.63403004057181
"Buckinghamshire",91.2361101276385,-0.356788586951668,-119.234850734666,-10.1848160467886,-302.67287217155,1.48903262310402,0.0168089169227403,1.01723791921499
"Cambridgeshire",110.139310536858,-0.415382414251091,-143.79620991136,33.4971739419901,-395.739938867895,1.45650859143369,-0.160659496766186,1.30121401721497
"Central Bedfordshire",88.9518578568182,-0.318193369606979,-98.4197334473927,42.8775267705958,-299.189335295869,1.2038674877601,-0.161711235913389,1.01906949735302
"Cheshire East",77.3893795984604,-0.231816491733123,-123.547853214178,81.3564957631781,-345.457378979487,1.54049992853881,-0.37452489539644,1.10644753618053
"Cheshire West and Chester",93.2208568912995,-0.375796481670314,-139.279124806165,-41.947614260915,-352.493245232988,1.57820736406945,0.138835030423153,1.16779587709062
"Cornwall",274.295731571946,-0.830744103264204,-320.678712974909,-70.4584104365933,-634.289336702235,1.9074349160702,-0.00857093309517411,1.95273964808766
"County Durham",109.319597962134,-0.399603558389119,-142.708792370429,-9.06344032666662,-421.125343628413,1.50879603872471,0.00516302355449862,1.39230109940517
"Cumbria",163.944321156106,-0.489211863140829,-216.902509309416,-108.00233976585,-486.518337184666,1.46637020615284,0.228167215396679,1.48067937238047
"Darlington",NA,NA,NA,NA,NA,NA,NA,NA
"Derby",NA,NA,NA,NA,NA,NA,NA,NA
"Derbyshire",133.048947701982,-0.445146787627517,-169.853867730528,-39.6255760544733,-478.496342431343,1.89845362706425,0.0986380691976212,1.53969729342321
"Devon",208.022444575849,-0.63326989524648,-252.794830285936,-97.6822694253272,-545.955601093614,1.858303206968,0.232417600305508,1.71065825492821
"Dorset",229.753711856686,-0.755057263514197,-278.205414136188,-48.4853953346763,-628.227169008899,2.60571657905744,0.0560972197265694,2.02532885654569
"East Riding of Yorkshire",227.753606347177,-0.742162697652119,-272.287966785445,47.4573171026615,-689.473091446808,1.98919340662817,-0.37977803266299,2.20311440684929
"East Sussex",175.448974694816,-0.625491143359459,-212.656186818573,35.9752961629513,-468.706686864502,2.08972049592264,-0.202525120617393,1.55801501166185
"Essex",125.928675954776,-0.460402156478329,-160.010116700337,80.0430575662181,-391.378960431114,1.63886591472464,-0.335633499163235,1.3056211186885
"Gloucestershire",100.570222139146,-0.306656034438293,-140.518754946333,-45.2666409365514,-366.769738475394,1.42251863311018,0.0933477226078174,1.1512337103332
"Greater London",81.949171913133,-0.379767689138048,-120.039470389267,-7.24739695027435,-330.793763264044,1.44071453498057,0.036855811743413,1.12185039420032
"Greater Manchester",54.9521893679486,-0.255448550737455,-87.9913564893959,73.362104165557,-295.410441340929,1.17382433805241,-0.335606261992236,0.985890937531706
"Hampshire",131.316279064715,-0.457668211426622,-168.940602140992,-76.1846425020452,-377.676594885631,1.90961304068559,0.284589784653619,1.25288555422691
"Hartlepool",NA,NA,NA,NA,NA,NA,NA,NA
"Herefordshire",106.957976587686,-0.404797209333858,-136.915115246853,-109.684225708023,-338.336088643653,1.3380960259709,0.392130073514008,1.12521652853394
"Isle of Wight",147.767021975838,-0.480661435342091,-192.897788946158,23.0868759051529,-434.20658667846,1.75962475280085,-0.251999445102036,1.33393498246152
"Kent",148.614094935164,-0.560390458188401,-183.96118363841,32.5275893247478,-384.85881152044,1.81195964628418,-0.179346816031637,1.28261344013378
"Kingston upon Hull",47.3480985166004,-0.213744361073015,-83.3382757793065,45.0586572891697,-302.247392809815,0.990323066145326,-0.202511796562452,1.00469246389549
"Lancashire",135.451341664011,-0.42355651847085,-159.254288643567,49.7752984173081,-438.436732427617,1.86025336392468,-0.279782288316229,1.43034148602867
"Leicester",64.5001104667748,-0.142265917129734,-98.0683626425823,59.6283202158438,-376.544095798519,1.2883402950437,-0.310584188429734,1.17981319490171
"Leicestershire",90.2294679220773,-0.316627265194723,-123.277702672928,10.5372847560045,-367.603807832614,1.48996949201918,-0.0591253346958048,1.20646852703891
"Lincolnshire",222.75118606083,-0.727154605098894,-269.89332954767,-91.3635873431833,-547.419427993471,1.7482579888235,0.180903920917181,1.72350697429556
"Luton",NA,NA,NA,NA,NA,NA,NA,NA
"Medway",115.17503595183,-0.446307482329393,-142.587010566822,14.7525189781878,-370.57511512298,1.42564542899849,-0.0839138015864706,1.25346311481692
