"","(Intercept)","days_since_start","lockdown11","lockdown21","lockdown31","days_since_start:lockdown11","days_since_start:lockdown21","days_since_start:lockdown31"
"Bath and North East Somerset",NA,NA,NA,NA,NA,NA,NA,NA
"Bedford",NA,NA,NA,NA,NA,NA,NA,NA
"Blackburn with Darwen",NA,NA,NA,NA,NA,NA,NA,NA
"Blackpool",NA,NA,NA,NA,NA,NA,NA,NA
"Borough of Halton",NA,NA,NA,NA,NA,NA,NA,NA
"Bracknell Forest",NA,NA,NA,NA,NA,NA,NA,NA
"Brighton and Hove",9.99189818908502,0.0135366304900843,15.5402141430276,11.4103615653914,39.2110973593372,-0.09509951205297,-0.0324591420234328,-0.105127574749996
"Bristol City",11.24164397128,0.0128744738796734,19.1302967532908,15.6000559270701,39.6873409466159,-0.135062023924996,-0.0469662715182688,-0.107629385189992
"Buckinghamshire",9.90360613482825,0.0178560163066694,19.0077325999016,12.8582595309782,39.7510327547603,-0.132585161303225,-0.0455751499371328,-0.111621288241576
"Cambridgeshire",10.8309926873696,0.0127302541633906,16.7302767807468,9.58780471664947,35.0799484056961,-0.110513567051023,-0.0309490359289702,-0.0961564936417246
"Central Bedfordshire",9.20001304247872,0.0165651169980055,19.9914499063372,11.2813772147736,35.8366863842502,-0.158371839687081,-0.0408046978878328,-0.100151857989588
"Cheshire East",9.23998160789442,0.0124384775907431,16.6340790948468,15.4524493874922,33.7330368641743,-0.116568509137759,-0.0550532246389875,-0.0936911091318095
"Cheshire West and Chester",9.24298358858271,0.00995249953067505,16.5336000980803,18.253810531364,34.0949728600873,-0.112579033541282,-0.0652343823987645,-0.0927331342673768
"Cornwall",6.06279400841789,0.00819831165368449,16.5862551498878,19.1288550650045,35.9627739546163,-0.122344404348117,-0.0677807653248079,-0.0969160629051283
"County Durham",6.81941140841082,0.0169591120843752,16.65206334076,9.72867679238667,32.0043615287308,-0.112912418146408,-0.0346696445732327,-0.0925790761694625
"Cumbria",7.23988765783606,0.00828565119888802,16.9291228790851,15.4555928332108,36.3098897632716,-0.11827885669606,-0.0520732811934142,-0.0983449935745261
"Darlington",NA,NA,NA,NA,NA,NA,NA,NA
"Derby",7.53857810455203,0.0144252662570162,18.8299041799535,17.2492082743673,33.7407715404373,-0.150226429662621,-0.0623179865635295,-0.0942816066065927
"Derbyshire",6.9699901407703,0.0176435446362256,18.2117822449398,14.1188752904596,34.4786907599094,-0.128166939026795,-0.0494677685786759,-0.0982469727470218
"Devon",7.10488142397337,0.0102826425864309,16.9399949456165,14.7856495010402,34.3868311559624,-0.125297871912562,-0.0490268759119446,-0.0939435165639533
"Dorset",7.19810530364657,0.0121813477590745,17.7786379061263,16.1460576488907,36.7232784641084,-0.133515309234088,-0.0550697674947845,-0.0991659705625248
"East Riding of Yorkshire",6.11501476673856,0.0174594492843133,17.4110756576769,10.2599559111877,32.3003408376791,-0.119191969764997,-0.030595738282671,-0.092609424633296
"East Sussex",6.52271270293209,0.0191890868632483,17.6517971833027,9.0229906358746,36.2791931625705,-0.131038730890383,-0.0304878592457642,-0.103113384849062
"Essex",7.60663331623807,0.0218370756348135,19.5067960108262,9.34774153715146,39.7790158332118,-0.143276763927278,-0.0333313285083764,-0.114254278805978
"Gloucestershire",8.59714657093336,0.0124661949835262,17.5146875250324,11.1918126909322,34.2626837868842,-0.124273859244907,-0.0349073553557207,-0.0935835158318089
"Greater London",12.3753592208113,0.0149593362041525,19.875008102139,11.9070318965551,40.3528325461088,-0.144770100748975,-0.0411537220044494,-0.112401748189225
"Greater Manchester",9.64225365189401,0.0104727107814198,16.3888953342946,12.4938398659729,29.6194170752929,-0.120632280535465,-0.0439780669468742,-0.0824493624895371
"Hampshire",8.9032049128143,0.0162712148584272,18.1712671916313,13.9988202650728,36.8879430328742,-0.132146251979424,-0.0484473036847619,-0.102126569167317
"Hartlepool",NA,NA,NA,NA,NA,NA,NA,NA
"Herefordshire",NA,NA,NA,NA,NA,NA,NA,NA
"Isle of Wight",NA,NA,NA,NA,NA,NA,NA,NA
"Kent",6.55348079439745,0.0252641059423371,18.9480934468183,1.3218808445109,38.3026364364836,-0.13654313611646,0.00069570326870401,-0.11266905557869
