"","(Intercept)","days_since_start","lockdown11","lockdown21","lockdown31","days_since_start:lockdown11","days_since_start:lockdown21","days_since_start:lockdown31"
"Bath and North East Somerset",-46.4982455982104,0.0473789297396079,-43.3358083877686,-60.2305056724125,-117.416671326063,0.131084828506696,0.128514416104475,0.240369334792796
"Bedford",-31.2567772624518,0.00214510846632008,-52.1812815931798,-61.2782137454461,-129.360796573643,0.338606204956167,0.202835734445559,0.337124141818877
"Blackburn with Darwen",-30.9485055289152,-0.00403150745530109,-49.4421161914156,-66.4608306193376,-116.57311575229,0.338535609811299,0.213273825072005,0.29523235386687
"Blackpool",-1.22553516582648,-0.0964681109839804,-79.7098159949142,-93.2732528551296,-170.050095594325,0.307845560386704,0.268686423596384,0.444007867496708
"Borough of Halton",-36.0341879567535,0.0435139552517383,-35.893354967557,-98.51640239433,-118.829056117106,0.196061458287826,0.35663460992146,0.292360292172501
"Bracknell Forest",-33.8315305659051,-0.0041511400581735,-44.1665803446361,-74.4933189141174,-120.668841898369,0.222197152991052,0.243692933787161,0.304342950162572
"Brighton and Hove",-25.830191357423,-0.0345329004211802,-60.6448516718365,-72.9021958503336,-141.773323121901,0.289003356772327,0.203975390060714,0.352599396989831
"Bristol City",-43.5496929491034,0.0086233187615796,-41.545391220327,-37.9318927886399,-104.19522408313,0.166133781649356,0.077700866084772,0.245497359663202
"Buckinghamshire",-23.7188273706362,-0.02868560977584,-54.5969444273572,-66.8940821609924,-124.934030887814,0.288084801587608,0.207120202003535,0.316240984597254
"Cambridgeshire",-35.4426904644005,-0.00609595591336182,-47.1978368014573,-43.049060258877,-115.439227204801,0.204773748772758,0.096329750580653,0.273242447731743
"Central Bedfordshire",-23.4474389814786,-0.0177434508236217,-53.3725517829731,-67.7968725362325,-122.084938060328,0.33480262830008,0.229448822627518,0.310023184088821
"Cheshire East",-35.259604029603,0.0294150807441589,-42.6446821044804,-63.6607572183443,-115.159410001684,0.201283944547873,0.189562165326683,0.269337973642822
"Cheshire West and Chester",-23.896758833516,-0.00626574619982693,-60.0519418927339,-95.9064705041958,-146.630372039994,0.238104444391741,0.27516870968407,0.339466887703862
"Cornwall",8.48205045368862,-0.0585909974300051,-90.5957736391133,-141.452806572228,-195.211223223131,0.431382200958793,0.442162816962413,0.475847429186273
"County Durham",-20.3798467177165,-0.0281409119940475,-54.9852093252709,-70.7434623760358,-125.363686978604,0.289230178078906,0.238047863280309,0.323839399465213
"Cumbria",-12.2262262140556,-0.0175986101513005,-67.7960650415591,-104.433090386147,-156.960971091246,0.319349166383195,0.320632467372348,0.371832647268174
"Darlington",-29.0684085303452,0.00254043613766165,-50.6823995801456,-78.891009719714,-134.466583318625,0.294399549900181,0.259716190650987,0.340115899893489
"Derby",-35.3455847893749,0.0206218465089003,-43.5240680379623,-72.2986798130177,-109.489626219733,0.214900187426297,0.226387301978081,0.258573774606765
"Derbyshire",-18.5648642255861,-0.0441559960372636,-61.6083023081446,-68.2388342653043,-146.034707530466,0.289882222662696,0.194715070241657,0.375898948905238
"Devon",-14.0639855162167,-0.0218488725312824,-69.1951135980102,-115.51381571922,-151.129536844235,0.327338737527464,0.364174308452776,0.354104278661288
"Dorset",-17.5676573055564,-0.0287192149890225,-65.150238668584,-104.137323537355,-144.53509605112,0.332761555469799,0.326553291148221,0.348491489972018
"East Riding of Yorkshire",-9.42221765520289,-0.0634590559138565,-68.7109001819998,-66.9328140126373,-166.304672106168,0.338651968485556,0.182741251550734,0.434118227711654
"East Sussex",-13.8467166112544,-0.0485170642213698,-66.4074708703793,-84.6342826850155,-151.312567825497,0.352337067424269,0.275118049443044,0.391456976917183
"Essex",-16.1625778127541,-0.0472541586291904,-61.2523501919476,-84.48798126145,-148.44938350854,0.323512113406098,0.287265105536688,0.39365744927008
"Gloucestershire",-28.6932409012129,0.00578256232502239,-54.4244283821923,-81.0869608346534,-136.280772968133,0.262791540512962,0.239349973447906,0.324004863137138
"Greater London",-42.2503901690658,-0.018741272422181,-42.1294007717008,-38.1935460261017,-94.2422854199494,0.217863739837331,0.104713592384648,0.23436102058595
"Greater Manchester",-32.2984903883563,-0.0132548440820139,-46.5084026891803,-56.255931380351,-109.265229072272,0.252561276159529,0.173118789660245,0.27727551494955
"Hampshire",-26.7346518763483,-0.00984235265229996,-53.6552561879646,-94.0659971188816,-130.620784122773,0.271760330409242,0.312289768400207,0.32181698909478
"Hartlepool",-30.6926298687272,-0.0110769929047213,-48.5581572518807,-71.5501569011536,-117.700878816708,0.295971895783757,0.242604086500782,0.292853593511461
"Herefordshire",-39.759481605653,0.0700625086972727,-39.2118881941034,-90.3409953667456,-136.887189787292,0.187113310335731,0.269995353528079,0.302899823828756
"Isle of Wight",-6.27441921695928,-0.0345827065933318,-77.80387304617,-132.496634031927,-181.533597221851,0.434158555478615,0.429257818017214,0.446729000483839
"Kent",-15.7198674530468,-0.0540453449744127,-63.3490633223194,-64.6927136713565,-143.133117479243,0.316125022569811,0.19389208826943,0.375799057921414
"Kingston upon Hull",-26.5992322622288,-0.015029820003592,-49.1632042433754,-75.3900163107634,-108.245960789423,0.289372253617255,0.243233745251852,0.260659752456206
"Lancashire",-16.5889850740987,-0.0478373291724377,-62.1462065635318,-58.3888865343144,-141.213454836797,0.361813326075262,0.179043834763179,0.373825259170746
"Leicester",-55.2544366533441,0.071634921466253,-23.8818296662898,-19.4051536195466,-83.394454410752,0.191634182825477,0.0203581976204618,0.177456229718255
"Leicestershire",-26.7826846726558,-0.00631465549491429,-51.3591229760575,-56.7494132239739,-134.229230585424,0.266752457807532,0.16387193127879,0.337145700662055
"Lincolnshire",-5.38723008700868,-0.0729411036011532,-72.316854544199,-68.7488243347598,-170.318040192501,0.348724842505666,0.191988722648771,0.454473353249381
"Luton",-32.8047716255734,0.00456320993611881,-42.6828653334125,-52.410100530186,-115.68877556583,0.285190462127281,0.171486520300805,0.319492944001387
"Medway",-25.1278174491254,-0.0384685045317993,-52.6528802545817,-42.7606413826838,-133.788192756756,0.339587809471265,0.131360833877332,0.365524525317826
"Merseyside",-32.1402840165528,0.0131507550693914,-46.0608830209352,-91.4529601776763,-114.263469415696,0.230126651887121,0.30528696484616,0.267772236592446
"Middlesbrough",-31.7948713124332,0.000296165859849267,-46.7655585603683,-63.1385480323167,-118.411964756504,0.25163684687246,0.18838160409871,0.287474410542111
"Milton Keynes",-27.9173869504473,-0.00264877523133052,-52.9141062698205,-86.8478800759031,-126.881828535429,0.274910878231017,0.282068589133902,0.305964966811118
