"","(Intercept)","days_since_start","lockdown11","lockdown21","lockdown31","days_since_start:lockdown11","days_since_start:lockdown21","days_since_start:lockdown31"
"Bath and North East Somerset",-39.0411870733106,-0.0262128384273483,-39.369542954816,-48.3928187129117,-107.941324739385,0.378419963481962,0.156246461071807,0.278061304846186
"Bedford",-38.4831238954814,-0.0383714090052987,-31.6131776871559,-20.9349306826721,-74.2187125153307,0.350122478323222,0.0798523692054721,0.206716624008952
"Blackburn with Darwen",-19.0764045499386,-0.0586472361305713,-52.0294684192904,-57.6100447424226,-115.216856905587,0.485101018740689,0.230044530680577,0.335736184917634
"Blackpool",17.6204520570619,-0.152897877281585,-82.7709914970519,-70.2564673827332,-217.10817009261,0.757165509171905,0.235038779619534,0.640533142990761
"Borough of Halton",-19.7319282648371,-0.0995842939240591,-41.1028393771595,-45.8435663008057,-126.388869636408,0.428579718129593,0.172576709281008,0.381164406131171
"Bracknell Forest",-29.2941899085981,-0.0994152989648144,-44.2638471175555,-54.572609684803,-114.814858274244,0.446140177573328,0.215374326253893,0.353094778162595
"Brighton and Hove",-30.680148684257,-0.0762736524585843,-45.8921194824867,-46.3765797542446,-114.390704456858,0.363987418867619,0.158531843091158,0.3177766087813
"Bristol City",-52.2276995720298,-0.0134878699846826,-30.7452234790596,-19.9914340584338,-77.5881425750917,0.213361308764968,0.0491044154534444,0.198537477907555
"Buckinghamshire",-22.2947257542531,-0.0819205611020575,-51.9506459765726,-46.9755064765701,-123.224581570158,0.44514348765146,0.170942376724858,0.358884995262249
"Cambridgeshire",-29.2318687440313,-0.0673417438899308,-50.1749991456458,-46.4276433366628,-110.421414879416,0.345078319305024,0.156950000985872,0.311803542010695
"Central Bedfordshire",3.25053078656792,-0.15100331886659,-75.7580661545203,-96.2091280185633,-131.080524416889,0.67960164558422,0.383116853935786,0.406729012423857
"Cheshire East",-19.9052762352773,-0.08109360928747,-56.3311538054429,-103.641990947457,-116.468313708547,0.449644856475212,0.395191662301778,0.345229438191417
"Cheshire West and Chester",-30.8639168942528,-0.0230272501272587,-43.148677035473,-70.8219068605367,-118.777610533153,0.344799045011013,0.236570138546996,0.307917436143474
"Cornwall",33.6381924060156,-0.199306886686833,-95.9872961380167,-136.401661011848,-228.55382762854,0.727735739535316,0.485099364597537,0.669035797471743
"County Durham",-4.66563040364593,-0.12835569548225,-55.5626555625184,-49.7418291318922,-122.223799168218,0.510600120336137,0.198728672259166,0.376740064218282
"Cumbria",17.8804962386617,-0.168221694700722,-88.0851475967063,-79.1369666429151,-188.470334261685,0.595135699927973,0.24567106525354,0.545877436948244
"Darlington",-34.8417449941002,-0.0538198860963041,-37.3093401828445,-21.1147019524949,-95.4135913213466,0.321498420598231,0.0621864511131171,0.274025803060163
"Derby",-49.088912896111,-0.0156776944307156,-31.6761683347356,-21.9704740770693,-120.738396112486,0.221818556757295,0.0769803764230536,0.347997876956203
"Derbyshire",0.674646526721801,-0.126847734077634,-64.8647309060509,-86.1378961944048,-158.012744043986,0.630788390236919,0.332493210659071,0.481981443353973
"Devon",7.07141309730147,-0.110665006570553,-76.629072305563,-109.031300500538,-177.989813552175,0.56139397742882,0.387230805303839,0.501940345836924
"Dorset",6.13489791497205,-0.146672641777016,-72.651039134904,-75.8232238200465,-178.120674457999,0.643436312798693,0.263061726146395,0.521341472455116
"East Riding of Yorkshire",23.3501690393311,-0.237135928862787,-71.9961116949712,-63.3264377077188,-176.038838568155,0.630166043902895,0.232718069765128,0.566044554559584
"East Sussex",-12.3077341360625,-0.0812817946391291,-53.7608188214113,-69.4601914249662,-144.5919322655,0.499501323937112,0.268317528472892,0.412625293068299
"Essex",-37.5927010752307,-0.0707315130091502,-43.7490561977637,8.32207788342537,-89.5861926159081,0.339504631032929,-0.0630162389652032,0.250877547794074
"Gloucestershire",8.6802835302233,-0.181592985731155,-79.6950184280026,-75.9589996143578,-172.070496536604,0.679311307722177,0.258964164087554,0.518462630432625
"Greater London",-50.240643679482,-0.0197761684496493,-31.1692887330949,-25.0316997406444,-79.2517648868362,0.235989064944647,0.0915566047621046,0.214094558828195
"Greater Manchester",-45.1691023679836,-0.0312762932629393,-33.4625251875347,-17.1143052479364,-77.7322107935003,0.261179257811805,0.0476575584126774,0.2098936051145
"Hampshire",-8.72689049623302,-0.1121986881341,-66.3709223579712,-80.8753067044861,-163.56264055865,0.548003074864139,0.290437799870748,0.47356316691803
"Hartlepool",0.86549697319681,-0.128116009093984,-60.1379036731675,-237.67615456957,-150.933179669623,0.555025349902827,0.99092780047721,0.452291639494267
"Herefordshire",13.3914651091749,-0.199901655430711,-77.1998274785131,-122.261705159219,-155.903069080688,0.856115360424907,0.492223181742388,0.482186390873117
"Isle of Wight",17.2945720719804,-0.164581859615166,-90.4546409187963,-89.8835547915057,-213.398163203372,0.637626962986453,0.28671807042133,0.607601303329877
"Kent",-13.6918990733207,-0.103730046878104,-54.6119924509645,-35.6727111385799,-133.423698722842,0.478377688936853,0.142708856792874,0.399755295277587
"Kingston upon Hull",-24.6752636724873,-0.057104535632298,-42.6853844950959,-45.522523488354,-120.27902722391,0.33640991044164,0.166143553538311,0.344328111361302
"Lancashire",-12.348858672585,-0.10680040705457,-57.0213608815898,-48.8943581543755,-125.303043054425,0.499518006060737,0.172872813028454,0.369270043119188
"Leicester",-66.5613002984002,0.11117988671925,-11.0144941686667,0.951127493646071,-71.2829081520404,0.0910615218107267,-0.0264195458012736,0.140407314904478
"Leicestershire",-14.2041424238672,-0.0967083853105305,-54.5901987037092,-49.7799845602596,-97.699586897168,0.477615676884879,0.184009972612117,0.287253190783416
"Lincolnshire",-3.46891556613772,-0.125894457175811,-61.6887604340302,-11.1674907205149,-146.419097561878,0.509449583604872,0.0158780368145632,0.440445754682999
"Luton",-41.4338956336434,-0.0746187285572811,-47.5734928051292,-9.30079824390738,-44.18203144253,0.208667894637008,-0.0172180061365977,0.108393141161328
"Medway",-19.8149546161461,-0.0869885568183549,-51.2758476171774,-9.23704319447198,-102.389184595525,0.442437452672776,0.0300646378254685,0.301294063891577
"Merseyside",-32.2120662823187,-0.0563174484898616,-41.0729343473776,-47.9714898987743,-102.921008905083,0.355521232266079,0.170087094279212,0.282659849318999
"Middlesbrough",-36.5567424309797,-0.043074646174523,-38.1015422757917,-15.8412949448906,-111.182406623105,0.346849559999393,0.055663589797951,0.318888939446056
"Milton Keynes",-38.5611111401554,-0.039053237701622,-40.9417224940329,-59.4988622744981,-89.6337376969283,0.357228765985878,0.225385241767618,0.249963022176159
"Norfolk",-18.4698011353588,-0.0860707092795795,-48.2237045948793,-37.7404185847131,-123.503028765425,0.345074980332043,0.125323191881816,0.343938342314101
"North East Lincolnshire",-8.1451431626884,-0.055405754860663,-52.6318183418665,-34.1749365933525,-138.487973409633,0.463242288762435,0.118858722254519,0.420823076788553
"North Lincolnshire",-7.77825179150235,-0.0694084566474992,-44.1677622297395,-44.3662473874801,-76.0132006032452,0.499701055614798,0.1501028033517,0.242991203094694
"North Somerset",-25.548648636945,-0.116446832235616,-59.0118232156221,-17.9048661022837,-96.4957289518618,0.423312700664811,0.00987086851679328,0.267565124729831
"North Yorkshire",4.17450114220097,-0.136060858583996,-76.3053940518185,-89.4531390341397,-185.663917039048,0.645766735906682,0.323292072908808,0.55876426546253
"Northamptonshire",-11.7368027800373,-0.110341452772284,-56.5670887442478,-60.0960223040191,-103.490491833805,0.500733061794511,0.225792230784638,0.312862694031969
"Northumberland",19.6468524240977,-0.190879314730886,-79.1144230550537,-45.3010474354362,-170.226093028822,0.688207380381024,0.148929201352204,0.511147489008181
"Nottingham",-48.0602120397552,-0.0340474586381683,-30.946714621594,-31.0130540482892,-74.9388746130684,0.231534269995093,0.115601919502974,0.212913799743469
"Nottinghamshire",0.167551639373362,-0.135726460961668,-62.44335870037,-58.0572615463246,-129.521368948346,0.563494054759234,0.215756173996307,0.394182119719616
"Oxfordshire",-26.2964080129451,-0.0634597997477892,-53.3220378961267,-55.1520633296147,-113.287822533444,0.411332125286879,0.185713298848578,0.309150909907247
"Peterborough",-49.8875900963173,0.0243944149164378,-24.8603633901022,-68.4516076517479,-104.486257513614,0.252171391475993,0.239504247997006,0.263304187712765
"Plymouth",-12.9065878185561,-0.0677278367953798,-59.580503403475,-59.4282311665098,-124.279668789536,0.484237079340475,0.218482391490824,0.347849040628704
"Portsmouth",-9.17041653370033,-0.11004556723639,-64.2150416754426,-40.9792433302447,-150.744265036335,0.513979537729277,0.123651009413258,0.450945023474536
"Reading",-59.665062515474,-0.000884703468109381,-27.1250806355271,-20.9989065204159,-71.8366911254991,0.15499242354703,0.0631647879156807,0.17895069622035
"Redcar and Cleveland",7.76960638886822,-0.174008183866091,-58.6748580575639,-15.372350934963,-129.233873210039,0.573957186224733,0.0628188805585631,0.409240065368472
"Rutland",NA,NA,NA,NA,NA,NA,NA,NA
"Shropshire",-12.7265142110332,-0.068284772113603,-54.9292936895587,-124.827438404495,-156.106333179378,0.564238389136864,0.458737504930866,0.426731434149957
"Slough",-45.4666141989225,-0.0179060681147662,-35.3799917370164,-9.51458057783905,-82.0328463576509,0.286798906211249,0.0412855348439879,0.222720393774497
"Somerset",36.9020034713878,-0.239709905804239,-105.498242084376,-103.128917225395,-209.754576713698,0.761292947222717,0.344252872416168,0.628620906635535
"South Gloucestershire",-27.9154718436641,-0.0804083942615227,-39.3686052311858,-69.8106208922808,-107.873153421289,0.385439591446701,0.277257248745845,0.318999291738482
"South Yorkshire",-28.7480458387861,-0.0717599473131478,-41.3952311017286,-40.0897053536449,-96.3985402652375,0.329050822000437,0.143579479723813,0.277900749604792
"Southampton",-36.3842544401735,-0.0535166438805445,-34.5676367482735,-48.674076938355,-94.0462969868864,0.301780314124819,0.179562464507647,0.255662901784164
"Southend-on-Sea",-33.2343894920647,-0.0774563736138989,-45.2374210952321,-28.7356628967066,-108.548991763806,0.490147012281616,0.123237904617104,0.318918304886143
