"","(Intercept)","days_since_start","lockdown11","lockdown21","lockdown31","days_since_start:lockdown11","days_since_start:lockdown21","days_since_start:lockdown31"
"Bath and North East Somerset",-47.6749862556402,0.0318550120101165,-28.8064376980141,-48.9280319631411,-41.5162602941168,0.223074112152036,0.18673127307863,0.0847403406433757
"Bedford",-34.1143330389257,0.0168415358198932,-32.1371677377,-21.666181465726,-45.6704517055134,0.27998650417594,0.105177386691637,0.117213934366771
"Blackburn with Darwen",-24.6660333985569,-0.0180734114456864,-39.0471188620534,-35.261834300246,-50.5347388800247,0.352411149544811,0.159874959651173,0.1496033219463
"Blackpool",-24.8726189029151,-0.0120609906767833,-39.2641091941421,-50.5618169403871,-48.9181806897133,0.304033371100529,0.201129721617433,0.133385739938152
"Borough of Halton",-31.9932964405053,0.00538028750545097,-32.0635441623241,-26.8846064447866,-36.804134815545,0.291115023976637,0.122698530228538,0.0951253282481685
"Bracknell Forest",-39.8701427674127,-0.00132364888485185,-34.4931501254128,-28.007369156897,-46.5848164054646,0.303535982540029,0.117478156664975,0.122468463714328
"Brighton and Hove",-48.0589560691493,0.0394987885412439,-28.1100544677718,-36.6299171812997,-49.4190721373721,0.2106415327128,0.134400656294159,0.104006118270714
"Bristol City",-46.1385089130973,0.0247514617098671,-27.7215725276483,-31.2706708507622,-32.1429430857943,0.236989268147231,0.118496642129369,0.0678197653349976
"Buckinghamshire",-33.786172983058,-0.0162859875485991,-39.9131259548538,-30.9645893908568,-59.4839647387561,0.343829222820308,0.133926147060679,0.163978328459571
"Cambridgeshire",-39.2450637534043,0.007837645456796,-31.6180402304755,-12.3496269964587,-47.2663430099711,0.261462551848102,0.0536996131247967,0.120783804886699
"Central Bedfordshire",-31.253719964671,-0.00940758713018419,-39.8456041611002,-27.3305321269693,-48.4518310125528,0.348075460326414,0.125014749535372,0.131722695504692
"Cheshire East",-32.786470773387,-0.00933781273680049,-36.6483556402815,-42.4403256923263,-45.64061655599,0.313316406165878,0.17663001697482,0.121298774162457
"Cheshire West and Chester",-36.7935465536122,0.0121044130506847,-32.9900897336974,-44.999517798566,-41.8545513595082,0.267751363131862,0.181460369184051,0.0973561795093861
"Cornwall",-26.3405954886287,-0.00310173354437113,-41.7547405593962,-47.1909550626262,-59.0306891352543,0.339176190100756,0.184781301923447,0.141230919269093
"County Durham",-30.9329472907013,0.000711831109593343,-36.042368607036,-28.285599898289,-47.2189641527686,0.296265470275583,0.124161106571226,0.132310095700277
"Cumbria",-31.5394988151239,0.00926577136653862,-39.0996850982298,-33.0001446284602,-56.7747070082739,0.312190397870999,0.128430686526963,0.136064390322542
"Darlington",-30.2103112036903,-0.00644151768713835,-35.0573937625159,-12.6137954504655,-49.8673780063616,0.306293655623319,0.0549597755650018,0.14164496954928
"Derby",-31.2402977259925,-0.0118030955675154,-37.7955110141947,-38.0230144954472,-43.6650042219776,0.340170378092894,0.160172788272181,0.117922665596197
"Derbyshire",-27.044579855339,-0.0255563076283708,-40.7797348249851,-38.2296401775016,-42.7699667638729,0.348486433085677,0.164777513352039,0.124388533165385
"Devon",-30.5544512432356,0.00394492469031317,-37.576441666382,-38.0705780788379,-47.9984332856421,0.317994789256453,0.146184092433777,0.118687588022054
"Dorset",-31.9744566370742,-0.00317172846341603,-37.595670561616,-45.8396805120381,-55.4777020363051,0.317803853556898,0.181293551905436,0.141420390650915
"East Riding of Yorkshire",-25.7385054200069,-0.0124356013455318,-40.3516251370645,-23.8058686514613,-44.8688848469796,0.336422994977356,0.0954366178440878,0.121724176588713
"East Sussex",-27.379984879567,-0.0299453270176225,-41.4070937485342,-26.6685724744088,-66.5620603991333,0.35152588074628,0.112985439614384,0.188099055798854
"Essex",-29.4007135783256,-0.0281886734829916,-41.2829688867262,-19.6618401788092,-65.0629997645322,0.364121642680726,0.0891394905914433,0.185912718840863
"Gloucestershire",-32.10933244615,0.00153000433275546,-36.8205193652769,-33.6880324768305,-44.9767366702639,0.321683095841849,0.139528718006754,0.112461337222382
"Greater London",-43.4227365772999,-0.00369017549360786,-33.7071488179396,-27.2098382917281,-46.9673072907146,0.29811759481083,0.113550211462018,0.120813095901411
"Greater Manchester",-34.9182844498284,-0.00346503544425388,-33.9871351379302,-33.3060489616969,-34.8695814918224,0.297555061829313,0.14155245431985,0.0930054469183125
"Hampshire",-32.6090572277437,-0.00672724929193137,-37.8399583467493,-34.4282404499478,-54.4022433743168,0.328004615823485,0.144306418890805,0.14587126521253
"Hartlepool",-23.1843995310912,-0.0197693985550359,-40.4212845291918,-32.0979524901775,-48.9543846159658,0.36904726884378,0.141710128870152,0.144964897315288
"Herefordshire",-22.8317355389747,-0.0113298661298062,-37.0589071712389,-38.6548935954369,-51.2996367489635,0.318906280964522,0.164742955503483,0.134425170201003
"Isle of Wight",-24.7865195473758,-0.0010038922598128,-41.764296959068,-44.5535383148487,-81.1963190262478,0.352884508025235,0.178891139112573,0.209746546436631
"Kent",-29.7483188466028,-0.0119545922788528,-38.4334115593416,-3.2109821151611,-51.2683862660542,0.323449118583841,0.0206339260813386,0.140121888116249
"Kingston upon Hull",-27.2201038437925,-0.00546329604896408,-34.4412453858787,-44.1945493738169,-34.995230888231,0.29559167639186,0.182998678017846,0.0983886340557942
"Lancashire",-27.7718052558978,-0.0166604911862095,-37.1875163510876,-32.250596808376,-48.0283854745999,0.323695833484554,0.143801002563173,0.138383255410926
"Leicester",-37.6632255155095,0.0222290514325979,-28.2520593172012,-24.1888739449642,-40.8593033549701,0.306646652700232,0.104559595060482,0.100827386801309
"Leicestershire",-32.4903629346019,-0.0105986081107554,-36.9312398528545,-28.0925207936018,-40.0796383969129,0.335672811233738,0.120184971391699,0.107987759503988
"Lincolnshire",-26.1883245499239,-0.00663138622333377,-35.1706444270292,-13.8807582556119,-52.5893002436012,0.298327011154339,0.05753450609197,0.145917190476264
"Luton",-30.0079696230164,0.0145443068422186,-35.6527918899343,-7.36891676372134,-45.6654954463123,0.330243283317102,0.0417149784811024,0.118545275314043
"Medway",-25.5648440535349,-0.0505493204679337,-40.5645795642813,6.2731480647938,-56.3257982764,0.358085310343036,-0.0170087372379041,0.174386674136257
"Merseyside",-34.6001584992749,0.000326678381657721,-33.2274725825437,-40.7413850146823,-46.1940245804108,0.290896285483092,0.171852538132534,0.118702827266484
"Middlesbrough",-24.7775557821746,-0.0156060488268052,-38.2503187822853,-30.3023175464667,-55.6498489515404,0.347132697426624,0.130314000973179,0.159498894273924
"Milton Keynes",-36.544927895621,0.0147995019070234,-34.214486066849,-38.5930422349592,-42.17458527378,0.288633354567267,0.167779276730865,0.102440735750374
"Norfolk",-28.6027692056025,0.000796386162116955,-36.3916055057866,-26.9372261028655,-59.3314719569178,0.310545769141248,0.111917664975579,0.154893680377636
"North East Lincolnshire",-21.078689081197,-0.0201537887655357,-36.5843393391043,-48.768171502116,-35.8226125644832,0.343704281872302,0.201442396162514,0.101616583723053
"North Lincolnshire",-19.9147666972149,-0.0320182744930549,-40.403104089066,-18.8803306520688,-36.4584720145985,0.368038312834574,0.0835078358348294,0.109221661578801
"North Somerset",-34.6638850821972,0.013468355314669,-34.0950251230839,-18.1992785740693,-46.6422589589143,0.273562851199347,0.0681252016483434,0.116617041566707
"North Yorkshire",-29.8852781363845,-0.00823404243379814,-37.1899915836104,-33.1910765434183,-48.8305363008345,0.302044203713838,0.127868102954558,0.117086456614071
"Northamptonshire",-29.8098329236374,0.00167858146124706,-34.252632967803,-34.2005275423879,-48.2782248281178,0.310097364754899,0.156152367010095,0.12991250674621
"Northumberland",-24.9258965012534,-0.0413463107034497,-40.7895646464733,-17.761139232581,-54.83542695248,0.334015244277466,0.0724668048781338,0.16076447472448
"Nottingham",-40.7245650248268,0.0166944012594894,-28.4137163235632,-45.5017622877077,-25.1893550626932,0.246366359009616,0.187309039197154,0.054175293823622
