Estimate,Std. Error,t value,Pr(>|t|),2.50%,97.50%,region
0.257425438,0.016297571,15.79532572,2.97E-25,0.224944427,0.28990645,Bath and North East Somerset
0.299536198,0.018057336,16.58806093,1.80E-26,0.263547978,0.335524418,Bedford
0.336901434,0.017904771,18.81629345,1.02E-29,0.301217276,0.372585593,Blackburn with Darwen
0.291795927,0.013075189,22.31676546,2.46E-34,0.265737113,0.317854741,Blackpool
0.296710385,0.018280462,16.23101103,6.30E-26,0.260277476,0.333143294,Borough of Halton
0.306232147,0.01933068,15.84176781,2.52E-25,0.267706157,0.344758137,Bracknell Forest
0.253939245,0.016244843,15.6319912,5.35E-25,0.221563319,0.286315171,Brighton and Hove
0.26496606,0.017333974,15.28593813,1.88E-24,0.230419498,0.299512621,Bristol City
0.33209448,0.021469097,15.46848863,9.67E-25,0.289306632,0.374882329,Buckinghamshire
0.272859907,0.01757738,15.52335517,7.93E-25,0.23782824,0.307891574,Cambridgeshire
0.341201585,0.021584661,15.80759555,2.84E-25,0.298183418,0.384219751,Central Bedfordshire
0.305725343,0.017215027,17.75921357,3.28E-28,0.271415844,0.340034843,Cheshire East
0.281460208,0.016377488,17.18579842,2.28E-27,0.248819922,0.314100495,Cheshire West and Chester
0.337101084,0.012708883,26.52483943,3.23E-39,0.311772317,0.362429852,Cornwall
0.297386123,0.015214409,19.54634695,9.94E-31,0.267063849,0.327708397,County Durham
0.323309887,0.01468704,22.01327756,5.88E-34,0.294038659,0.352581116,Cumbria
0.300918389,0.015682266,19.18845071,3.08E-30,0.269663678,0.3321731,Darlington
0.330435851,0.015311437,21.58098243,2.07E-33,0.299920201,0.360951501,Derby
0.324569217,0.018068286,17.96347551,1.66E-28,0.288559175,0.36057926,Derbyshire
0.322204134,0.013975419,23.05506143,3.06E-35,0.294351165,0.350057103,Devon
0.315938201,0.017084407,18.49278155,2.90E-29,0.281889027,0.349987374,Dorset
0.325398532,0.016736403,19.44256053,1.38E-30,0.292042928,0.358754135,East Riding of Yorkshire
0.32249593,0.016564708,19.46885718,1.27E-30,0.289482515,0.355509345,East Sussex
0.338314341,0.018256224,18.53145209,2.56E-29,0.301929739,0.374698943,Essex
0.324430998,0.017354674,18.69415721,1.51E-29,0.289843183,0.359018813,Gloucestershire
0.298722241,0.016118446,18.53294256,2.55E-29,0.266598224,0.330846258,Greater London
0.297309334,0.01671742,17.78440279,3.01E-28,0.263991564,0.330627105,Greater Manchester
0.323233099,0.019422798,16.64194332,1.49E-26,0.284523519,0.361942679,Hampshire
0.349279725,0.018317683,19.06789894,4.53E-30,0.312772636,0.385786814,Hartlepool
0.306370366,0.013958903,21.94802578,7.10E-34,0.278550312,0.33419042,Herefordshire
0.353426298,0.016196509,21.821141,1.03E-33,0.321146703,0.385705894,Isle of Wight
0.313173818,0.016653126,18.80570727,1.05E-29,0.279984185,0.346363451,Kent
0.290459809,0.013234641,21.94693572,7.12E-34,0.264083208,0.31683641,Kingston upon Hull
0.307813988,0.016159801,19.04812938,4.83E-30,0.27560755,0.340020426,Lancashire
0.332463065,0.015262365,21.78319412,1.15E-33,0.302045215,0.362880915,Leicester
0.327947907,0.019099246,17.17072539,2.40E-27,0.289883165,0.366012649,Leicestershire
0.291350554,0.014359491,20.28975501,9.90E-32,0.26273213,0.319968979,Lincolnshire
0.346315692,0.016814795,20.59589183,3.89E-32,0.312803855,0.37982753,Luton
0.307860061,0.017540581,17.55130314,6.59E-28,0.272901733,0.342818389,Medway
0.292348804,0.015005654,19.48257714,1.22E-30,0.262442579,0.322255028,Merseyside
0.33269343,0.014440138,23.03949149,3.19E-35,0.303914277,0.361472583,Middlesbrough
0.306785023,0.018843663,16.28054063,5.29E-26,0.269229657,0.34434039,Milton Keynes
0.311975919,0.015772411,19.77984926,4.79E-31,0.280541549,0.34341029,Norfolk
0.32223485,0.014950951,21.55279979,2.25E-33,0.292437648,0.352032052,North East Lincolnshire
0.336256412,0.0165512,20.31613511,9.13E-32,0.303269918,0.369242906,North Lincolnshire
0.288325091,0.015660568,18.41089657,3.79E-29,0.257113625,0.319536558,North Somerset
0.294683171,0.014238304,20.69650717,2.87E-32,0.266306271,0.323060071,North Yorkshire
0.31329668,0.017492691,17.91014813,1.98E-28,0.278433798,0.348159562,Northamptonshire
0.291196978,0.015055413,19.34168007,1.90E-30,0.261191583,0.321202372,Northumberland
0.266133243,0.013449071,19.78822539,4.66E-31,0.239329284,0.292937203,Nottingham
0.317658261,0.017075524,18.60313353,2.03E-29,0.28362679,0.351689732,Nottinghamshire
0.300058359,0.01745157,17.19377438,2.22E-27,0.26527743,0.334839288,Oxfordshire
0.299121541,0.014992624,19.95124668,2.81E-31,0.269241284,0.329001797,Peterborough
0.306124643,0.01332509,22.97355194,3.84E-35,0.279567777,0.332681509,Plymouth
0.291550204,0.016777204,17.37775884,1.19E-27,0.258113285,0.324987124,Portsmouth
0.27866511,0.018486153,15.07426221,4.09E-24,0.241822262,0.315507959,Reading
0.323816691,0.01265426,25.5895403,3.45E-38,0.298596787,0.349036594,Redcar and Cleveland
0.290050672,0.014711656,19.71570472,1.63E-30,0.260716463,0.319384882,Rutland
0.317842553,0.015398238,20.64148917,3.39E-32,0.28715391,0.348531196,Shropshire
0.295758209,0.015793768,18.72625996,1.36E-29,0.264281274,0.327235143,Slough
0.302423442,0.015043882,20.10275287,1.76E-31,0.272441028,0.332405856,Somerset
0.290613386,0.020105816,14.45419535,4.11E-23,0.250542553,0.330684218,South Gloucestershire
0.308812237,0.016009439,19.28938474,2.24E-30,0.27690547,0.340719004,South Yorkshire
0.261771662,0.012946485,20.21951583,1.23E-31,0.235969354,0.28757397,Southampton
0.324983874,0.018174517,17.88129336,2.18E-28,0.288762114,0.361205635,Southend-on-Sea
0.34593175,0.017877439,19.35018454,1.85E-30,0.310302065,0.381561436,Staffordshire
0.325751758,0.016402242,19.86019716,3.73E-31,0.293062137,0.358441379,Stockton-on-Tees
0.318779372,0.013842785,23.02855707,3.29E-35,0.29119074,0.346368003,Stoke-on-Trent
0.316383573,0.016246926,19.47344164,1.25E-30,0.284003496,0.348763651,Suffolk
0.31335811,0.0204104,15.35286466,1.47E-24,0.272680242,0.354035979,Surrey
0.326796081,0.021670557,15.08018832,4.00E-24,0.283606723,0.369985439,Swindon
0.345563166,0.016635724,20.77235479,2.29E-32,0.312408216,0.378718117,Thurrock
0.329821544,0.011871068,27.78364561,1.48E-40,0.30616254,0.353480548,Torbay
0.281859508,0.015210843,18.53017028,2.57E-29,0.251544342,0.312174674,Tyne and Wear
0.295850355,0.019528231,15.14988004,3.10E-24,0.256930647,0.334770063,Warrington
0.323647756,0.018842565,17.17641754,2.35E-27,0.286094579,0.361200933,Warwickshire
0.333783825,0.024494132,13.62709318,9.61E-22,0.28496709,0.382600561,West Berkshire
0.347651811,0.017052028,20.38771079,7.34E-32,0.313667168,0.381636453,West Midlands
0.322158061,0.018117977,17.78112793,3.05E-28,0.286048986,0.358267137,West Sussex
0.30885831,0.016994097,18.17444714,8.25E-29,0.274989124,0.342727496,West Yorkshire
0.323402033,0.018317528,17.65533145,4.65E-28,0.286895252,0.359908815,Wiltshire
0.308781522,0.021144394,14.6034698,2.35E-23,0.266640805,0.350922238,Windsor and Maidenhead
0.325137451,0.0250538,12.97757022,1.22E-20,0.275205299,0.375069603,Wokingham
0.349202936,0.016981494,20.56373507,4.29E-32,0.315358868,0.383047004,Worcestershire
0.22477501,0.013433764,16.73209456,1.09E-26,0.198001557,0.251548463,York
