,Estimate,Std. Error,t value,Pr(>|t|),2.50%,97.50%,region
(Intercept),-66.01648903,1.210917915,-54.51772428,6.81E-61,-68.42984495,-63.6031331,Bath and North East Somerset
dayFriday,-13.52054474,1.455586126,-9.28872878,5.36E-14,-16.4215237,-10.61956577,Bath and North East Somerset
dayMonday,-14.37615439,1.45607873,-9.873198538,4.38E-15,-17.27811511,-11.47419366,Bath and North East Somerset
daySaturday,2.174092105,1.420568042,1.530438557,0.130230369,-0.65709592,5.00528013,Bath and North East Somerset
dayThursday,-14.22772368,1.421315746,-10.01024841,2.44E-15,-17.06040188,-11.39504549,Bath and North East Somerset
dayTuesday,-14.64416487,1.452605036,-10.0813122,1.80E-15,-17.53920254,-11.74912721,Bath and North East Somerset
dayWednesday,-14.90159031,1.452422174,-10.25982017,8.45E-16,-17.79626353,-12.00691709,Bath and North East Somerset
bank_holiday,-13.78762632,1.910677318,-7.216093576,4.13E-10,-17.59560072,-9.979651915,Bath and North East Somerset
days_since_lockdown,0.257425438,0.016297571,15.79532572,2.97E-25,0.224944427,0.28990645,Bath and North East Somerset
(Intercept),-48.34741889,1.341669418,-36.03526937,3.04E-48,-51.02136218,-45.67347559,Bedford
dayFriday,-21.96194495,1.612756212,-13.6176471,9.97E-22,-25.17616344,-18.74772645,Bedford
dayMonday,-23.44388688,1.613302006,-14.53161701,3.07E-23,-26.65919314,-20.22858061,Bedford
daySaturday,-4.367130469,1.573956975,-2.774618709,0.007013574,-7.504022195,-1.230238742,Bedford
dayThursday,-23.10139141,1.574785413,-14.66954876,1.83E-23,-26.23993421,-19.9628486,Bedford
dayTuesday,-23.45221085,1.609453233,-14.57153919,2.64E-23,-26.65984652,-20.24457519,Bedford
dayWednesday,-23.56992887,1.609250625,-14.6465246,2.00E-23,-26.77716074,-20.362697,Bedford
bank_holiday,-18.63389594,2.116986868,-8.802083858,4.38E-13,-22.85304468,-14.41474719,Bedford
days_since_lockdown,0.299536198,0.018057336,16.58806093,1.80E-26,0.263547978,0.335524418,Bedford
(Intercept),-46.73140953,1.330333759,-35.12758299,1.77E-47,-49.38276089,-44.08005817,Blackburn with Darwen
dayFriday,-21.34785914,1.599130162,-13.34966949,2.82E-21,-24.53492096,-18.16079732,Blackburn with Darwen
