,Estimate,Std. Error,t value,Pr(>|t|),2.50%,0.975,region
days_since_lockdown,0.246938776,0.057567663,4.29E+00,0.000357496,0.126854735,0.367022816,Bath and North East Somerset
days_since_lockdown,0.13877551,0.037592036,3.69E+00,0.001445145,0.060359897,0.217191124,Bedford
days_since_lockdown,0.16122449,0.029658616,5.44E+00,2.5442E-05,0.099357702,0.223091278,Blackburn with Darwen
days_since_lockdown,0.224489796,0.037241403,6.03E+00,6.81282E-06,0.14680559,0.302174002,Blackpool
days_since_lockdown,0.134693878,0.042131861,3.20E+00,0.004527516,0.046808356,0.2225794,Borough of Halton
days_since_lockdown,0.151020408,0.04945349,3.05E+00,0.006267467,0.047862236,0.25417858,Bracknell Forest
days_since_lockdown,0.22244898,0.058125659,3.83E+00,0.001053885,0.101200979,0.34369698,Brighton and Hove
days_since_lockdown,0.187755102,0.030802132,6.10E+00,5.87693E-06,0.12350298,0.252007224,Bristol City
days_since_lockdown,0.140816327,0.032054462,4.39E+00,0.000280745,0.07395189,0.207680763,Buckinghamshire
days_since_lockdown,0.079591837,0.033453207,2.38E+00,0.02742197,0.00980967,0.149374003,Cambridgeshire
days_since_lockdown,0.140816327,0.039767127,3.54E+00,0.00205065,0.057863553,0.2237691,Central Bedfordshire
days_since_lockdown,0.2,0.03775786,5.30E+00,3.48661E-05,0.121238485,0.278761515,Cheshire East
days_since_lockdown,0.212244898,0.037503297,5.66E+00,1.54037E-05,0.134014391,0.290475405,Cheshire West and Chester
days_since_lockdown,0.228571429,0.052876444,4.32E+00,0.000330812,0.118273098,0.338869759,Cornwall
days_since_lockdown,0.165306122,0.03736422,4.42E+00,0.000261066,0.087365725,0.24324652,County Durham
days_since_lockdown,0.17755102,0.048048116,3.70E+00,0.001432897,0.077324408,0.277777633,Cumbria
days_since_lockdown,0.091836735,0.036535742,2.51E+00,0.02062466,0.015624511,0.168048958,Darlington
days_since_lockdown,0.183673469,0.029644569,6.20E+00,4.72384E-06,0.121835981,0.245510958,Derby
days_since_lockdown,0.179591837,0.02991032,6.00E+00,7.17498E-06,0.117200003,0.241983671,Derbyshire
days_since_lockdown,0.191836735,0.050905994,3.77E+00,0.001208251,0.085648692,0.298024778,Devon
days_since_lockdown,0.22244898,0.0454603,4.89E+00,8.78808E-05,0.127620455,0.317277504,Dorset
