"","Estimate","Std. Error","t value","Pr(>|t|)","2.5 %","97.5 %","region"
"(Intercept)",-46.5836734693878,1.4229813368586,-32.7366721282703,7.56752448299711e-19,-49.5519605242163,-43.6153864145592,"Bath and North East Somerset"
"dayFriday",-3.25612244897959,1.68968691110494,-1.92705667989718,0.0682994427890902,-6.78074758286806,0.268502684908872,"Bath and North East Somerset"
"dayMonday",-4.74693877551021,1.68674234846467,-2.81426430055013,0.0107134973973061,-8.26542165936289,-1.22845589165752,"Bath and North East Somerset"
"daySaturday",4.49693877551021,1.68674234846467,2.66604960716346,0.0148384927944658,0.97845589165752,8.01542165936289,"Bath and North East Somerset"
"dayThursday",-3.2591836734694,1.6945831453934,-1.92329522592577,0.0687967386116585,-6.79402217311285,0.275654826174049,"Bath and North East Somerset"
"dayTuesday",-4.24387755102041,1.68968691110494,-2.51163545336645,0.0207121026318584,-7.76850268490887,-0.719252417131942,"Bath and North East Somerset"
"dayWednesday",-2.49081632653061,1.6945831453934,-1.46986964511108,0.157153728666971,-6.02565482617406,1.04402217311284,"Bath and North East Somerset"
"days_since_lockdown",0.246938775510204,0.0575676629576795,4.28953969682146,0.000357495527274972,0.126854734835964,0.367022816184445,"Bath and North East Somerset"
"(Intercept)1",-16.3734693877551,0.929215520057397,-17.6207446327884,1.19398524587599e-13,-18.3117789972269,-14.4351597782832,"Bedford"
"dayFriday1",-17.2224489795918,1.10337589198653,-15.608868296537,1.15282465966159e-12,-19.5240507588701,-14.9208472003136,"Bedford"
"dayMonday1",-18.1387755102041,1.10145307456494,-16.4680420156516,4.25054398199676e-13,-20.4363663626252,-15.841184657783,"Bedford"
"daySaturday1",-2.11122448979592,1.10145307456494,-1.91676299113317,0.069667963960391,-4.40881534221699,0.186366362625151,"Bedford"
"dayThursday1",-17.3336734693877,1.1065731629365,-15.6642814501209,1.07945464852879e-12,-19.6419446389987,-15.0254022997768,"Bedford"
"dayTuesday1",-17.7775510204082,1.10337589198653,-16.1119625229451,6.39155922929311e-13,-20.0791527996864,-15.4759492411299,"Bedford"
"dayWednesday1",-15.9163265306122,1.1065731629365,-14.3834380443272,5.20501735943681e-12,-18.2245977002231,-13.6080553610013,"Bedford"
"days_since_lockdown1",0.138775510204081,0.0375920361624705,3.6916199379119,0.00144514537033975,0.0603598968608711,0.217191123547291,"Bedford"
"(Intercept)2",-21.9265306122449,0.733113947469979,-29.908762052495,4.4530846747192e-18,-23.4557795093481,-20.3972817151417,"Blackburn with Darwen"
"dayFriday2",-9.67755102040816,0.870519527770578,-11.1169832630781,5.1828138816423e-10,-11.4934229354687,-7.86167910534759,"Blackburn with Darwen"
"dayMonday2",-8.91122448979592,0.869002501591203,-10.254544116362,2.06975073148851e-09,-10.7239319436978,-7.09851703589407,"Blackburn with Darwen"
"daySaturday2",-1.33877551020408,0.869002501591203,-1.54058878743466,0.139090508970103,-3.15148296410593,0.473931943697765,"Blackburn with Darwen"
"dayThursday2",-9.76632653061223,0.873042046902753,-11.1865477330213,4.6510677404134e-10,-11.5874603283775,-7.94519273284692,"Blackburn with Darwen"
"dayTuesday2",-9.32244897959183,0.870519527770578,-10.7090635904135,9.87780836449563e-10,-11.1383208946524,-7.50657706453126,"Blackburn with Darwen"
