,Estimate,Std. Error,t value,Pr(>|t|),2.50%,97.50%,region
days_since_lockdown,0.137434487,0.012009351,11.44395582,1.06E-19,0.113599249,0.161269725,Bath and North East Somerset
days_since_lockdown,0.160048778,0.012855829,12.44951049,7.97E-22,0.134533516,0.18556404,Bedford
days_since_lockdown,0.15930673,0.011382279,13.99603103,5.20E-25,0.136716057,0.181897403,Blackburn with Darwen
days_since_lockdown,0.145327176,0.009999921,14.53283185,4.34E-26,0.1254801,0.165174251,Blackpool
days_since_lockdown,0.127076955,0.010426494,12.18788948,2.82E-21,0.106383251,0.147770659,Borough of Halton
days_since_lockdown,0.142981682,0.012958404,11.03389569,7.99E-19,0.117262837,0.168700528,Bracknell Forest
days_since_lockdown,0.161413523,0.010510212,15.35778016,1.02E-27,0.140553662,0.182273384,Brighton and Hove
days_since_lockdown,0.111431685,0.009134315,12.1992382,2.67E-21,0.093302598,0.129560772,Bristol City
days_since_lockdown,0.17192154,0.013355313,12.87289451,1.04E-22,0.14541494,0.19842814,Buckinghamshire
days_since_lockdown,0.152145711,0.011464366,13.27118428,1.57E-23,0.129392119,0.174899304,Cambridgeshire
days_since_lockdown,0.1487572,0.012980753,11.45982833,9.83E-20,0.122993999,0.174520401,Central Bedfordshire
days_since_lockdown,0.135986716,0.011173843,12.17009341,3.08E-21,0.11380973,0.158163702,Cheshire East
days_since_lockdown,0.133672357,0.010964777,12.19106987,2.78E-21,0.111910311,0.155434404,Cheshire West and Chester
days_since_lockdown,0.163945825,0.012071051,13.58173569,3.62E-24,0.13998813,0.18790352,Cornwall
days_since_lockdown,0.161351253,0.012022594,13.42066891,7.73E-24,0.137489732,0.185212774,County Durham
days_since_lockdown,0.168958539,0.010836563,15.59152453,3.58E-28,0.147450961,0.190466117,Cumbria
days_since_lockdown,0.161776763,0.012913341,12.52787817,5.46E-22,0.136147356,0.18740617,Darlington
days_since_lockdown,0.128493591,0.011674361,11.00647773,9.15E-19,0.105323217,0.151663966,Derby
days_since_lockdown,0.125328213,0.012226912,10.25019371,3.87E-17,0.101061178,0.149595249,Derbyshire
days_since_lockdown,0.150033729,0.012827605,11.69616075,3.09E-20,0.124574484,0.175492974,Devon
days_since_lockdown,0.163764205,0.011889841,13.77345597,1.47E-24,0.140166162,0.187362249,Dorset
days_since_lockdown,0.139100202,0.013020147,10.68345883,4.51E-18,0.113258815,0.16494159,East Riding of Yorkshire
days_since_lockdown,0.18308339,0.012459336,14.69447385,2.07E-26,0.158355056,0.207811723,East Sussex
days_since_lockdown,0.183674952,0.012201061,15.05401483,4.02E-27,0.159459223,0.207890681,Essex
days_since_lockdown,0.140106896,0.012633972,11.0896954,6.07E-19,0.11503196,0.165181833,Gloucestershire
days_since_lockdown,0.134321,0.008521784,15.76207431,1.68E-28,0.117407617,0.151234384,Greater London
days_since_lockdown,0.112972861,0.009570858,11.80383823,1.83E-20,0.093977357,0.131968365,Greater Manchester
days_since_lockdown,0.164983654,0.013575347,12.15318168,3.34E-21,0.138040349,0.191926959,Hampshire
days_since_lockdown,0.1534897,0.01278244,12.00785606,6.77E-21,0.128120095,0.178859305,Hartlepool
days_since_lockdown,0.150308754,0.012465062,12.05840371,5.29E-21,0.125569056,0.175048452,Herefordshire
days_since_lockdown,0.235815474,0.013422109,17.56918238,6.72E-32,0.209176304,0.262454644,Isle of Wight
days_since_lockdown,0.153562348,0.014165654,10.84047018,2.08E-18,0.125447446,0.181677249,Kent
days_since_lockdown,0.121861865,0.011426021,10.66529332,4.94E-18,0.099184376,0.144539354,Kingston upon Hull
days_since_lockdown,0.149291682,0.011731077,12.72617064,2.11E-22,0.126008742,0.172574621,Lancashire
days_since_lockdown,0.142986871,0.010385841,13.76748129,1.51E-24,0.122373852,0.163599891,Leicester
days_since_lockdown,0.122121322,0.01266372,9.643400534,7.90E-16,0.096987344,0.1472553,Leicestershire
days_since_lockdown,0.165419542,0.013208275,12.52393188,5.57E-22,0.139204772,0.191634313,Lincolnshire
days_since_lockdown,0.156463079,0.012096204,12.9348909,7.76E-23,0.132455463,0.180470696,Luton
days_since_lockdown,0.148663795,0.013120167,11.33093781,1.85E-19,0.122623896,0.174703695,Medway
days_since_lockdown,0.143536921,0.010229851,14.03118349,4.41E-25,0.123233498,0.163840344,Merseyside
days_since_lockdown,0.168942971,0.011504709,14.68468017,2.16E-26,0.146109309,0.191776634,Middlesbrough
days_since_lockdown,0.139987546,0.010915338,12.82484702,1.31E-22,0.118323621,0.161651471,Milton Keynes
