"","Estimate","Std. Error","t value","Pr(>|t|)","2.5 %","97.5 %","mobility","region"
"eval(parse(text = mobility_type))9",0.00695684501988658,0.00102523330949996,6.78562133655185,3.92608447166715e-11,0.00494164502866348,0.00897204501110967,"grocery_pharmacy_av","East Midlands"
"eval(parse(text = mobility_type))36",-0.0343621700620857,0.0016490424325568,-20.8376506169147,7.98380971836821e-67,-0.0376035301162531,-0.0311208100079183,"residential_av","East Midlands"
"eval(parse(text = mobility_type))",0.00824325725091227,0.0003698189431216,22.2899810954297,2.62214516401103e-73,0.00751634063200504,0.00897017386981951,"retail_recreation_av","East Midlands"
"eval(parse(text = mobility_type))18",0.012036199249885,0.000671108322600548,17.9348085019191,7.09467455824379e-54,0.0107170678158175,0.0133553306839524,"transit_stations_av","East Midlands"
"eval(parse(text = mobility_type))27",0.0120003515367759,0.000904645040054285,13.2652598593321,8.20810151729324e-34,0.0102221800124167,0.0137785230611352,"workplaces_av","East Midlands"
"eval(parse(text = mobility_type))10",0.0078692936950227,0.000954811180112897,8.24172764094806,2.16424847459758e-15,0.00599251553735467,0.00974607185269073,"grocery_pharmacy_av","East of England"
"eval(parse(text = mobility_type))37",-0.0270088320904801,0.00163928929265491,-16.475940037855,1.89219433187401e-47,-0.0302310213595564,-0.0237866428214038,"residential_av","East of England"
"eval(parse(text = mobility_type))1",0.00726207557878395,0.000351727414595046,20.6468852794571,5.68969048590404e-66,0.00657071969301921,0.00795343146454869,"retail_recreation_av","East of England"
"eval(parse(text = mobility_type))19",0.0105287311730304,0.000660256859276417,15.9464169513801,3.82700638210084e-45,0.00923092939007062,0.0118265329559902,"transit_stations_av","East of England"
"eval(parse(text = mobility_type))28",0.00919930860430929,0.000867844931008773,10.6001755332213,1.95521171304404e-23,0.00749347142447275,0.0109051457841458,"workplaces_av","East of England"
"eval(parse(text = mobility_av_types[i]))1",0.00672616006574063,0.00105062858427059,6.40203414074285,4.08901740605573e-10,0.00466104308779786,0.00879127704368341,"grocery_pharmacy_av","England"
"eval(parse(text = mobility_av_types[i]))4",-0.0285332230766127,0.00192032702210642,-14.8585229224731,1.81771996500249e-40,-0.0323078204899388,-0.0247586256632866,"residential_av","England"
"eval(parse(text = mobility_av_types[i]))",0.00690138129108132,0.000414847270532355,16.6359568479867,3.7753087038724e-48,0.00608595693041216,0.00771680565175048,"retail_recreation_av","England"
"eval(parse(text = mobility_av_types[i]))2",0.00900848676060228,0.00067050475221134,13.4353809289078,1.64795871923615e-34,0.00769054170531494,0.0103264318158896,"transit_stations_av","England"
"eval(parse(text = mobility_av_types[i]))3",0.010664871552516,0.000979304153365878,10.890254591345,1.65705014442774e-24,0.00873994997322181,0.0125897931318102,"workplaces_av","England"
"eval(parse(text = mobility_type))11",0.0103843520683073,0.00132546584758211,7.83449236904159,3.85954065039751e-14,0.00777901459081469,0.0129896895457998,"grocery_pharmacy_av","London"
"eval(parse(text = mobility_type))38",-0.028260012548154,0.00179830332135462,-15.7148197484651,3.85288802693786e-44,-0.0317947600088835,-0.0247252650874245,"residential_av","London"
"eval(parse(text = mobility_type))2",0.0104162507268056,0.000592739705380844,17.5730605394707,2.83509093430506e-52,0.00925116075361343,0.0115813406999978,"retail_recreation_av","London"
"eval(parse(text = mobility_type))20",0.0149954023703416,0.000954980617934981,15.7023106948151,4.36367276945972e-44,0.0131182911654594,0.0168725135752238,"transit_stations_av","London"
"eval(parse(text = mobility_type))29",0.0150953873787117,0.00107675702099689,14.0193071271882,6.28045935730186e-37,0.0129789123099093,0.017211862447514,"workplaces_av","London"
"eval(parse(text = mobility_type))12",0.00378601711579532,0.00125555148579252,3.01542163633818,0.00272121607373339,0.0013181034031758,0.00625393082841485,"grocery_pharmacy_av","North East"
"eval(parse(text = mobility_type))39",-0.0361340992474359,0.00261092454018406,-13.8395800764462,3.52024835670429e-36,-0.0412661360840358,-0.0310020624108359,"residential_av","North East"
"eval(parse(text = mobility_type))3",0.00901606369931346,0.000539303055275532,16.7179911389657,1.65026644007722e-48,0.00795600887843769,0.0100761185201892,"retail_recreation_av","North East"
"eval(parse(text = mobility_type))21",0.00789617826921715,0.0010438646760143,7.56436964546639,2.46254617161216e-13,0.00584435643856661,0.00994800009986768,"transit_stations_av","North East"
"eval(parse(text = mobility_type))30",0.00816735907737336,0.00130358689727385,6.2652970004942,9.18821665514421e-10,0.00560502689444217,0.0107296912603046,"workplaces_av","North East"
"eval(parse(text = mobility_type))13",0.00552664465061091,0.00106350978688283,5.19660911331114,3.16709335078873e-07,0.00343620836324792,0.00761708093797389,"grocery_pharmacy_av","North West"
"eval(parse(text = mobility_type))40",-0.0314362240252101,0.00195254058586389,-16.1001641926441,8.22447904599112e-46,-0.0352741404633863,-0.027598307587034,"residential_av","North West"
"eval(parse(text = mobility_type))4",0.00727715338962032,0.000381916129876295,19.0543232410148,7.42822968285211e-59,0.0065264585239316,0.00802784825530903,"retail_recreation_av","North West"
"eval(parse(text = mobility_type))22",0.00883045281755299,0.000612829413980052,14.4093162242379,1.45213355184054e-38,0.00762587448574264,0.0100350311493633,"transit_stations_av","North West"
"eval(parse(text = mobility_type))31",0.0106280134004534,0.00100443473729847,10.5810890501841,2.29695709988813e-23,0.00865369511111172,0.012602331689795,"workplaces_av","North West"
"eval(parse(text = mobility_type))14",0.00769866313169787,0.000960854051969159,8.01231270859539,1.11094224988542e-14,0.00581000709686875,0.00958731916652699,"grocery_pharmacy_av","South East"
"eval(parse(text = mobility_type))41",-0.027765058823979,0.0015746596978602,-17.6324185230045,1.5490884237376e-52,-0.0308602120733939,-0.024669905574564,"residential_av","South East"
"eval(parse(text = mobility_type))5",0.00721433882142167,0.000342735913082313,21.0492643053984,9.0426716444064e-68,0.00654065664329172,0.00788802099955163,"retail_recreation_av","South East"
"eval(parse(text = mobility_type))23",0.00919122391214086,0.000585578165404638,15.6959812628766,4.64734213030964e-44,0.0080402106716918,0.0103422371525899,"transit_stations_av","South East"
"eval(parse(text = mobility_type))32",0.0100445149467456,0.000865810792334631,11.6012817530963,3.36615872918605e-27,0.0083426760726608,0.0117463538208303,"workplaces_av","South East"
"eval(parse(text = mobility_type))15",0.00942481651612352,0.000943787264613091,9.986166236294,3.19975169898645e-21,0.00756970698179479,0.0112799260504523,"grocery_pharmacy_av","South West"
"eval(parse(text = mobility_type))42",-0.0300659028798194,0.00215628316494682,-13.9433926715098,1.30198761044687e-36,-0.0343042960092766,-0.0258275097503621,"residential_av","South West"
"eval(parse(text = mobility_type))6",0.00699887631722872,0.000396185817259897,17.665640748158,1.10434761529153e-52,0.00622013293455979,0.00777761969989765,"retail_recreation_av","South West"
"eval(parse(text = mobility_type))24",0.00838991692240041,0.000561896095941285,14.9314383620083,8.8921333195491e-41,0.00728545318998282,0.00949438065481801,"transit_stations_av","South West"
"eval(parse(text = mobility_type))33",0.00988661080763674,0.00109021452483093,9.0685003570008,4.59810088559264e-18,0.00774368365094678,0.0120295379643267,"workplaces_av","South West"
"eval(parse(text = mobility_type))16",0.00655606288296884,0.00115833286683097,5.65991268201281,2.80114730923552e-08,0.00427924222035333,0.00883288354558435,"grocery_pharmacy_av","West Midlands"
"eval(parse(text = mobility_type))43",-0.0290141473137665,0.002146217677459,-13.5187346644715,7.48214865745174e-35,-0.0332327557072918,-0.0247955389202413,"residential_av","West Midlands"
"eval(parse(text = mobility_type))7",0.00752166443431502,0.000450787925724436,16.6855942785676,2.28838468946312e-48,0.00663559507278946,0.00840773379584057,"retail_recreation_av","West Midlands"
