,Estimate,Std. Error,t value,Pr(>|t|),2.50%,97.50%,mobility,region,,,,,,retail_recreation_av,,,,grocery_pharmacy_av,,,,transit_stations_av,,,,workplaces_av,,,
eval(parse(text = mobility_av_types[i])),0.006901381,0.000414847,16.63595685,3.78E-48,0.006085957,0.007716806,retail_recreation_av,England,,,,,,Estimate,Pr(>|t|),2.50%,97.50%,coef,p,lower,upper,coef,p,lower,upper,coef,p,lower,upper
eval(parse(text = mobility_av_types[i]))1,0.00672616,0.001050629,6.402034141,4.09E-10,0.004661043,0.008791277,grocery_pharmacy_av,England,,,,,England,,,,,,,,,,,,,,,,
eval(parse(text = mobility_av_types[i]))2,0.001309306,0.00029929,4.374710679,1.53E-05,0.000721021,0.00189759,parks_av,England,,,,,East Midlands,,,,,,,,,,,,,,,,
eval(parse(text = mobility_av_types[i]))3,0.009008487,0.000670505,13.43538093,1.65E-34,0.007690542,0.010326432,transit_stations_av,England,,,,,East of England,,,,,,,,,,,,,,,,
eval(parse(text = mobility_av_types[i]))4,0.010664872,0.000979304,10.89025459,1.66E-24,0.00873995,0.012589793,workplaces_av,England,,,,,London,,,,,,,,,,,,,,,,
eval(parse(text = mobility_type)),0.008243257,0.000369819,22.2899811,2.62E-73,0.007516341,0.008970174,retail_recreation_av,East Midlands,,,,,North East,,,,,,,,,,,,,,,,
eval(parse(text = mobility_type))1,0.007262076,0.000351727,20.64688528,5.69E-66,0.00657072,0.007953431,retail_recreation_av,East of England,,,,,North West,,,,,,,,,,,,,,,,
eval(parse(text = mobility_type))2,0.010416251,0.00059274,17.57306054,2.84E-52,0.009251161,0.011581341,retail_recreation_av,London,,,,,South East,,,,,,,,,,,,,,,,
eval(parse(text = mobility_type))3,0.009016064,0.000539303,16.71799114,1.65E-48,0.007956009,0.010076119,retail_recreation_av,North East,,,,,South West,,,,,,,,,,,,,,,,
eval(parse(text = mobility_type))4,0.007277153,0.000381916,19.05432324,7.43E-59,0.006526459,0.008027848,retail_recreation_av,North West,,,,,West Midlands,,,,,,,,,,,,,,,,
eval(parse(text = mobility_type))5,0.007214339,0.000342736,21.04926431,9.04E-68,0.006540657,0.007888021,retail_recreation_av,South East,,,,,Yorkshire and The Humber,,,,,,,,,,,,,,,,
