"","start_date","end_date","dtw_lag"
"results",2020-05-01,2020-09-01,44.1163273834483
"results.1",2020-05-08,2020-09-08,57.7486650155016
"results.2",2020-05-15,2020-09-15,58.5475103431453
"results.3",2020-05-22,2020-09-22,57.7401717417995
"results.4",2020-05-29,2020-09-29,77.1316868619701
"results.5",2020-06-05,2020-10-06,77.6025724120948
"results.6",2020-06-12,2020-10-13,77.0116175019584
"results.7",2020-06-19,2020-10-20,74.514153678725
"results.8",2020-06-26,2020-10-27,71.967768713112
"results.9",2020-07-03,2020-11-03,71.7953380058366
"results.10",2020-07-10,2020-11-10,71.3685009205791
"results.11",2020-07-17,2020-11-17,68.8525586361563
"results.12",2020-07-24,2020-11-24,63.7189501322946
"results.13",2020-07-31,2020-12-01,56.3181267819359
"results.14",2020-08-07,2020-12-08,47.5946631400305
"results.15",2020-08-14,2020-12-15,36.4756736946843
"results.16",2020-08-21,2020-12-22,27.5747320707198
"results.17",2020-08-28,2020-12-29,23.3114207687961
"results.18",2020-09-04,2021-01-05,43.4962758150718
"results.19",2020-09-11,2021-01-12,45.8187963991313
"results.20",2020-09-18,2021-01-19,45.1024137986124
"results.21",2020-09-25,2021-01-26,42.3451601479703
"results.22",2020-10-02,2021-02-02,40.446632005842
"results.23",2020-10-09,2021-02-09,36.7591318633561
"results.24",2020-10-16,2021-02-16,32.6649391524201
"results.25",2020-10-23,2021-02-23,30.7681956405186
"results.26",2020-10-30,2021-03-02,32.834468075246
"results.27",2020-11-06,2021-03-09,34.2667512876223
"results.28",2020-11-13,2021-03-16,37.1639091871384
"results.29",2020-11-20,2021-03-23,39.2943760124333
"results.30",2020-11-27,2021-03-30,40.9428527761344
"results.31",2020-12-04,2021-04-06,22.1808137001736
"results.32",2020-12-11,2021-04-13,24.3754336277144
"results.33",2020-12-18,2021-04-20,28.9460594113207
"results.34",2020-12-25,2021-04-27,32.290597854724
"results.35",2021-01-01,2021-05-04,27.1404866102047
"results.36",2021-01-08,2021-05-11,31.4571699312432
"results.37",2021-01-15,2021-05-18,34.8704366445499
"results.38",2021-01-22,2021-05-25,38.7831473065068
"results.39",2021-01-29,2021-06-01,48.7354281331826
"results.40",2021-02-05,2021-06-08,62.665805131241
"results.41",2021-02-12,2021-06-15,66.4444040901868
"results.42",2021-02-19,2021-06-22,65.2157099845863
"results.43",2021-02-26,2021-06-29,63.4444274947661
"results.44",2021-03-05,2021-07-06,64.5048876451626
"results.45",2021-03-12,2021-07-13,66.2604230784735
"results.46",2021-03-19,2021-07-20,67.7434008423168
"results.47",2021-03-26,2021-07-27,69.1381303640321
"results.48",2021-04-02,2021-08-03,70.384418801155
"results.49",2021-04-09,2021-08-10,78.0723660154462
"results.50",2021-04-16,2021-08-17,78.70972685433
"results.51",2021-04-23,2021-08-24,78.5904215821869
"results.52",2021-04-30,2021-08-31,66.7162023100862
"results.53",2021-05-07,2021-09-07,71.8964223832978
"results.54",2021-05-14,2021-09-14,71.4616524442297
"results.55",2021-05-21,2021-09-21,69.8912365001935
"results.56",2021-05-28,2021-09-28,67.1211435940725
"results.57",2021-06-04,2021-10-05,73.9077121513633
"results.58",2021-06-11,2021-10-12,72.464675945093
"results.59",2021-06-18,2021-10-19,68.8322981972844
"results.60",2021-06-25,2021-10-26,66.882078397754
"results.61",2021-07-02,2021-11-02,66.0677780535342
"results.62",2021-07-09,2021-11-09,67.7003384899457
"results.63",2021-07-16,2021-11-16,68.6632091617232
"results.64",2021-07-23,2021-11-23,68.0100086804893
"results.65",2021-07-30,2021-11-30,65.0448080604505
"results.66",2021-08-06,2021-12-07,56.645651795676
"results.67",2021-08-13,2021-12-14,34.5293772995076
"results.68",2021-08-20,2021-12-21,25.8462277240245
"results.69",2021-08-27,2021-12-28,25.7003376532854
"results.70",2021-09-03,2022-01-04,55.4118981657481
"results.71",2021-09-10,2022-01-11,51.8353069159546
"results.72",2021-09-17,2022-01-18,50.2258360567405
"results.73",2021-09-24,2022-01-25,49.2802418533644
"results.74",2021-10-01,2022-02-01,48.3246680619282
