"","start_date","end_date","ccf_max","ccf_max_lag"
"ccf_summary",2020-05-01,2020-11-01,0.560821248960619,83
"ccf_summary.1",2020-05-08,2020-11-08,0.545405439406916,76
"ccf_summary.2",2020-05-15,2020-11-15,0.504888084689068,74
"ccf_summary.3",2020-05-22,2020-11-22,0.480423355341936,12
"ccf_summary.4",2020-05-29,2020-11-29,0.55993241489412,40
"ccf_summary.5",2020-06-05,2020-12-06,0.63213964467996,40
"ccf_summary.6",2020-06-12,2020-12-13,0.610514517048515,35
"ccf_summary.7",2020-06-19,2020-12-20,0.582323321101683,2
"ccf_summary.8",2020-06-26,2020-12-27,0.540575590092712,7
"ccf_summary.9",2020-07-03,2021-01-03,0.361180676485022,12
"ccf_summary.10",2020-07-10,2021-01-10,0.280018419477964,18
"ccf_summary.11",2020-07-17,2021-01-17,0.222974641688429,26
"ccf_summary.12",2020-07-24,2021-01-24,0.205824402837773,77
"ccf_summary.13",2020-07-31,2021-01-31,0.209445480636462,83
"ccf_summary.14",2020-08-07,2021-02-07,0.235737201871152,87
"ccf_summary.15",2020-08-14,2021-02-14,0.27254653569359,87
"ccf_summary.16",2020-08-21,2021-02-21,0.315733079001085,87
"ccf_summary.17",2020-08-28,2021-02-28,0.355446694813509,88
"ccf_summary.18",2020-09-04,2021-03-07,0.381238405112773,48
"ccf_summary.19",2020-09-11,2021-03-14,0.47648626741031,48
"ccf_summary.20",2020-09-18,2021-03-21,0.561205030447589,72
"ccf_summary.21",2020-09-25,2021-03-28,0.618145163550799,51
"ccf_summary.22",2020-10-02,2021-04-04,0.659527633387606,50
"ccf_summary.23",2020-10-09,2021-04-11,0.675218253619294,49
"ccf_summary.24",2020-10-16,2021-04-18,0.65776212981654,51
"ccf_summary.25",2020-10-23,2021-04-25,0.584494431448545,51
"ccf_summary.26",2020-10-30,2021-05-02,0.493120719781952,53
"ccf_summary.27",2020-11-06,2021-05-09,0.440447815123683,74
"ccf_summary.28",2020-11-13,2021-05-16,0.416881747835992,79
"ccf_summary.29",2020-11-20,2021-05-23,0.393061166879828,81
"ccf_summary.30",2020-11-27,2021-05-30,0.370991152932683,82
"ccf_summary.31",2020-12-04,2021-06-06,0.338129723033872,86
"ccf_summary.32",2020-12-11,2021-06-13,0.350333482123024,105
"ccf_summary.33",2020-12-18,2021-06-20,0.355868190380692,105
"ccf_summary.34",2020-12-25,2021-06-27,0.357471529030758,98
"ccf_summary.35",2021-01-01,2021-07-04,0.366502389548937,94
"ccf_summary.36",2021-01-08,2021-07-11,0.364110419472519,58
"ccf_summary.37",2021-01-15,2021-07-18,0.44098382899276,52
"ccf_summary.38",2021-01-22,2021-07-25,0.511852297830978,53
"ccf_summary.39",2021-01-29,2021-08-01,0.562780877729386,45
"ccf_summary.40",2021-02-05,2021-08-08,0.619629373016194,43
"ccf_summary.41",2021-02-12,2021-08-15,0.660806737252815,42
"ccf_summary.42",2021-02-19,2021-08-22,0.695386544707444,40
"ccf_summary.43",2021-02-26,2021-08-29,0.713288224103789,39
"ccf_summary.44",2021-03-05,2021-09-05,0.707772808871761,38
"ccf_summary.45",2021-03-12,2021-09-12,0.662692641385299,36
"ccf_summary.46",2021-03-19,2021-09-19,0.613933377172731,21
"ccf_summary.47",2021-03-26,2021-09-26,0.578045738014388,13
"ccf_summary.48",2021-04-02,2021-10-03,0.579963707672629,12
"ccf_summary.49",2021-04-09,2021-10-10,0.598987072463385,9
"ccf_summary.50",2021-04-16,2021-10-17,0.575983064282682,8
"ccf_summary.51",2021-04-23,2021-10-24,0.592489721866571,6
"ccf_summary.52",2021-04-30,2021-10-31,0.595134755935803,7
"ccf_summary.53",2021-05-07,2021-11-07,0.543612743741513,9
"ccf_summary.54",2021-05-14,2021-11-14,0.517555783748226,4
"ccf_summary.55",2021-05-21,2021-11-21,0.592644653993718,4
"ccf_summary.56",2021-05-28,2021-11-28,0.679392664929587,5
"ccf_summary.57",2021-06-04,2021-12-05,0.739589806472026,10
"ccf_summary.58",2021-06-11,2021-12-12,0.833433490154289,10
"ccf_summary.59",2021-06-18,2021-12-19,0.870609089712325,8
"ccf_summary.60",2021-06-25,2021-12-26,0.785070682883502,11
"ccf_summary.61",2021-07-02,2022-01-02,0.441105514829778,16
"ccf_summary.62",2021-07-09,2022-01-09,0.386944644767818,23
"ccf_summary.63",2021-07-16,2022-01-16,0.382017902511321,28
"ccf_summary.64",2021-07-23,2022-01-23,0.349485660136362,34
"ccf_summary.65",2021-07-30,2022-01-30,0.288539588456809,40
"ccf_summary.66",2021-08-06,2022-02-06,0.227783785263069,48
