"","start_date","end_date","ccf_max","ccf_max_lag"
"ccf_summary",2020-05-01,2020-11-01,0.476321636867044,17
"ccf_summary.1",2020-05-08,2020-11-08,0.659744741121191,13
"ccf_summary.2",2020-05-15,2020-11-15,0.723244822628029,17
"ccf_summary.3",2020-05-22,2020-11-22,0.776596069681925,14
"ccf_summary.4",2020-05-29,2020-11-29,0.818337348745118,21
"ccf_summary.5",2020-06-05,2020-12-06,0.809609610493385,28
"ccf_summary.6",2020-06-12,2020-12-13,0.706038648030832,35
"ccf_summary.7",2020-06-19,2020-12-20,0.594633960299288,42
"ccf_summary.8",2020-06-26,2020-12-27,0.488365260608535,8
"ccf_summary.9",2020-07-03,2021-01-03,0.371774005422072,68
"ccf_summary.10",2020-07-10,2021-01-10,0.368000106373309,75
"ccf_summary.11",2020-07-17,2021-01-17,0.379990664675506,81
"ccf_summary.12",2020-07-24,2021-01-24,0.385012978820122,87
"ccf_summary.13",2020-07-31,2021-01-31,0.391512740675387,85
"ccf_summary.14",2020-08-07,2021-02-07,0.397121450207869,88
"ccf_summary.15",2020-08-14,2021-02-14,0.403849377614632,88
"ccf_summary.16",2020-08-21,2021-02-21,0.415640910354736,88
"ccf_summary.17",2020-08-28,2021-02-28,0.421050766736349,89
"ccf_summary.18",2020-09-04,2021-03-07,0.410011043371183,92
"ccf_summary.19",2020-09-11,2021-03-14,0.377222443519179,45
"ccf_summary.20",2020-09-18,2021-03-21,0.469078874702078,73
"ccf_summary.21",2020-09-25,2021-03-28,0.521492517850749,46
"ccf_summary.22",2020-10-02,2021-04-04,0.59780362862133,46
"ccf_summary.23",2020-10-09,2021-04-11,0.666400575547088,46
"ccf_summary.24",2020-10-16,2021-04-18,0.705963842461249,45
"ccf_summary.25",2020-10-23,2021-04-25,0.687035513461883,45
"ccf_summary.26",2020-10-30,2021-05-02,0.604455401345188,44
"ccf_summary.27",2020-11-06,2021-05-09,0.52239856798917,43
"ccf_summary.28",2020-11-13,2021-05-16,0.458843290177759,42
"ccf_summary.29",2020-11-20,2021-05-23,0.437094745253533,41
"ccf_summary.30",2020-11-27,2021-05-30,0.382965616681051,43
"ccf_summary.31",2020-12-04,2021-06-06,0.269008935982858,45
"ccf_summary.32",2020-12-11,2021-06-13,0.267198388316817,94
"ccf_summary.33",2020-12-18,2021-06-20,0.263225159269608,100
"ccf_summary.34",2020-12-25,2021-06-27,0.243356969790744,98
"ccf_summary.35",2021-01-01,2021-07-04,0.255467202410654,66
"ccf_summary.36",2021-01-08,2021-07-11,0.27232332609238,66
"ccf_summary.37",2021-01-15,2021-07-18,0.31736650931062,52
"ccf_summary.38",2021-01-22,2021-07-25,0.417922857269638,52
"ccf_summary.39",2021-01-29,2021-08-01,0.522227983984674,44
"ccf_summary.40",2021-02-05,2021-08-08,0.574228866658635,26
"ccf_summary.41",2021-02-12,2021-08-15,0.629913741099195,21
"ccf_summary.42",2021-02-19,2021-08-22,0.672135314409078,17
"ccf_summary.43",2021-02-26,2021-08-29,0.688660016766867,15
"ccf_summary.44",2021-03-05,2021-09-05,0.687429740308796,15
"ccf_summary.45",2021-03-12,2021-09-12,0.664688617417237,14
"ccf_summary.46",2021-03-19,2021-09-19,0.633921914638975,12
"ccf_summary.47",2021-03-26,2021-09-26,0.631326447376297,11
"ccf_summary.48",2021-04-02,2021-10-03,0.645712186308875,12
"ccf_summary.49",2021-04-09,2021-10-10,0.688177002699545,10
"ccf_summary.50",2021-04-16,2021-10-17,0.670301902086981,10
"ccf_summary.51",2021-04-23,2021-10-24,0.681710506111395,8
"ccf_summary.52",2021-04-30,2021-10-31,0.704072577626336,9
"ccf_summary.53",2021-05-07,2021-11-07,0.694535705619884,11
"ccf_summary.54",2021-05-14,2021-11-14,0.638966942973743,11
"ccf_summary.55",2021-05-21,2021-11-21,0.663557457343011,8
"ccf_summary.56",2021-05-28,2021-11-28,0.694523233194449,8
"ccf_summary.57",2021-06-04,2021-12-05,0.718303491796043,10
"ccf_summary.58",2021-06-11,2021-12-12,0.777843742663605,10
"ccf_summary.59",2021-06-18,2021-12-19,0.769920464214928,6
"ccf_summary.60",2021-06-25,2021-12-26,0.61689450564746,12
"ccf_summary.61",2021-07-02,2022-01-02,0.338078692655358,18
"ccf_summary.62",2021-07-09,2022-01-09,0.312151574309847,25
"ccf_summary.63",2021-07-16,2022-01-16,0.328142863405506,31
"ccf_summary.64",2021-07-23,2022-01-23,0.326072234450899,38
"ccf_summary.65",2021-07-30,2022-01-30,0.301764926134499,43
"ccf_summary.66",2021-08-06,2022-02-06,0.262508024047554,48
