"","acf","lag","interval"
"2",0.0604704081871092,-53,"60"
"3",0.115625667904335,-52,"60"
"4",0.166496071121116,-51,"60"
"5",0.21818623931384,-50,"60"
"6",0.265350299168591,-49,"60"
"7",0.306997781113869,-48,"60"
"8",0.343255251488955,-47,"60"
"9",0.376276518753556,-46,"60"
"10",0.407089919877581,-45,"60"
"11",0.430657766542761,-44,"60"
"12",0.44820363780185,-43,"60"
"13",0.460876486351955,-42,"60"
"14",0.469797318683706,-41,"60"
"15",0.473982059718814,-40,"60"
"16",0.474585601211926,-39,"60"
"17",0.470747882996973,-38,"60"
"18",0.456560635206819,-37,"60"
"19",0.43050958047598,-36,"60"
"20",0.401378006164942,-35,"60"
"21",0.370378521759527,-34,"60"
"22",0.337676259063163,-33,"60"
"23",0.302415531597227,-32,"60"
"24",0.264937679114742,-31,"60"
"25",0.229542844943707,-30,"60"
"26",0.197308957691776,-29,"60"
"27",0.163295513726296,-28,"60"
"28",0.126851642612804,-27,"60"
"29",0.0884963350798602,-26,"60"
"30",0.0477106303052319,-25,"60"
"31",-0.0101591976712918,-24,"60"
"32",-0.0747336050494101,-23,"60"
"33",-0.145181154126629,-22,"60"
"34",-0.212724584518251,-21,"60"
"35",-0.277108561841541,-20,"60"
"36",-0.338112616544155,-19,"60"
"37",-0.394537624866131,-18,"60"
"38",-0.431156938618321,-17,"60"
"39",-0.466059789188673,-16,"60"
"40",-0.500198314017778,-15,"60"
"41",-0.531415934078868,-14,"60"
"42",-0.559729909357377,-13,"60"
"43",-0.585208813543343,-12,"60"
"44",-0.607887356346325,-11,"60"
"45",-0.628864934872895,-10,"60"
"46",-0.650304585971268,-9,"60"
"47",-0.671211683997791,-8,"60"
"48",-0.700807188812922,-7,"60"
"49",-0.726606628377701,-6,"60"
"50",-0.748970518007585,-5,"60"
"51",-0.769177641622261,-4,"60"
"52",-0.786480198229807,-3,"60"
"53",-0.8021368378603,-2,"60"
"54",-0.815333562675146,-1,"60"
"55",-0.816182361402336,0,"60"
"56",-0.738075094624936,1,"60"
"57",-0.66117119356642,2,"60"
"58",-0.585649163739577,3,"60"
"59",-0.510692798219151,4,"60"
"60",-0.437683970061535,5,"60"
"61",-0.367103957070355,6,"60"
"62",-0.299183447466906,7,"60"
"63",-0.233623287619415,8,"60"
"64",-0.170313359317399,9,"60"
"65",-0.110369245538731,10,"60"
"66",-0.053720746108547,11,"60"
"67",-0.000288125941636673,12,"60"
"68",0.0500181877678878,13,"60"
"69",0.0968667080418797,14,"60"
"70",0.140363825927257,15,"60"
"71",0.180263244050001,16,"60"
"72",0.215166424931661,17,"60"
"73",0.244488455072203,18,"60"
"74",0.26989528362915,19,"60"
"75",0.29152286711152,20,"60"
"76",0.30936879574988,21,"60"
"77",0.323253611028723,22,"60"
"78",0.333393026520398,23,"60"
"79",0.340826072242995,24,"60"
"80",0.346065622326722,25,"60"
"81",0.348438309901741,26,"60"
"82",0.348074103187998,27,"60"
"83",0.345414475384634,28,"60"
"84",0.340644682277745,29,"60"
"85",0.330782725280378,30,"60"
"86",0.317933501684668,31,"60"
"87",0.302352362165985,32,"60"
"88",0.285915063147267,33,"60"
"89",0.268842699459339,34,"60"
"90",0.251353444628594,35,"60"
"91",0.233885707728628,36,"60"
"92",0.219936101970737,37,"60"
"93",0.205960536321508,38,"60"
"94",0.191883281555516,39,"60"
"95",0.178279790159935,40,"60"
"96",0.165266757854317,41,"60"
"97",0.152879176174194,42,"60"
"98",0.141191581087424,43,"60"
"99",0.130004034388685,44,"60"
"100",0.118812959528224,45,"60"
"101",0.10772895139546,46,"60"
"102",0.0945937837870277,47,"60"
"103",0.0817790662046757,48,"60"
"104",0.069023134192089,49,"60"
"105",0.055925894241897,50,"60"
"106",0.0424576856137725,51,"60"
"107",0.0282562831808236,52,"60"
"108",0.0133956659901664,53,"60"
"109",0.049148016816541,-73,"80"
"110",0.096625407477516,-72,"80"
"111",0.140903035054431,-71,"80"
"112",0.181285909374278,-70,"80"
"113",0.217800247910146,-69,"80"
"114",0.250496351471488,-68,"80"
"115",0.280169901463033,-67,"80"
"116",0.306872109573423,-66,"80"
"117",0.329223314353535,-65,"80"
"118",0.34738902417756,-64,"80"
"119",0.36289729022954,-63,"80"
"120",0.375759451471491,-62,"80"
"121",0.386714945086051,-61,"80"
"122",0.395743062461837,-60,"80"
"123",0.402150643215924,-59,"80"
"124",0.405328677771964,-58,"80"
"125",0.402540826553074,-57,"80"
"126",0.397609244960624,-56,"80"
"127",0.39065289634069,-55,"80"
"128",0.381762292454104,-54,"80"
"129",0.370332717182399,-53,"80"
"130",0.356497629691003,-52,"80"
"131",0.341201032438938,-51,"80"
"132",0.328140643573098,-50,"80"
"133",0.313736974205262,-49,"80"
"134",0.297516181400219,-48,"80"
"135",0.279741000562596,-47,"80"
"136",0.262161661634431,-46,"80"
"137",0.245723278572896,-45,"80"
"138",0.227049994997279,-44,"80"
"139",0.207121349212546,-43,"80"
"140",0.186932508991194,-42,"80"
"141",0.167339306726356,-41,"80"
"142",0.147741728059505,-40,"80"
"143",0.128991716911815,-39,"80"
"144",0.110479081312382,-38,"80"
"145",0.0879893704495863,-37,"80"
"146",0.0603413854126873,-36,"80"
"147",0.0335813713320744,-35,"80"
"148",0.00848473151397944,-34,"80"
"149",-0.0149433848991254,-33,"80"
"150",-0.0374558326545149,-32,"80"
"151",-0.0590438229986549,-31,"80"
"152",-0.0768643445287646,-30,"80"
"153",-0.0903965932387894,-29,"80"
