"","start_date","end_date","dtw_lag"
"results",2020-05-01,2020-09-01,44.2238285701958
"results.1",2020-05-08,2020-09-08,57.7484764650187
"results.2",2020-05-15,2020-09-15,58.5398249536954
"results.3",2020-05-22,2020-09-22,57.7319059313576
"results.4",2020-05-29,2020-09-29,77.1318507145
"results.5",2020-06-05,2020-10-06,77.5984023415859
"results.6",2020-06-12,2020-10-13,77.0029995544884
"results.7",2020-06-19,2020-10-20,74.5017174032485
"results.8",2020-06-26,2020-10-27,71.9634375860764
"results.9",2020-07-03,2020-11-03,71.7942316244488
"results.10",2020-07-10,2020-11-10,71.3637521095757
"results.11",2020-07-17,2020-11-17,68.8431136599993
"results.12",2020-07-24,2020-11-24,63.7040315905041
"results.13",2020-07-31,2020-12-01,56.2995207107479
"results.14",2020-08-07,2020-12-08,47.5726459735635
"results.15",2020-08-14,2020-12-15,36.456970704651
"results.16",2020-08-21,2020-12-22,27.5660812423768
"results.17",2020-08-28,2020-12-29,23.3056936663886
"results.18",2020-09-04,2021-01-05,43.486617791564
"results.19",2020-09-11,2021-01-12,45.8086476722382
"results.20",2020-09-18,2021-01-19,45.0915014314254
"results.21",2020-09-25,2021-01-26,42.3341631461528
"results.22",2020-10-02,2021-02-02,40.4364280655585
"results.23",2020-10-09,2021-02-09,36.7499377162585
"results.24",2020-10-16,2021-02-16,32.6563572344968
"results.25",2020-10-23,2021-02-23,30.7614776185898
"results.26",2020-10-30,2021-03-02,32.8283705874858
"results.27",2020-11-06,2021-03-09,34.2599895431423
"results.28",2020-11-13,2021-03-16,37.1575292188584
"results.29",2020-11-20,2021-03-23,39.2885568096774
"results.30",2020-11-27,2021-03-30,40.9372390116167
"results.31",2020-12-04,2021-04-06,22.183060616067
"results.32",2020-12-11,2021-04-13,24.3807268952127
"results.33",2020-12-18,2021-04-20,28.9475648140153
"results.34",2020-12-25,2021-04-27,32.28898920637
"results.35",2021-01-01,2021-05-04,27.1386700616951
"results.36",2021-01-08,2021-05-11,31.4561198053636
"results.37",2021-01-15,2021-05-18,34.8695566724146
"results.38",2021-01-22,2021-05-25,38.7834881995506
"results.39",2021-01-29,2021-06-01,48.7385172208185
"results.40",2021-02-05,2021-06-08,62.66558056847
"results.41",2021-02-12,2021-06-15,66.4496453238596
"results.42",2021-02-19,2021-06-22,65.2252164544781
"results.43",2021-02-26,2021-06-29,63.4492211041084
"results.44",2021-03-05,2021-07-06,64.5004398259179
"results.45",2021-03-12,2021-07-13,66.2549451314547
"results.46",2021-03-19,2021-07-20,67.7370823600672
"results.47",2021-03-26,2021-07-27,69.1305361329934
"results.48",2021-04-02,2021-08-03,70.3786564797983
"results.49",2021-04-09,2021-08-10,78.06872583789
"results.50",2021-04-16,2021-08-17,78.7077005660692
"results.51",2021-04-23,2021-08-24,78.5868656694277
"results.52",2021-04-30,2021-08-31,66.7109190565204
"results.53",2021-05-07,2021-09-07,71.892825873241
"results.54",2021-05-14,2021-09-14,71.4598116106994
"results.55",2021-05-21,2021-09-21,69.8932577176148
"results.56",2021-05-28,2021-09-28,67.1454237226558
"results.57",2021-06-04,2021-10-05,73.9160996283475
"results.58",2021-06-11,2021-10-12,72.4713250764598
"results.59",2021-06-18,2021-10-19,68.8313054495908
"results.60",2021-06-25,2021-10-26,66.8773902141048
"results.61",2021-07-02,2021-11-02,66.0609024309355
"results.62",2021-07-09,2021-11-09,67.6925564847419
"results.63",2021-07-16,2021-11-16,68.6635983107714
"results.64",2021-07-23,2021-11-23,68.0192695245377
"results.65",2021-07-30,2021-11-30,65.0683780043282
"results.66",2021-08-06,2021-12-07,56.7180353173638
"results.67",2021-08-13,2021-12-14,34.6650569741637
"results.68",2021-08-20,2021-12-21,25.8482726539715
"results.69",2021-08-27,2021-12-28,25.6795731876557
"results.70",2021-09-03,2022-01-04,55.4135715598598
"results.71",2021-09-10,2022-01-11,51.8291877747421
"results.72",2021-09-17,2022-01-18,50.2584015666296
"results.73",2021-09-24,2022-01-25,49.314062060844
"results.74",2021-10-01,2022-02-01,48.3655151845082
