"","start_date","end_date","dtw_lag"
"results",2020-05-01,2020-11-01,56.3380105892105
"results.1",2020-05-08,2020-11-08,52.559701696806
"results.2",2020-05-15,2020-11-15,48.5338543126039
"results.3",2020-05-22,2020-11-22,46.7534268970418
"results.4",2020-05-29,2020-11-29,44.3351809107019
"results.5",2020-06-05,2020-12-06,33.6688243857518
"results.6",2020-06-12,2020-12-13,32.8836259380017
"results.7",2020-06-19,2020-12-20,36.067996666351
"results.8",2020-06-26,2020-12-27,39.5540448063068
"results.9",2020-07-03,2021-01-03,45.6793478680616
"results.10",2020-07-10,2021-01-10,49.0795986579705
"results.11",2020-07-17,2021-01-17,51.4784113696225
"results.12",2020-07-24,2021-01-24,53.4823397322056
"results.13",2020-07-31,2021-01-31,54.34209771948
"results.14",2020-08-07,2021-02-07,52.9455764852809
"results.15",2020-08-14,2021-02-14,50.5919560045338
"results.16",2020-08-21,2021-02-21,45.6826706186477
"results.17",2020-08-28,2021-02-28,35.5430845436247
"results.18",2020-09-04,2021-03-07,34.649011409066
"results.19",2020-09-11,2021-03-14,36.1293914883322
"results.20",2020-09-18,2021-03-21,37.0680971015644
"results.21",2020-09-25,2021-03-28,40.0797632375555
"results.22",2020-10-02,2021-04-04,34.2876919056005
"results.23",2020-10-09,2021-04-11,34.5578146707465
"results.24",2020-10-16,2021-04-18,38.2772507478987
"results.25",2020-10-23,2021-04-25,43.1362209545054
"results.26",2020-10-30,2021-05-02,46.0130414408624
"results.27",2020-11-06,2021-05-09,40.5322258873908
"results.28",2020-11-13,2021-05-16,44.8637704504857
"results.29",2020-11-20,2021-05-23,48.5576493250423
"results.30",2020-11-27,2021-05-30,48.7430724170165
"results.31",2020-12-04,2021-06-06,42.0942919954069
"results.32",2020-12-11,2021-06-13,34.8047409435717
"results.33",2020-12-18,2021-06-20,35.3269991876535
"results.34",2020-12-25,2021-06-27,41.040108029905
"results.35",2021-01-01,2021-07-04,40.6658530056123
"results.36",2021-01-08,2021-07-11,39.0365512337529
"results.37",2021-01-15,2021-07-18,37.6169467676449
"results.38",2021-01-22,2021-07-25,36.0003025937425
"results.39",2021-01-29,2021-08-01,38.6541570980282
"results.40",2021-02-05,2021-08-08,37.6228172135381
"results.41",2021-02-12,2021-08-15,36.0018270434993
"results.42",2021-02-19,2021-08-22,34.5304793945321
"results.43",2021-02-26,2021-08-29,33.9029746098295
"results.44",2021-03-05,2021-09-05,34.0673550031661
"results.45",2021-03-12,2021-09-12,34.2577926696124
"results.46",2021-03-19,2021-09-19,36.2933476718528
"results.47",2021-03-26,2021-09-26,35.0421732549123
"results.48",2021-04-02,2021-10-03,33.4258588529191
"results.49",2021-04-09,2021-10-10,39.3205241676527
"results.50",2021-04-16,2021-10-17,38.5568219313044
"results.51",2021-04-23,2021-10-24,37.1440604312296
"results.52",2021-04-30,2021-10-31,35.8730499696318
"results.53",2021-05-07,2021-11-07,44.9848411661455
"results.54",2021-05-14,2021-11-14,40.7302508460155
"results.55",2021-05-21,2021-11-21,37.2598852091538
"results.56",2021-05-28,2021-11-28,32.8243389228591
"results.57",2021-06-04,2021-12-05,38.6183579615365
"results.58",2021-06-11,2021-12-12,36.266927170241
"results.59",2021-06-18,2021-12-19,36.2133000516249
"results.60",2021-06-25,2021-12-26,40.3292658082074
"results.61",2021-07-02,2022-01-02,43.7839082342544
"results.62",2021-07-09,2022-01-09,42.2208056836898
"results.63",2021-07-16,2022-01-16,43.3016588725143
"results.64",2021-07-23,2022-01-23,44.2888839010413
"results.65",2021-07-30,2022-01-30,44.988925222265
"results.66",2021-08-06,2022-02-06,44.2377462722899
